COVID-19 Vaccinations in the United States
Date generated: Wed Jan 13 2021 15:27:05 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Distributed,Total Administered,Distributed per 100K,Administered per 100K
Alaska,141600,35838,19356,4899
Alabama,377025,78134,7689,1594
Arkansas,274400,40879,9093,1355
American Samoa,10650,2124,19124,3814
Arizona,563025,141355,7735,1942
Bureau of Prisons,16050,14663,N/A,N/A
California,3286050,816301,8317,2066
Colorado,516750,224428,8973,3897
Connecticut,250775,151395,7034,4246
District of Columbia,62725,29812,8888,4224
Dept of Defense,376150,139439,N/A,N/A
Delaware,88325,26410,9070,2712
Florida,1676300,633440,7805,2949
Federated States of Micronesia,9800,424,9456,409
Georgia,960975,170571,9051,1607
Guam,26500,3791,15986,2287
Hawaii,141750,33483,10011,2365
Iowa,208875,98691,6620,3128
Idaho,146750,35845,8212,2006
Indian Health Svc,224425,68387,N/A,N/A
Illinois,903100,347005,7127,2738
Indiana,540475,191844,8028,2850
Kansas,193175,78268,6631,2687
Kentucky,329450,132114,7374,2957
Louisiana,368300,142771,7922,3071
Massachusetts,476025,204082,6906,2961
Maryland,552800,146231,9144,2419
Maine,132975,54945,9892,4088
Marshall Islands,13600,639,23282,1094
Michigan,768150,227685,7692,2280
Minnesota,453200,162240,8036,2877
Missouri,485175,161784,7905,2636
Northern Mariana Islands,18650,3722,32787,6543
Mississippi,212050,54544,7125,1833
Montana,78350,42083,7331,3937
North Carolina,836450,211610,7975,2018
North Dakota,53525,39479,7024,5181
Nebraska,177375,74439,9169,3848
New Hampshire,122350,50613,8998,3722
New Jersey,654900,221045,7373,2489
New Mexico,177075,78235,8445,3731
Nevada,207150,61653,6725,2002
New York State,1622100,579532,8338,2979
Ohio,866050,311890,7409,2668
Oklahoma,381375,157843,9638,3989
Oregon,321425,104610,7621,2480
Pennsylvania,974725,341948,7614,2671
Puerto Rico,277200,74559,8680,2335
Rhode Island,80225,39568,7573,3735
Republic of Palau,6000,416,33506,2323
South Carolina,315950,81075,6136,1575
South Dakota,83500,48698,9439,5505
Tennessee,485800,251257,7114,3679
Texas,1949125,911461,6722,3143
Utah,256275,95225,7994,2970
Virginia,797150,190607,9339,2233
Veterans Health,885950,226754,N/A,N/A
Virgin Islands,9175,880,8765,841
Vermont,64925,25757,10405,4128
Washington,567725,195567,7455,2568
Wisconsin,429500,137253,7377,2357
West Virginia,160975,103330,8982,5766
Wyoming,47800,16467,8259,2845
