COVID-19 Vaccinations in the United States
Date generated: Thu Jan 14 2021 15:25:21 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Distributed,Total Administered,Distributed per 100K,Administered per 100K
Alaska,149475,38680,20433,5287
Alabama,378975,84040,7729,1714
Arkansas,297800,94854,9868,3143
American Samoa,10650,2577,19124,4627
Arizona,569525,154745,7825,2126
Bureau of Prisons,16050,15694,N/A,N/A
California,3435650,891489,8695,2256
Colorado,530800,239665,9217,4162
Connecticut,315025,161875,8836,4540
District of Columbia,68325,33049,9681,4683
Dept of Defense,415500,139993,N/A,N/A
Delaware,91250,28413,9371,2918
Florida,1680200,705398,7823,3284
Federated States of Micronesia,9800,565,9456,545
Georgia,1003975,198756,9456,1872
Guam,34300,3791,20692,2287
Hawaii,154150,36605,10887,2585
Iowa,264125,112093,8371,3553
Idaho,158125,38872,8848,2175
Indian Health Svc,290900,74462,N/A,N/A
Illinois,920225,365859,7262,2887
Indiana,579050,211334,8601,3139
Kansas,261175,85650,8965,2940
Kentucky,329450,142436,7374,3188
Louisiana,369475,156186,7948,3360
Massachusetts,656850,217443,9530,3155
Maryland,561500,178056,9288,2945
Maine,136875,57248,10183,4259
Marshall Islands,13600,649,23282,1111
Michigan,772150,291519,7732,2919
Minnesota,511200,165355,9064,2932
Missouri,526425,161784,8577,2636
Northern Mariana Islands,18650,4141,32787,7280
Mississippi,218825,61289,7353,2059
Montana,89550,44063,8379,4123
North Carolina,852000,266938,8124,2545
North Dakota,66725,40728,8756,5344
Nebraska,199800,79699,10329,4120
New Hampshire,124300,55218,9142,4061
New Jersey,654900,262982,7373,2961
New Mexico,199525,81855,9516,3904
Nevada,207150,61653,6725,2002
New York State,1796850,632473,9237,3251
Ohio,957700,329318,8193,2817
Oklahoma,396975,172403,10032,4357
Oregon,325325,115075,7713,2728
Pennsylvania,1017475,379944,7948,2968
Puerto Rico,305475,84432,9565,2644
Rhode Island,82175,42028,7757,3967
Republic of Palau,6000,725,33506,4049
South Carolina,317450,99887,6166,1940
South Dakota,88375,50712,9990,5732
Tennessee,598000,264713,8757,3876
Texas,1984225,978042,6843,3373
Utah,266025,104036,8298,3245
Virginia,845900,217836,9910,2552
Veterans Health,941525,254377,N/A,N/A
Virgin Islands,9575,1195,9147,1142
Vermont,69800,29571,11186,4739
Washington,572600,208238,7519,2735
Wisconsin,435900,137253,7487,2357
West Virginia,160975,110709,8982,6177
Wyoming,57800,17794,9987,3075
