COVID-19 Vaccinations in the United States
Date generated: Fri Jan 15 2021 23:40:48 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Distributed,Total Administered,Distributed per 100K,Administered per 100K
Alaska,150450,49039,20566,6703
Alabama,444650,100567,9069,2051
Arkansas,297800,118338,9868,3921
American Samoa,18450,3883,33130,6973
Arizona,571725,197086,7855,2708
Bureau of Prisons,16750,16685,N/A,N/A
California,3548575,1072959,8981,2716
Colorado,531775,272233,9234,4727
Connecticut,328775,185866,9222,5213
District of Columbia,68325,39934,9681,5658
Dept of Defense,507975,201485,N/A,N/A
Delaware,91250,31090,9371,3193
Florida,2069175,853081,9634,3972
Federated States of Micronesia,9800,694,9456,670
Georgia,1011200,231305,9524,2179
Guam,34300,3791,20692,2287
Hawaii,154150,46958,10887,3317
Iowa,269000,120983,8526,3835
Idaho,160075,46636,8957,2610
Indian Health Svc,292700,90245,N/A,N/A
Illinois,1011225,437765,7980,3455
Indiana,642425,260310,9543,3867
Kansas,263175,97779,9034,3356
Kentucky,337450,174748,7553,3911
Louisiana,370175,197967,7963,4258
Massachusetts,669325,257175,9711,3731
Maryland,565125,194705,9348,3221
Maine,136875,61129,10183,4548
Marshall Islands,13600,658,23282,1126
Michigan,773750,364182,7748,3647
Minnesota,519600,198253,9213,3515
Missouri,528800,190447,8616,3103
Northern Mariana Islands,18650,4909,32787,8630
Mississippi,233550,84328,7847,2833
Montana,98500,49364,9216,4619
North Carolina,999650,302824,9531,2887
North Dakota,68675,46410,9012,6090
Nebraska,211500,91195,10934,4714
New Hampshire,127225,62517,9357,4598
New Jersey,658800,317070,7417,3570
New Mexico,204750,99305,9765,4736
Nevada,211750,83674,6875,2717
New York State,1884325,757466,9686,3894
Ohio,968250,375428,8283,3212
Oklahoma,424000,203410,10715,5141
Oregon,335075,146153,7944,3465
Pennsylvania,1075350,448151,8400,3501
Puerto Rico,311325,104137,9748,3261
Rhode Island,108425,47548,10235,4488
Republic of Palau,6000,1119,33506,6249
South Carolina,350550,121836,6808,2366
South Dakota,93675,57103,10589,6455
Tennessee,657550,303338,9629,4442
Texas,2105600,1160242,7262,4001
Utah,268175,128210,8365,3999
Virginia,852725,244234,9990,2861
Veterans Health,994425,317771,N/A,N/A
Virgin Islands,11825,1631,11296,1558
Vermont,74000,32470,11859,5204
Washington,696175,242606,9142,3186
Wisconsin,437900,169803,7521,2916
West Virginia,205475,134207,11465,7489
Wyoming,58775,22745,10155,3930
