COVID-19 Vaccinations in the United States
Date generated: Sat Jan 23 2021 15:23:26 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Distributed,Total Administered,Distributed per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,155500,81096,21256,11086,67262,9195,13718,1875
Alabama,519525,199314,10596,4065,174317,3555,24840,507
Arkansas,362050,201676,11997,6683,167788,5560,31600,1047
American Samoa,18450,6569,33130,11796,5627,10104,940,1688
Arizona,822050,329349,11294,4525,280227,3850,48938,672
Bureau of Prisons,24750,21315,N/A,N/A,17316,0,3962,0
California,4714625,1803679,11932,4565,1477195,3739,321839,815
Colorado,671200,377283,11655,6551,313217,5439,62086,1078
Connecticut,477250,287440,13386,8062,248753,6977,33149,930
District of Columbia,90225,56864,12784,8057,44773,6344,12045,1707
Dept of Defense,614200,292490,N/A,N/A,258285,0,28602,0
Delaware,116325,54257,11946,5572,45292,4651,8847,909
Florida,2616250,1314377,12181,6120,1186719,5525,124582,580
Federated States of Micronesia,9800,2514,9456,2426,2511,2423,3,3
Georgia,1235375,603486,11635,5684,533665,5026,59925,564
Guam,34300,3791,20692,2287,3785,2283,0,0
Hawaii,191375,84793,13516,5989,67991,4802,16802,1187
Iowa,338950,170607,10743,5407,145642,4616,22429,711
Idaho,181100,77988,10134,4364,64295,3598,13075,732
Indian Health Svc,355475,123534,N/A,N/A,103912,0,18985,0
Illinois,1209300,607502,9543,4794,479848,3787,120754,953
Indiana,839925,414127,12476,6151,340055,5051,73986,1099
Kansas,336475,137094,11550,4706,116569,4001,19325,663
Kentucky,466700,254144,10446,5689,229873,5145,22568,505
Louisiana,506200,297655,10889,6403,256670,5521,40385,869
Massachusetts,854950,370627,12404,5377,318630,4623,51662,750
Maryland,722625,287512,11953,4756,256221,4238,30877,511
Maine,176400,86395,13123,6427,70193,5222,14893,1108
Marshall Islands,13600,2438,23282,4174,2406,4119,2,3
Michigan,1094275,595454,10957,5962,497958,4986,92473,926
Minnesota,677100,278234,12006,4934,223957,3971,53940,956
Missouri,657700,285697,10716,4655,217597,3545,66699,1087
Northern Mariana Islands,18650,7720,32787,13572,4700,8263,3016,5302
Mississippi,346400,150524,11639,5058,136902,4600,13423,451
Montana,119500,66348,11181,6208,54453,5095,11878,1111
North Carolina,1192375,524914,11369,5005,450144,4292,74427,710
North Dakota,86750,64105,11384,8412,51018,6695,12428,1631
Nebraska,238100,118450,12309,6123,99571,5147,18086,935
New Hampshire,162950,85595,11984,6295,72979,5367,12575,925
New Jersey,951875,464363,10717,5228,406494,4577,56213,633
New Mexico,248300,162045,11842,7728,130211,6210,29278,1396
Nevada,281100,126458,9126,4106,105222,3416,20345,661
New York State,2367075,1203994,12168,6189,1048453,5390,142005,730
Ohio,1222225,545499,10456,4667,500557,4282,44761,383
Oklahoma,496350,287502,12544,7266,247954,6266,37435,946
Oregon,487700,253705,11563,6015,218413,5178,34536,819
Pennsylvania,1465850,652886,11450,5100,539431,4214,112692,880
Puerto Rico,337350,161528,10563,5058,128284,4017,32181,1008
Rhode Island,136225,61974,12859,5850,49932,4713,12023,1135
Republic of Palau,6000,2405,33506,13431,2403,13419,2,11
South Carolina,453150,229002,8801,4448,189170,3674,38183,742
South Dakota,100275,70643,11335,7985,56762,6416,13831,1563
Tennessee,798450,401595,11692,5881,324543,4752,76162,1115
Texas,2884425,1644781,9948,5672,1412767,4872,230596,795
Utah,341725,202729,10659,6324,175364,5470,20697,646
Virginia,1067775,401448,12510,4703,353808,4145,46004,539
Veterans Health,1150825,579663,N/A,N/A,497096,0,81966,0
Virgin Islands,13525,3070,12920,2933,2703,2582,367,351
Vermont,84825,46447,13594,7444,38432,6159,7954,1275
Washington,829950,403135,10899,5294,330357,4338,62152,816
Wisconsin,597225,260821,10257,4480,221067,3797,37901,651
West Virginia,231800,180762,12934,10086,145361,8111,35390,1975
Wyoming,69650,34547,12034,5969,29993,5182,4515,780
