COVID-19 Vaccinations in the United States
Date generated: Wed Feb 03 2021 15:11:39 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Distributed,Total Administered,Distributed per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,196975,123443,26926,16874,97076,13270,26207,3582
Alabama,680550,371882,13880,7584,312711,6378,58825,1200
Arkansas,467800,314470,15501,10420,251841,8345,59903,1985
American Samoa,18450,10761,33130,19323,9713,17442,1046,1878
Arizona,1082050,631662,14866,8678,534476,7343,96660,1328
Bureau of Prisons,35950,32349,N/A,N/A,23200,0,9079,0
California,5670500,3543817,14351,8969,2940488,7442,592045,1498
Colorado,871875,601347,15140,10442,464938,8074,132752,2305
Connecticut,574650,456090,16118,12793,361495,10139,86602,2429
District of Columbia,147125,83553,20847,11839,64241,9103,19218,2723
Dept of Defense,807025,490377,N/A,N/A,412800,0,68278,0
Delaware,143775,103770,14765,10657,85143,8744,18040,1853
Florida,3657775,2048143,17031,9536,1712327,7973,329176,1533
Federated States of Micronesia,19400,5726,18718,5525,5683,5483,16,15
Georgia,1557175,940066,14666,8854,790354,7444,129885,1223
Guam,43500,24810,26241,14967,19700,11884,4936,2978
Hawaii,246550,137914,17413,9741,110757,7823,27156,1918
Iowa,415325,259522,13164,8226,195234,6188,61085,1936
Idaho,216975,126648,12141,7087,102959,5761,22725,1272
Indian Health Svc,440900,214183,N/A,N/A,168022,0,42503,0
Illinois,1859850,1073076,14677,8468,831556,6562,223026,1760
Indiana,1091375,612289,16211,9095,499215,7415,112864,1676
Kansas,413350,231201,14188,7936,185065,6352,44420,1525
Kentucky,684700,419562,15326,9391,350622,7848,66852,1496
Louisiana,736850,476014,15850,10240,378574,8143,96606,2078
Massachusetts,1039775,625477,15086,9075,497445,7217,126560,1836
Maryland,899675,537037,14881,8883,448177,7413,88359,1462
Maine,221875,145786,16506,10845,109917,8177,34299,2552
Marshall Islands,13600,4258,23282,7289,3844,6581,376,644
Michigan,1608250,1015483,16104,10168,801811,8029,200265,2005
Minnesota,824450,552701,14619,9800,431172,7645,119631,2121
Missouri,824100,466406,13427,7599,358762,5845,104063,1696
Northern Mariana Islands,29650,10407,52125,18296,7062,12415,3341,5874
Mississippi,438100,240125,14720,8068,214460,7206,25408,854
Montana,141650,107324,13253,10042,81420,7618,25824,2416
North Carolina,1490350,976153,14210,9307,819119,7810,155973,1487
North Dakota,122050,99990,16016,13121,71735,9413,26493,3476
Nebraska,297375,182412,15373,9430,134877,6973,46523,2405
New Hampshire,226850,135799,16684,9987,103364,7602,32381,2381
New Jersey,1235350,836584,13908,9419,697318,7851,137096,1543
New Mexico,351050,277617,16742,13240,213941,10203,60740,2897
Nevada,417175,253174,13544,8220,214342,6959,37568,1220
New York State,2987075,1966446,15355,10108,1541235,7923,353127,1815
Ohio,1717875,1045139,14696,8941,854741,7312,189502,1621
Oklahoma,616775,445675,15587,11263,362529,9162,80465,2033
Oregon,684000,438302,16217,10392,353035,8370,83898,1989
Pennsylvania,1987200,1155945,15523,9029,916235,7157,236995,1851
Puerto Rico,535525,253439,16768,7936,197187,6174,54972,1721
Rhode Island,176150,99541,16628,9396,73486,6937,26027,2457
Republic of Palau,6000,3172,33506,17714,3109,17362,63,352
South Carolina,659950,470696,12818,9142,385908,7495,81203,1577
South Dakota,142500,108004,16108,12209,77125,8718,30803,3482
Tennessee,990975,631885,14511,9253,450633,6599,179546,2629
Texas,4092150,2496232,14113,8609,1991555,6868,502794,1734
Utah,427225,324636,13326,10126,245534,7659,63286,1974
Virginia,1306800,901213,15310,10558,742017,8693,132292,1550
Veterans Health,1491725,973371,N/A,N/A,789785,0,182677,0
Virgin Islands,20325,6709,19416,6409,5447,5203,1262,1206
Vermont,109825,74021,17600,11863,54994,8813,18903,3029
Washington,1129025,741769,14827,9741,599313,7870,130908,1719
Wisconsin,900250,522034,15462,8966,437456,7513,81523,1400
West Virginia,325100,264205,18140,14742,194301,10842,69893,3900
Wyoming,89450,59018,15455,10197,48255,8338,9848,1702
