COVID-19 Vaccinations in the United States
Date generated: Thu Feb 04 2021 15:12:41 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Distributed,Total Administered,Distributed per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,229975,125765,31437,17192,98076,13407,27528,3763
Alabama,765150,388339,15605,7920,324998,6628,62990,1285
Arkansas,499325,322447,16546,10685,256307,8493,63356,2099
American Samoa,18450,11066,33130,19871,9759,17524,1305,2343
Arizona,1181000,656040,16225,9013,553373,7603,102107,1403
Bureau of Prisons,36450,34255,N/A,N/A,24049,0,10130,0
California,6343925,3671316,16056,9292,3044980,7706,613845,1554
Colorado,940800,617125,16337,10716,472820,8210,140610,2442
Connecticut,608600,465008,17070,13043,365975,10265,90574,2540
District of Columbia,159925,85065,22660,12053,65207,9239,19753,2799
Dept of Defense,872325,508965,N/A,N/A,424284,0,75347,0
Delaware,154700,107544,15887,11044,88325,9070,18568,1907
Florida,3658975,2133168,17036,9932,1752699,8161,373238,1738
Federated States of Micronesia,19400,6254,18718,6034,6210,5992,17,16
Georgia,1638700,975038,15434,9183,813214,7659,140900,1327
Guam,43500,26068,26241,15726,20785,12539,5108,3081
Hawaii,253150,143686,17879,10148,115440,8153,28245,1995
Iowa,446825,266777,14162,8456,199242,6315,64234,2036
Idaho,245925,132384,13761,7408,107234,6001,24171,1353
Indian Health Svc,461000,224095,N/A,N/A,174664,0,45751,0
Illinois,1986725,1108571,15678,8748,859076,6779,230850,1822
Indiana,1106550,637745,16437,9473,517147,7682,120352,1788
Kansas,470800,241156,16160,8278,192026,6591,47394,1627
Kentucky,719200,435400,16098,9746,360015,8058,73264,1640
Louisiana,746550,488960,16059,10518,384041,8261,104070,2239
Massachusetts,1156375,625477,16777,9075,497445,7217,126560,1836
Maryland,958575,546409,15856,9038,454437,7517,91468,1513
Maine,226275,145786,16833,10845,109917,8177,34299,2552
Marshall Islands,21000,4258,35951,7289,3844,6581,376,644
Michigan,1629000,1042268,16311,10436,814362,8154,214234,2145
Minnesota,919975,552701,16313,9800,431172,7645,119631,2121
Missouri,904250,482112,14733,7855,371382,6051,106842,1741
Northern Mariana Islands,29650,10655,52125,18732,7271,12783,3378,5939
Mississippi,484850,250905,16291,8431,222860,7488,27786,934
Montana,157275,110374,14715,10327,83875,7848,26345,2465
North Carolina,1643800,1026683,15673,9789,855450,8156,170087,1622
North Dakota,122150,103572,16029,13591,72589,9525,27418,3598
Nebraska,332525,188285,17190,9733,138354,7152,48889,2527
New Hampshire,235250,138271,17301,10169,104042,7652,34130,2510
New Jersey,1252250,851721,14098,9589,703957,7925,145570,1639
New Mexico,356150,284830,16985,13584,219033,10446,62821,2996
Nevada,417875,279471,13567,9073,236799,7688,41227,1338
New York State,3241250,2003170,16661,10297,1562945,8034,368054,1892
Ohio,1812025,1085391,15502,9285,883630,7559,200784,1718
Oklahoma,675850,462440,17080,11687,372020,9402,87596,2214
Oregon,706575,454269,16752,10770,361249,8565,91240,2163
Pennsylvania,2143150,1158091,16741,9046,917497,7167,237876,1858
Puerto Rico,605425,266671,18957,8350,206430,6464,58951,1846
Rhode Island,176650,101474,16675,9579,74473,7030,26973,2546
Republic of Palau,6000,3228,33506,18026,3109,17362,119,665
South Carolina,682700,479202,13260,9307,391585,7605,84010,1632
South Dakota,147600,110967,16684,12543,79025,8933,31863,3602
Tennessee,1043575,657819,15281,9632,463300,6784,192674,2821
Texas,4214900,2652896,14536,9149,2086493,7196,564433,1947
Utah,471575,324636,14709,10126,245534,7659,63286,1974
Virginia,1370975,922940,16062,10813,757544,8875,138321,1621
Veterans Health,1543525,1013974,N/A,N/A,813455,0,199554,0
Virgin Islands,20325,7387,19416,7057,5906,5642,1481,1415
Vermont,113625,74718,18209,11974,55357,8871,19237,3083
Washington,1163675,765954,15282,10059,616340,8094,137930,1811
Wisconsin,922900,548172,15851,9415,457768,7862,84830,1457
West Virginia,328600,268065,18336,14958,195200,10892,72456,4043
Wyoming,97750,60775,16890,10501,49361,8529,10495,1813
