COVID-19 Vaccinations in the United States
Date generated: Fri Feb 05 2021 15:08:52 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Distributed,Total Administered,Distributed per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,240325,129936,32852,17762,99596,13614,30172,4124
Alabama,799675,408428,16309,8330,338845,6911,69155,1410
Arkansas,516925,338227,17129,11208,266563,8833,68778,2279
American Samoa,29450,11257,52883,20214,9761,17528,1494,2683
Arizona,1185700,686116,16290,9426,573845,7884,111645,1534
Bureau of Prisons,36650,36195,N/A,N/A,24858,0,11259,0
California,6438225,3723803,16294,9424,3085932,7810,625189,1582
Colorado,983225,638923,17074,11095,485332,8428,149829,2602
Connecticut,666175,481826,18685,13514,375795,10540,97568,2737
District of Columbia,164900,94095,23365,13333,66645,9443,21313,3020
Dept of Defense,921400,530849,N/A,N/A,436270,0,85122,0
Delaware,161525,110784,16588,11377,89727,9214,20394,2094
Florida,3658975,2223754,17036,10354,1793625,8351,422482,1967
Federated States of Micronesia,21900,6699,21130,6464,6646,6412,26,25
Georgia,1686125,1008040,15881,9494,834091,7856,152626,1438
Guam,51300,26068,30947,15726,20785,12539,5108,3081
Hawaii,262900,151107,18568,10672,120533,8513,30573,2159
Iowa,471200,279252,14935,8851,206516,6546,69401,2200
Idaho,262275,141897,14676,7940,113110,6329,26345,1474
Indian Health Svc,477275,238594,N/A,N/A,182111,0,52748,0
Illinois,2053325,1178369,16204,9299,905981,7150,247763,1955
Indiana,1116375,671191,16583,9970,541269,8040,129626,1925
Kansas,471775,251425,16194,8630,198352,6808,51322,1762
Kentucky,746500,455783,16709,10202,372114,8329,81502,1824
Louisiana,746550,509982,16059,10970,393389,8462,115629,2487
Massachusetts,1229075,652929,17832,9473,517135,7503,134311,1949
Maryland,972225,565821,16081,9359,463885,7673,101425,1678
Maine,254550,153439,18937,11415,114962,8552,36870,2743
Marshall Islands,21000,4424,35951,7574,3955,6771,431,738
Michigan,1634000,1078808,16362,10802,835524,8366,229373,2297
Minnesota,931500,634453,16517,11250,459716,8152,131728,2336
Missouri,945850,505207,15411,8232,388692,6333,112106,1827
Northern Mariana Islands,29650,10966,52125,19279,7561,13292,3399,5976
Mississippi,494975,250905,16631,8431,222860,7488,27786,934
Montana,163675,116148,15314,10867,87042,8144,28942,2708
North Carolina,1715675,1063474,16358,10140,875375,8346,186914,1782
North Dakota,131625,106900,17272,14028,74387,9761,28847,3785
Nebraska,344225,195126,17795,10087,141657,7323,52390,2708
New Hampshire,244025,145086,17947,10670,108112,7951,36868,2711
New Jersey,1433750,851721,16142,9589,703957,7925,145570,1639
New Mexico,364775,294566,17397,14048,224290,10697,67246,3207
Nevada,424800,291601,13792,9467,244381,7934,45735,1485
New York State,3377325,2060301,17361,10591,1576553,8104,388798,1999
Ohio,1899800,1128082,16253,9651,908994,7776,217948,1865
Oklahoma,700225,484384,17696,12241,382044,9655,99354,2511
Oregon,706575,471983,16752,11190,369704,8765,100414,2381
Pennsylvania,2203850,1218735,17215,9520,958587,7488,257255,2009
Puerto Rico,621025,278321,19445,8715,214661,6721,62336,1952
Rhode Island,178600,103876,16859,9806,75963,7171,27884,2632
Republic of Palau,6000,3228,33506,18026,3109,17362,119,665
South Carolina,683600,497433,13277,9661,403766,7842,89983,1748
South Dakota,153450,115676,17346,13076,81697,9235,33898,3832
Tennessee,1090300,684242,15965,10019,477784,6996,204419,2993
Texas,4232675,2805359,14598,9675,2181310,7523,621991,2145
Utah,492450,353469,15360,11025,258569,8065,74992,2339
Virginia,1381375,949066,16184,11119,774590,9075,146937,1721
Veterans Health,1598925,1026173,N/A,N/A,816665,0,208498,0
Virgin Islands,20625,8212,19703,7845,6237,5958,1975,1887
Vermont,116075,77198,18602,12372,56221,9010,20843,3340
Washington,1168625,797358,15347,10471,637940,8378,147498,1937
Wisconsin,925800,548912,15901,9428,458321,7872,84998,1460
West Virginia,328600,276753,18336,15443,197939,11045,78405,4375
Wyoming,97750,60775,16890,10501,49361,8529,10495,1813
