COVID-19 Vaccinations in the United States
Date generated: Mon Feb 08 2021 15:11:07 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Delivered,Total Administered,Delivered per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,248500,146082,33969,19969,106311,14532,39541,5405
Alabama,804100,462332,16400,9429,375567,7660,86141,1757
Arkansas,540050,393445,17895,13037,300139,9946,90308,2993
American Samoa,29450,12259,52883,22013,9779,17560,2478,4450
Arizona,1186000,809230,16294,11118,656909,9025,151392,2080
Bureau of Prisons,37050,40333,N/A,N/A,26410,0,13826,0
California,6963500,4485166,17624,11351,3653538,9247,808832,2047
Colorado,991075,729895,17210,12675,528379,9175,197523,3430
Connecticut,740300,533941,20764,14976,402227,11282,123198,3455
District of Columbia,166950,105819,23656,14994,73505,10415,26151,3705
Dept of Defense,978500,621487,N/A,N/A,486222,0,125455,0
Delaware,161525,123428,16588,12675,98450,10110,24245,2490
Florida,3791925,2607527,17655,12141,1965590,9152,629556,2931
Federated States of Micronesia,21900,7415,21130,7154,7309,7052,79,76
Georgia,1688075,1146024,15899,10794,912189,8591,210237,1980
Guam,51300,29572,30947,17839,23564,14215,5820,3511
Hawaii,263000,187048,18575,13211,137230,9692,40514,2861
Iowa,510550,328412,16182,10409,237554,7529,87373,2769
Idaho,266475,185681,14911,10390,140916,7885,34322,1921
Indian Health Svc,492875,282039,N/A,N/A,208409,0,69477,0
Illinois,2089050,1401585,16486,11061,1086599,8575,288458,2276
Indiana,1118350,749771,16612,11137,593266,8812,156083,2318
Kansas,492250,296284,16897,10170,228774,7853,65559,2250
Kentucky,747000,548342,16720,12274,422976,9467,122785,2748
Louisiana,769750,599941,16558,12905,431119,9274,167576,3605
Massachusetts,1247600,780268,18101,11321,609483,8843,169148,2454
Maryland,1029725,665025,17032,11000,518048,8569,146335,2420
Maine,254550,178449,18937,13275,132273,9840,44447,3307
Marshall Islands,21000,4907,35951,8401,4412,7553,457,782
Michigan,1639575,1251940,16417,12536,924494,9257,312240,3127
Minnesota,950250,729088,16850,12928,528537,9372,157277,2789
Missouri,961525,625152,15667,10186,477412,7779,141134,2300
Northern Mariana Islands,29650,11889,52125,20901,7847,13795,4035,7094
Mississippi,515450,321032,17319,10787,264586,8890,56140,1886
Montana,163675,137765,15314,12890,101262,9475,36195,3387
North Carolina,1718275,1242541,16383,11847,979112,9335,262031,2498
North Dakota,131625,126822,17272,16642,85482,11217,37651,4941
Nebraska,346375,230874,17906,11935,163479,8451,66018,3413
New Hampshire,257700,165887,18953,12200,119552,8792,45567,3351
New Jersey,1480825,1074805,16672,12101,812914,9152,210601,2371
New Mexico,364875,331793,17401,15824,245330,11700,83100,3963
Nevada,427800,334073,13889,10846,269657,8755,62654,2034
New York State,3378300,2336867,17366,12013,1722302,8853,519101,2668
Ohio,1901750,1293965,16269,11070,1006750,8613,285694,2444
Oklahoma,734625,573746,18565,14500,424612,10731,145610,3680
Oregon,734950,532746,17425,12631,400019,9484,130687,3099
Pennsylvania,2292500,1407839,17907,10997,1082700,8457,321336,2510
Puerto Rico,624025,299694,19539,9384,229133,7175,69224,2168
Rhode Island,192300,117067,18152,11051,83326,7866,33699,3181
Republic of Palau,9200,3467,51377,19361,3109,17362,358,1999
South Carolina,684700,568917,13298,11050,450531,8750,113169,2198
South Dakota,161150,131439,18216,14858,91598,10354,39756,4494
Tennessee,1156975,791023,16942,11583,543793,7963,244539,3581
Texas,4402275,3246638,15182,11197,2464468,8499,779857,2690
Utah,493525,400285,15394,12486,284458,8873,88190,2751
Virginia,1387775,1103370,16259,12927,875842,10261,198115,2321
Veterans Health,1733525,1220300,N/A,N/A,927688,0,291482,0
Virgin Islands,20625,9477,19703,9053,6972,6660,2505,2393
Vermont,116075,87180,18602,13971,60863,9754,26162,4193
Washington,1208600,905118,15872,11886,709023,9311,183657,2412
Wisconsin,926300,742527,15909,12753,581413,9986,153227,2632
West Virginia,357000,322046,19920,17970,217613,12143,104023,5804
Wyoming,101650,71858,17563,12416,56076,9689,14835,2563
