COVID-19 Vaccinations in the United States
Date generated: Wed Feb 10 2021 15:10:10 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Delivered,Total Administered,Delivered per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,256900,152874,35117,20897,110936,15165,41698,5700
Alabama,823600,490969,16797,10013,395196,8060,95033,1938
Arkansas,580775,404127,19245,13391,305917,10137,95202,3155
American Samoa,29450,12680,52883,22769,9792,17583,2885,5181
Arizona,1265950,863807,17392,11868,695970,9562,166798,2292
Bureau of Prisons,42475,41040,N/A,N/A,26770,0,14173,0
California,7385225,4784478,18691,12109,3880253,9820,875340,2215
Colorado,1045000,757560,18146,13155,542165,9415,211328,3670
Connecticut,800225,554322,22445,15548,412601,11573,133196,3736
District of Columbia,166950,108475,23656,15370,75351,10677,26957,3820
Dept of Defense,998525,637359,N/A,N/A,498855,0,128690,0
Delaware,162525,127523,16690,13096,101383,10411,25405,2609
Florida,4217275,2731300,19636,12717,2023419,9421,694637,3234
Federated States of Micronesia,30000,7725,28946,7453,7550,7285,148,143
Georgia,1840775,1179950,17337,11113,927176,8733,227997,2147
Guam,51300,30923,30947,18654,24420,14731,6260,3776
Hawaii,285950,194035,20196,13704,142259,10047,42472,3000
Iowa,510550,351803,16182,11150,257459,8160,90525,2869
Idaho,282075,198826,15784,11126,151372,8470,37002,2071
Indian Health Svc,492875,297375,N/A,N/A,219484,0,73708,0
Illinois,2207200,1477780,17418,11662,1148175,9061,302923,2391
Indiana,1206125,761070,17916,11305,598731,8894,161879,2405
Kansas,492250,305574,16897,10489,233494,8015,70115,2407
Kentucky,828800,568658,18551,12728,436193,9763,129862,2907
Louisiana,880150,619729,18933,13331,438336,9429,180112,3874
Massachusetts,1273975,832242,18483,12075,649131,9418,181280,2630
Maryland,1098275,692965,18166,11462,537805,8896,154468,2555
Maine,276600,187512,20577,13950,138005,10267,47770,3554
Marshall Islands,21000,5145,35951,8808,4628,7923,479,820
Michigan,1846625,1309883,18491,13116,950705,9520,343580,3440
Minnesota,975850,745290,17303,13215,541133,9595,160794,2851
Missouri,962500,646863,15682,10540,492766,8029,147466,2403
Northern Mariana Islands,29650,12264,52125,21560,8023,14105,4233,7442
Mississippi,536625,329079,18031,11057,268534,9023,60237,2024
Montana,164650,140124,15405,13111,102903,9628,36907,3453
North Carolina,1722275,1287493,16421,12276,1005714,9589,280303,2673
North Dakota,143400,129780,18817,17030,87633,11499,38417,5041
Nebraska,386775,235298,19994,12164,165853,8574,68056,3518
New Hampshire,267450,168727,19670,12409,121201,8914,47409,3487
New Jersey,1480825,1096789,16672,12348,851190,9583,240470,2707
New Mexico,405500,346064,19339,16504,253534,12091,88738,4232
Nevada,510200,351531,16564,11413,282040,9157,67651,2196
New York State,3428000,2441693,17621,12551,1795592,9230,572426,2943
Ohio,2070625,1373728,17714,11752,1059251,9062,312725,2675
Oklahoma,750525,588207,18967,14865,432422,10928,152243,3847
Oregon,801125,572695,18994,13578,425086,10079,145517,3450
Pennsylvania,2322875,1478180,18145,11546,1134099,8859,340234,2658
Puerto Rico,630850,314047,19753,9833,236882,7417,75814,2374
Rhode Island,207950,122079,19630,11524,86264,8143,35770,3377
Republic of Palau,9200,3468,51377,19367,3109,17362,359,2005
South Carolina,712325,585692,13835,11376,460511,8944,119206,2315
South Dakota,167975,133231,18988,15060,92678,10476,40466,4574
Tennessee,1157375,812079,16948,11891,558590,8179,250647,3670
Texas,4594050,3436180,15844,11851,2589885,8932,843836,2910
Utah,531875,510267,16590,15916,307059,9578,105704,3297
Virginia,1544150,1161590,18091,13609,912014,10685,219823,2575
Veterans Health,1929100,1268553,N/A,N/A,958539,0,308881,0
Virgin Islands,21525,10064,20563,9614,7313,6986,2751,2628
Vermont,129875,93037,20814,14910,64864,10395,28010,4489
Washington,1364750,951204,17922,12491,740234,9721,198379,2605
Wisconsin,1045950,769314,17964,13213,600268,10310,160627,2759
West Virginia,380400,327414,21226,18269,219723,12260,107679,6008
Wyoming,113175,76457,19555,13211,58775,10155,16729,2890
