COVID-19 Vaccinations in the United States
Date generated: Thu Feb 11 2021 15:09:07 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Delivered,Total Administered,Delivered per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,260300,156255,35582,21360,112448,15371,43552,5953
Alabama,861175,515802,17564,10520,412462,8412,102520,2091
Arkansas,581875,418054,19281,13853,311339,10317,103669,3435
American Samoa,29450,13318,52883,23915,9818,17630,3494,6274
Arizona,1370175,897757,18824,12334,719051,9879,177565,2440
Bureau of Prisons,42475,42751,N/A,N/A,27564,0,15085,0
California,7607100,4957297,19253,12546,3994969,10111,928615,2350
Colorado,1110575,787041,19285,13667,557204,9676,225626,3918
Connecticut,801325,574750,22476,16121,423296,11873,142918,4009
District of Columbia,179725,108475,25466,15370,75351,10677,26957,3820
Dept of Defense,1012225,657414,N/A,N/A,511923,0,135576,0
Delaware,183250,130116,18819,13362,103319,10610,26054,2676
Florida,4258875,2835535,19829,13202,2064585,9613,756678,3523
Federated States of Micronesia,30000,8017,28946,7735,7744,7472,246,237
Georgia,1914800,1223850,18035,11527,946505,8915,251946,2373
Guam,51300,32443,30947,19571,25308,15267,6873,4146
Hawaii,296250,194035,20924,13704,142259,10047,42472,3000
Iowa,540375,368759,17127,11688,268974,8525,95650,3032
Idaho,310025,205379,17348,11493,155238,8687,39608,2216
Indian Health Svc,662850,306717,N/A,N/A,224869,0,77250,0
Illinois,2327100,1539781,18364,12151,1198096,9455,314687,2483
Indiana,1291675,795702,19186,11819,617918,9179,177231,2633
Kansas,553750,319662,19008,10972,241127,8277,76561,2628
Kentucky,840400,584947,18811,13093,442691,9909,139605,3125
Louisiana,882350,639019,18980,13746,448139,9640,189574,4078
Massachusetts,1393725,883945,20221,12825,687093,9969,194968,2829
Maryland,1101200,721159,18215,11929,551581,9124,168844,2793
Maine,285800,193246,21262,14376,141778,10547,49721,3699
Marshall Islands,21000,5260,35951,9005,4729,8096,493,844
Michigan,1865325,1358924,18678,13607,971480,9728,371358,3718
Minnesota,1058225,745290,18764,13215,541133,9595,160794,2851
Missouri,1021500,669658,16644,10911,507801,8274,154987,2525
Northern Mariana Islands,29650,12530,52125,22028,8174,14370,4348,7644
Mississippi,570075,345507,19155,11609,277287,9317,67829,2279
Montana,192125,144343,17976,13505,106038,9921,37966,3552
North Carolina,1831875,1336079,17466,12739,1033527,9854,300991,2870
North Dakota,143400,130019,18817,17061,88917,11668,39154,5138
Nebraska,398575,241067,20604,12462,169053,8739,70566,3648
New Hampshire,277225,176192,20389,12958,125466,9227,50602,3722
New Jersey,1688975,1148733,19015,12933,883576,9948,259944,2927
New Mexico,411350,354627,19618,16913,258073,12308,92720,4422
Nevada,521200,366333,16921,11893,291370,9460,73088,2373
New York State,3731300,2535824,19181,13035,1833754,9426,619504,3185
Ohio,2151175,1406437,18403,12032,1077597,9219,326984,2797
Oklahoma,779400,606406,19697,15325,440614,11135,162188,4099
Oregon,831350,589035,19711,13966,434561,10303,152361,3612
Pennsylvania,2437975,1538058,19044,12014,1176825,9193,356869,2788
Puerto Rico,651350,324368,20395,10157,242200,7584,80807,2530
Rhode Island,208350,124962,19668,11796,87862,8294,37051,3497
Republic of Palau,9200,3527,51377,19696,3109,17362,418,2334
South Carolina,732700,608062,14231,11810,475116,9228,126831,2463
South Dakota,173275,136438,19587,15423,94744,10710,41607,4703
Tennessee,1225075,839686,17939,12296,577121,8451,259283,3797
Texas,5010525,3568618,17280,12307,2672352,9216,893767,3082
Utah,554050,510267,17282,15916,307059,9578,105704,3297
Virginia,1559275,1187340,18268,13911,925586,10844,231608,2713
Veterans Health,1986425,1322833,N/A,N/A,988979,0,332704,0
Virgin Islands,24275,10718,23190,10239,7762,7415,2956,2824
Vermont,134075,93862,21487,15042,65577,10509,28122,4507
Washington,1405100,1008946,18452,13250,780179,10245,215824,2834
Wisconsin,1059200,796703,18192,13683,619711,10644,168029,2886
West Virginia,380400,332577,21226,18557,222233,12400,110332,6156
Wyoming,117475,79515,20298,13739,61170,10569,18180,3141
