COVID-19 Vaccinations in the United States
Date generated: Sun Feb 14 2021 15:11:01 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Delivered,Total Administered,Delivered per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,271550,175138,37120,23941,122463,16740,52380,7160
Alabama,963600,601159,19653,12261,467032,9525,133029,2713
Arkansas,630700,457386,20899,15156,330146,10940,124040,4110
American Samoa,29450,15382,52883,27621,10062,18068,5308,9532
Arizona,1393475,1041021,19145,14302,811080,11143,226158,3107
Bureau of Prisons,43775,46926,N/A,N/A,29797,0,17017,0
California,8051475,5562553,20377,14078,4345018,10997,1178577,2983
Colorado,1210475,885581,21020,15378,609445,10583,271661,4717
Connecticut,847200,654766,23762,18365,462710,12978,183146,5137
District of Columbia,193900,116261,27474,16473,81699,11576,34388,4873
Dept of Defense,1080050,726338,N/A,N/A,548146,0,167889,0
Delaware,188075,142103,19314,14593,111918,11493,29423,3022
Florida,4441375,3351430,20679,15604,2304435,10729,1028266,4788
Federated States of Micronesia,30000,9230,28946,8906,8434,8138,767,740
Georgia,2020275,1328795,19028,12515,987693,9303,313961,2957
Guam,51300,37750,30947,22773,27348,16498,10117,6103
Hawaii,310400,217780,21923,15381,159583,11271,58194,4110
Iowa,595775,432473,18883,13707,317851,10074,109660,3476
Idaho,328600,221585,18388,12399,163950,9174,46516,2603
Indian Health Svc,691650,362802,N/A,N/A,261997,0,95032,0
Illinois,2561800,1772568,20217,13988,1364527,10768,375992,2967
Indiana,1387975,1018783,20617,15133,749756,11137,267774,3977
Kansas,581975,367891,19976,12628,273430,9386,91577,3143
Kentucky,892100,649810,19968,14545,474397,10618,172518,3861
Louisiana,895150,735622,19256,15824,501286,10783,232766,5007
Massachusetts,1502725,1009560,21802,14647,771430,11192,235910,3423
Maryland,1192675,812231,19728,13435,598423,9898,212923,3522
Maine,299375,193246,22271,14376,141778,10547,49721,3699
Marshall Islands,21000,5730,35951,9809,5095,8722,596,1020
Michigan,1919675,1537856,19222,15399,1061320,10627,459336,4599
Minnesota,1130550,831483,20047,14744,622541,11039,205958,3652
Missouri,1129875,806902,18410,13147,592128,9648,205645,3351
Northern Mariana Islands,29650,13394,52125,23547,8596,15112,4789,8419
Mississippi,613900,407723,20627,13700,303627,10202,103462,3476
Montana,199825,167360,18697,15659,122026,11417,44935,4204
North Carolina,2047050,1523425,19518,14525,1114685,10628,406851,3879
North Dakota,155375,144179,20389,18920,96731,12693,45474,5967
Nebraska,407500,273950,21066,14162,188607,9750,83670,4325
New Hampshire,311875,200675,22937,14759,141108,10378,59402,4369
New Jersey,1775575,1309703,19990,14745,971241,10935,332888,3748
New Mexico,429950,399911,20505,19072,276820,13202,118379,5646
Nevada,533800,411057,17330,13345,318400,10337,90476,2937
New York State,3941225,2821335,20260,14503,1959193,10071,778565,4002
Ohio,2315100,1613153,19806,13800,1200949,10274,409487,3503
Oklahoma,815675,660835,20614,16701,468199,11832,188852,4773
Oregon,841550,650929,19953,15433,466801,11068,181841,4311
Pennsylvania,2682600,1678229,20955,13109,1269266,9915,403898,3155
Puerto Rico,706800,370837,22131,11612,266635,8349,102807,3219
Rhode Island,228650,136904,21584,12923,95258,8992,41591,3926
Republic of Palau,9200,4212,51377,23522,3109,17362,1103,6160
South Carolina,891450,674843,17314,13107,512156,9947,153014,2972
South Dakota,182025,155026,20576,17524,106251,12010,48674,5502
Tennessee,1357425,926787,19877,13571,634688,9294,288311,4222
Texas,5098825,4007986,17585,13823,2901250,10006,1103754,3807
Utah,579700,510267,18082,15916,307059,9578,105704,3297
Virginia,1596425,1330305,18703,15586,993156,11636,306484,3591
Veterans Health,2042525,1502661,N/A,N/A,1091919,0,409548,0
Virgin Islands,26425,12182,25244,11637,8649,8262,3533,3375
Vermont,138025,102716,22120,16461,70351,11274,32186,5158
Washington,1437825,1121779,18882,14731,844801,11094,263257,3457
Wisconsin,1082100,916129,18585,15734,689583,11844,216092,3711
West Virginia,395600,376113,22074,20987,242233,13516,133868,7470
Wyoming,122000,89138,21080,15402,65857,11379,23032,3980
