COVID-19 Vaccinations in the United States
Date generated: Wed Feb 17 2021 15:18:56 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Delivered,Total Administered,Delivered per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,271550,191008,37120,26110,129658,17724,60964,8334
Alabama,1015775,636682,20717,12985,486206,9916,149288,3045
Arkansas,631675,483438,20932,16020,343637,11387,136415,4520
American Samoa,29450,16109,52883,28927,10236,18381,5860,10523
Arizona,1396475,1154583,19186,15862,886107,12174,264416,3633
Bureau of Prisons,44750,48090,N/A,N/A,30719,0,17256,0
California,8250650,6210992,20881,15719,4708607,11917,1456222,3685
Colorado,1224575,1000597,21265,17375,686889,11928,308992,5366
Connecticut,914075,711142,25638,19946,494373,13866,206920,5804
District of Columbia,193900,126500,27474,17924,87243,12362,39060,5535
Dept of Defense,1096375,754935,N/A,N/A,563839,0,180770,0
Delaware,189050,152387,19414,15649,117600,12077,34002,3492
Florida,4597575,3598996,21406,16757,2441429,11367,1134793,5284
Federated States of Micronesia,30000,9980,28946,9629,8825,8515,1121,1082
Georgia,2130100,1473440,20062,13878,1040075,9796,402578,3792
Guam,51300,39504,30947,23831,27946,16859,11266,6796
Hawaii,311200,237172,21979,16751,168479,11899,68688,4851
Iowa,615100,485710,19496,15395,360301,11420,119865,3799
Idaho,333575,263625,18666,14752,187653,10501,64687,3620
Indian Health Svc,697025,385284,N/A,N/A,278647,0,100756,0
Illinois,2661550,1954382,21004,15423,1498639,11827,422981,3338
Indiana,1445100,1091762,21465,16217,787050,11691,303183,4503
Kansas,581975,397247,19976,13636,291726,10014,102601,3522
Kentucky,903775,711588,20229,15927,510373,11424,198180,4436
Louisiana,895350,784976,19260,16886,528052,11359,255269,5491
Massachusetts,1517375,1146860,22015,16639,863806,12533,280622,4071
Maryland,1231825,887943,20375,14687,642662,10630,244272,4040
Maine,317850,238137,23646,17716,171975,12794,64236,4779
Marshall Islands,21000,6455,35951,11051,5684,9731,726,1243
Michigan,2134425,1657007,21372,16592,1124024,11255,515237,5159
Minnesota,1165050,908875,20658,16116,669293,11868,236228,4189
Missouri,1138575,878941,18551,14321,630838,10279,238767,3890
Northern Mariana Islands,29650,14419,52125,25349,8945,15726,5465,9608
Mississippi,614100,438364,20634,14729,318006,10685,119684,4021
Montana,207250,181665,19391,16997,130926,12250,50311,4707
North Carolina,2074400,1684845,19779,16064,1198710,11429,483989,4615
North Dakota,162175,153427,21281,20133,102151,13405,49263,6464
Nebraska,407500,290626,21066,15024,198660,10270,90231,4665
New Hampshire,321625,216649,23654,15933,151248,11124,65235,4798
New Jersey,1790200,1427336,20155,16070,1037920,11685,383659,4319
New Mexico,448500,443359,21389,21144,300709,14341,137520,6558
Nevada,550375,446800,17868,14506,336432,10923,107905,3503
New York State,3993825,3110432,20530,15989,2102037,10805,924475,4752
Ohio,2350375,1794982,20107,15356,1308980,11198,482839,4131
Oklahoma,816650,694616,20638,17554,484478,12244,206173,5210
Oregon,862025,685214,20438,16246,483103,11454,199679,4734
Pennsylvania,2711550,1832629,21181,14315,1369992,10701,457037,3570
Puerto Rico,716800,387180,22444,12123,274733,8602,111002,3476
Rhode Island,234500,147019,22136,13878,100448,9482,46511,4390
Republic of Palau,9200,4677,51377,26118,3111,17373,1566,8745
South Carolina,926750,738476,18000,14343,542707,10541,183497,3564
South Dakota,189250,162885,21392,18412,111151,12564,51631,5836
Tennessee,1385925,992988,20294,14540,675421,9890,313510,4591
Texas,5112975,4256383,17633,14679,3037786,10477,1215236,4191
Utah,604675,532635,18861,16614,314844,9821,118086,3683
Virginia,1648500,1431501,19313,16771,1046408,12259,354097,4149
Veterans Health,2048375,1692702,N/A,N/A,1211927,0,479556,0
Virgin Islands,26425,12418,25244,11863,8806,8412,3612,3451
Vermont,147425,114986,23626,18428,78022,12504,36773,5893
Washington,1453425,1201284,19087,15775,890282,11691,296840,3898
Wisconsin,1223525,991691,21014,17032,736864,12656,243483,4182
West Virginia,429800,393643,23982,21965,250814,13995,142817,7969
Wyoming,122200,100186,21114,17310,72339,12499,27531,4757
