COVID-19 Vaccinations in the United States
Date generated: Fri Feb 19 2021 15:09:47 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Delivered,Total Administered,Delivered per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,271550,199151,37120,27223,133491,18248,65245,8919
Alabama,1032175,672038,21051,13706,505660,10313,165104,3367
Arkansas,664225,490737,22010,16261,346623,11486,140662,4661
American Samoa,29450,16269,52883,29214,10267,18436,5989,10754
Arizona,1396475,1202770,19186,16524,914468,12564,283955,3901
Bureau of Prisons,45725,49050,N/A,N/A,31146,0,17789,0
California,8722400,6496140,22075,16441,4865151,12313,1581541,4003
Colorado,1282300,1053041,22267,18286,724699,12584,322769,5605
Connecticut,922075,767183,25863,21518,525133,14729,231795,6501
District of Columbia,193900,130437,27474,18482,88924,12600,41311,5853
Dept of Defense,1146200,791494,N/A,N/A,580821,0,200272,0
Delaware,189050,159845,19414,16415,121487,12476,37499,3851
Florida,4700950,3819224,21888,17782,2562863,11933,1231696,5735
Federated States of Micronesia,30000,11119,28946,10728,9321,8993,1761,1699
Georgia,2145525,1569216,20208,14780,1073929,10115,462570,4357
Guam,51300,42671,30947,25741,29055,17528,13311,8030
Hawaii,320950,247392,22668,17473,174151,12300,73236,5173
Iowa,648600,507650,20557,16090,377848,11976,124111,3934
Idaho,336650,278474,18838,15583,195596,10945,71408,3996
Indian Health Svc,698000,401516,34321,19743,289605,14240,106026,5213
Illinois,2706400,2037388,21358,16078,1557154,12288,446598,3524
Indiana,1452900,1125976,21581,16725,803800,11940,320425,4760
Kansas,581975,417825,19976,14342,302165,10372,112651,3867
Kentucky,950600,726168,21277,16254,517316,11579,205575,4601
Louisiana,928425,795511,19971,17112,533933,11485,259851,5590
Massachusetts,1526150,1214821,22142,17625,912258,13236,299871,4351
Maryland,1249925,930567,20675,15392,664228,10987,265183,4386
Maine,321850,242445,23943,18036,174543,12985,65928,4905
Marshall Islands,21000,6760,35951,11573,5858,10029,856,1465
Michigan,2174800,1718790,21777,17211,1155117,11566,545553,5463
Minnesota,1200250,957275,21282,16974,696510,12350,257283,4562
Missouri,1144775,915475,18652,14916,646707,10537,259295,4225
Northern Mariana Islands,29650,15112,52125,26567,9187,16151,5915,10399
Mississippi,616050,438364,20700,14729,318006,10685,119684,4021
Montana,208225,190070,19483,17784,136359,12758,53250,4982
North Carolina,2119250,1782267,20206,16993,1238992,11813,540933,5158
North Dakota,163150,156751,21409,20569,104196,13673,50438,6619
Nebraska,427000,305057,22074,15770,206790,10690,96439,4985
New Hampshire,321625,226863,23654,16685,157078,11552,69617,5120
New Jersey,1790200,1542174,20155,17363,1103016,12418,433066,4876
New Mexico,454450,456034,21673,21749,306504,14618,144049,6870
Nevada,593275,466981,19261,15161,346585,11252,117870,3827
New York State,4022525,3253874,20678,16726,2176004,11186,993790,5109
Ohio,2402050,1861434,20549,15925,1343458,11493,514513,4402
Oklahoma,816650,700440,20638,17701,487252,12314,209203,5287
Oregon,878600,708570,20831,16800,496092,11762,209930,4977
Pennsylvania,2731050,2002786,21333,15644,1478146,11546,518285,4048
Puerto Rico,733200,408058,22958,12777,284163,8898,122443,3834
Rhode Island,234500,159931,22136,15097,108152,10209,51711,4881
Republic of Palau,9200,5314,51377,29676,3347,18691,1967,10985
South Carolina,939350,778113,18244,15113,562999,10935,201703,3918
South Dakota,197050,171175,22274,19349,116461,13165,54611,6173
Tennessee,1410500,1014351,20654,14853,691486,10125,318673,4666
Texas,5258675,4333726,18136,14946,3071010,10591,1259237,4343
Utah,618325,551742,19287,17210,322861,10071,126080,3933
Virginia,1714800,1503786,20090,17618,1076555,12613,396059,4640
Veterans Health,2111750,1773677,N/A,N/A,1251428,0,521010,0
Virgin Islands,26425,13648,25244,13038,9473,9049,4175,3988
Vermont,151350,118184,24255,18940,79606,12758,38381,6151
Washington,1500325,1255764,19703,16491,914138,12005,327192,4297
Wisconsin,1243125,1040145,21351,17864,762117,13089,266163,4571
West Virginia,441500,403532,24635,22517,254778,14216,148742,8300
Wyoming,127075,105426,21956,18216,74983,12956,30110,5203
