COVID-19 Vaccinations in the United States
Date generated: Sat Feb 20 2021 15:09:15 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Delivered,Total Administered,Delivered per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,299935,216223,41000,29557,143887,19669,71892,9827
Alabama,1077600,739132,21978,15075,545431,11124,192304,3922
Arkansas,691525,517271,22915,17141,362972,12028,150812,4997
American Samoa,29450,16269,52883,29214,10267,18436,5989,10754
Arizona,1679175,1376405,23070,18910,1036237,14237,335248,4606
Bureau of Prisons,47675,49913,N/A,N/A,31519,0,18276,0
California,9164130,6964603,23193,17626,5159868,13059,1753917,4439
Colorado,1332775,1132448,23144,19665,780757,13558,345623,6002
Connecticut,958925,822615,26896,23073,558539,15666,253770,7118
District of Columbia,225125,157111,31899,22262,106692,15118,50145,7105
Dept of Defense,1165700,810065,N/A,N/A,590070,0,209531,0
Delaware,204200,175305,20970,18003,130818,13434,43614,4479
Florida,4971575,4198451,23148,19548,2793123,13005,1378573,6419
Federated States of Micronesia,30000,11590,28946,11183,9468,9135,2070,1997
Georgia,2286360,1720789,21534,16207,1158554,10912,527556,4969
Guam,51300,46897,30947,28291,31432,18961,15150,9139
Hawaii,397750,301369,28092,21285,210213,14847,90892,6420
Iowa,669900,552706,21232,17518,411926,13056,134995,4279
Idaho,357200,304647,19988,17047,211625,11842,81497,4560
Indian Health Svc,704825,407039,33840,19543,292789,14057,108364,5203
Illinois,2883925,2174539,22759,17160,1647720,13003,492551,3887
Indiana,1487400,1194094,22094,17737,841694,12502,350440,5205
Kansas,624975,466718,21452,16020,334112,11468,128614,4415
Kentucky,998250,779109,22344,17439,547573,12256,228157,5107
Louisiana,987625,859565,21245,18490,572666,12319,285057,6132
Massachusetts,1580500,1316402,22931,19099,987512,14327,326108,4731
Maryland,1435375,1011323,23742,16728,709862,11742,300029,4963
Maine,335375,268162,24950,19949,190220,14151,75845,5642
Marshall Islands,21000,7417,35951,12698,6203,10619,1161,1988
Michigan,2270370,1833886,22734,18363,1223696,12253,591771,5925
Minnesota,1269275,1051784,22506,18650,754315,13375,293643,5207
Missouri,1222875,1014248,19925,16526,708969,11552,295456,4814
Northern Mariana Islands,29650,15525,52125,27293,9310,16367,6205,10909
Mississippi,647825,474304,21767,15937,341669,11480,131916,4432
Montana,250795,221225,23466,20699,157930,14777,62657,5862
North Carolina,2293000,1959215,21863,18680,1339762,12774,616620,5879
North Dakota,192100,182325,25208,23925,122026,16013,58099,7624
Nebraska,472325,347754,24417,17977,235260,12162,110603,5718
New Hampshire,328525,241386,24161,17753,166491,12245,74721,5495
New Jersey,1809900,1604448,20377,18064,1139254,12826,458928,5167
New Mexico,599575,562580,28594,26830,379606,18104,177122,8447
Nevada,645250,522332,20949,16958,380921,12367,138633,4501
New York State,4165325,3447521,21412,17722,2296133,11803,1066991,5485
Ohio,2504150,1999736,21423,17108,1432292,12253,563650,4822
Oklahoma,1061775,813518,26833,20559,565691,14296,240890,6088
Oregon,922300,767637,21867,18200,529837,12562,234021,5548
Pennsylvania,2989725,2184973,23354,17067,1601176,12507,577183,4509
Puerto Rico,764700,448755,23944,14051,308150,9649,139129,4356
Rhode Island,246175,181725,23238,17154,124576,11760,57064,5387
Republic of Palau,9200,5727,51377,31982,3347,18691,2380,13291
South Carolina,1064775,848054,20680,16471,610292,11853,222887,4329
South Dakota,262800,218198,29706,24665,148976,16840,69083,7809
Tennessee,1466450,1083579,21473,15867,740230,10839,339016,4964
Texas,5520100,4542622,19038,15666,3205884,11056,1331268,4591
Utah,657150,584648,20498,18236,343017,10699,136006,4242
Virginia,1942700,1645485,22760,19278,1154362,13524,459751,5386
Veterans Health,2125400,1815046,N/A,N/A,1268720,0,545078,0
Virgin Islands,26425,14851,25244,14187,10399,9934,4452,4253
Vermont,159650,127619,25585,20452,86590,13877,40829,6543
Washington,1601125,1362197,21026,17889,982469,12902,364470,4786
Wisconsin,1300325,1137395,22333,19535,818760,14062,306537,5265
West Virginia,481225,440614,26852,24586,279255,15582,161329,9002
Wyoming,150005,124310,25918,21479,87289,15082,36651,6333
