COVID-19 Vaccinations in the United States
Date generated: Mon Feb 22 2021 15:12:26 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Delivered,Total Administered,Delivered per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,299935,235141,41000,32143,152349,20826,82272,11246
Alabama,1082100,788613,22069,16084,567505,11574,219639,4480
Arkansas,691525,528467,22915,17512,367436,12176,157511,5219
American Samoa,29450,18778,52883,33719,10948,19659,7811,14026
Arizona,1688255,1469676,23194,20191,1087921,14947,376371,5171
Bureau of Prisons,49175,52266,N/A,N/A,32591,0,19556,0
California,9178020,7453468,23228,18864,5426591,13734,1974488,4997
Colorado,1348800,1202161,23422,20875,817009,14187,378242,6568
Connecticut,984275,860534,27607,24136,579380,16251,270792,7595
District of Columbia,225125,162674,31899,23050,109045,15451,53244,7544
Dept of Defense,1181300,854728,N/A,N/A,610523,0,233595,0
Delaware,204200,180940,20970,18582,133251,13684,46803,4806
Florida,5120975,4387051,23843,20426,2877011,13395,1481148,6896
Federated States of Micronesia,30000,12196,28946,11767,9715,9374,2425,2340
Georgia,2292085,1850856,21588,17432,1202374,11325,609520,5741
Guam,51300,48479,30947,29245,32024,19319,16121,9725
Hawaii,397750,322966,28092,22810,219881,15530,102818,7262
Iowa,707865,599489,22436,19001,445872,14132,147615,4679
Idaho,358200,326336,20044,18261,222381,12444,92265,5163
Indian Health Svc,732905,426034,35188,20455,304986,14643,115147,5528
Illinois,2924925,2339546,23082,18463,1742360,13750,560403,4422
Indiana,1487400,1269839,22094,18862,874152,12985,393133,5840
Kansas,645800,509332,22167,17483,356901,12251,148378,5093
Kentucky,1006050,824007,22518,18444,566677,12684,253857,5682
Louisiana,1042225,894519,22419,19242,590652,12705,301923,6495
Massachusetts,1737170,1426512,25204,20697,1054948,15306,367709,5335
Maryland,1450000,1087762,23984,17992,743806,12303,342271,5661
Maine,335375,268693,24950,19989,190495,14171,76101,5661
Marshall Islands,21000,8716,35951,14921,7170,12275,1491,2553
Michigan,2279240,1933648,22822,19362,1267083,12688,647617,6485
Minnesota,1284150,1136840,22770,20158,788468,13981,344300,6105
Missouri,1275555,1083721,20783,17658,736999,12008,336446,5482
Northern Mariana Islands,29650,15922,52125,27991,9575,16833,6337,11141
Mississippi,650750,491117,21866,16502,349797,11753,140550,4723
Montana,259215,237099,24253,22184,165472,15482,70876,6631
North Carolina,2363200,2068505,22532,19722,1373952,13100,691447,6593
North Dakota,198650,194406,26067,25511,126909,16653,65293,8568
Nebraska,482975,372655,24968,19265,252022,13028,118472,6124
New Hampshire,328525,260809,24161,19181,179139,13175,81490,5993
New Jersey,1917150,1689031,21584,19016,1172226,13197,510377,5746
New Mexico,605885,595951,28895,28422,394841,18830,194771,9289
Nevada,646450,569810,20988,18499,400079,12989,165269,5366
New York State,4171175,3621973,21442,18619,2369520,12180,1167934,6004
Ohio,2518775,2140688,21548,18314,1486509,12717,649412,5556
Oklahoma,1061775,865961,26833,21884,584493,14771,274345,6933
Oregon,924575,821720,21921,19482,552058,13089,265789,6302
Pennsylvania,2989725,2306828,23354,18019,1667727,13027,631998,4937
Puerto Rico,806625,476475,25257,14919,320383,10032,154598,4841
Rhode Island,246175,198626,23238,18750,136915,12924,61609,5816
Republic of Palau,9200,6314,51377,35260,3649,20378,2665,14882
South Carolina,1066275,910669,20710,17687,638364,12399,254826,4949
South Dakota,266970,232725,30178,26307,156792,17723,75719,8559
Tennessee,1478150,1117120,21645,16358,757333,11090,355245,5202
Texas,5652800,4673868,19495,16119,3267255,11268,1400924,4831
Utah,658750,610580,20548,19045,356371,11116,146286,4563
Virginia,1949525,1705294,22840,19979,1172647,13738,501118,5871
Veterans Health,2186925,1911289,N/A,N/A,1310255,0,599755,0
Virgin Islands,26425,16123,25244,15402,11244,10741,4879,4661
Vermont,163550,137144,26210,21979,91923,14732,45017,7214
Washington,1619340,1444507,21265,18969,1016677,13351,411387,5402
Wisconsin,1301825,1230619,22359,21136,858185,14739,359360,6172
West Virginia,481225,463513,26852,25864,290411,16205,173068,9657
Wyoming,150905,129470,26074,22370,89605,15482,39474,6820
