COVID-19 Vaccinations in the United States
Date generated: Tue Feb 23 2021 15:43:18 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Administered,Doses Administered per 100k,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered
Alaska,238279,32572,237233,43011
Alabama,793614,16186,793405,20798
Arkansas,535413,17742,535227,23094
American Samoa,18816,33788,18600,42821
Arizona,1506572,20698,1505143,26694
Bureau of Prisons,52347,N/A,52344,N/A
California,7604725,19247,7601090,24826
Colorado,1231699,21388,1231292,27367
Connecticut,882777,24760,881759,31071
District of Columbia,164207,23267,164196,28428
Dept of Defense,865896,N/A,865705,N/A
Delaware,183901,18886,183836,23869
Florida,4390626,20443,4387254,25437
Federated States of Micronesia,12196,11767,12192,15081
Georgia,1873683,17647,1873187,23087
Guam,49587,29913,49576,38342
Hawaii,331321,23400,331145,29672
Iowa,611188,19372,610684,25149
Idaho,336243,18815,336241,25114
Indian Health Svc,441876,21215,440597,N/A
Illinois,2354395,18580,2352876,23878
Indiana,1292340,19196,1292075,25020
Kansas,514728,17668,514285,23239
Kentucky,839508,18791,839247,24222
Louisiana,903226,19429,903099,25360
Massachusetts,1468992,21313,1468135,26502
Maryland,1111529,18386,1111197,23587
Maine,297116,22103,296974,27112
Marshall Islands,8926,15281,8918,19573
Michigan,1972201,19748,1971777,25141
Minnesota,1138309,20184,1137672,26235
Missouri,1103908,17986,1103510,23150
Northern Mariana Islands,16091,28288,16086,36256
Mississippi,499055,16768,498963,21908
Montana,240814,22532,240604,28637
North Carolina,2105120,20072,2103595,25693
North Dakota,196365,25768,196164,33711
Nebraska,380648,19678,380250,26074
New Hampshire,267893,19702,267391,24210
New Jersey,1711610,19270,1710083,24628
New Mexico,604732,28840,603623,37238
Nevada,586518,19042,586344,24559
New York State,3711664,19080,3710359,24054
Ohio,2196607,18792,2195644,24099
Oklahoma,891227,22523,890861,29649
Oregon,844210,20016,843120,25159
Pennsylvania,2358058,18419,2356509,23177
Puerto Rico,476647,14925,476493,18180
Rhode Island,206034,19449,205931,24089
Republic of Palau,6314,35260,6314,45207
South Carolina,932588,18113,931696,23076
South Dakota,235964,26673,235689,35306
Tennessee,1130834,16559,1130663,21257
Texas,4711180,16248,4696030,21745
Utah,610874,19054,610355,26831
Virginia,1735451,20332,1734310,25983
Veterans Health,1957142,N/A,1957130,N/A
Virgin Islands,16187,15463,16176,19811
Vermont,141436,22666,141330,27713
Washington,1479352,19427,1478595,24843
Wisconsin,1252322,21509,1251816,27477
West Virginia,465593,25980,465159,32470
Wyoming,135635,23435,135594,30469
