COVID-19 Vaccinations in the United States
Date generated: Thu Feb 25 2021 15:16:04 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Administered,Doses Administered per 100k,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered
Alaska,243650,33306,242559,43977
Alabama,839703,17126,839483,22005
Arkansas,554466,18373,554274,23915
American Samoa,19739,35445,19487,44863
Arizona,1555942,21377,1554412,27568
Bureau of Prisons,53728,N/A,53725,N/A
California,7876011,19933,7872193,25711
Colorado,1268302,22024,1267882,28180
Connecticut,912033,25581,910992,32102
District of Columbia,170343,24136,170331,29490
Dept of Defense,887011,N/A,886795,N/A
Delaware,189836,19495,189771,24639
Florida,4502702,20965,4499315,26086
Federated States of Micronesia,12999,12542,12995,16075
Georgia,1919262,18077,1918753,23649
Guam,51514,31076,51498,39829
Hawaii,339771,23997,339590,30429
Iowa,621717,19705,621204,25583
Idaho,346534,19391,346532,25883
Indian Health Svc,468627,22500,467164,N/A
Illinois,2461385,19424,2459774,24962
Indiana,1361053,20217,1360773,26350
Kansas,530904,18223,530453,23969
Kentucky,874840,19582,874567,25241
Louisiana,920794,19807,920654,25853
Massachusetts,1533534,22249,1532614,27666
Maryland,1159983,19187,1159620,24615
Maine,305362,22717,305213,27864
Marshall Islands,9995,17111,9987,21920
Michigan,2044496,20472,2044057,26062
Minnesota,1189101,21085,1188452,27406
Missouri,1137233,18529,1136824,23849
Northern Mariana Islands,17074,30017,17069,38471
Mississippi,525462,17656,525367,23067
Montana,246626,23076,246395,29326
North Carolina,2164489,20638,2162946,26418
North Dakota,199813,26220,199605,34303
Nebraska,405896,20983,405486,27805
New Hampshire,282235,20757,281710,25507
New Jersey,1803596,20306,1801904,25951
New Mexico,618666,29505,617383,38087
Nevada,606821,19701,606642,25409
New York State,3821059,19642,3819687,24763
Ohio,2288128,19575,2287119,25103
Oklahoma,935457,23641,935051,31119
Oregon,865750,20526,864609,25800
Pennsylvania,2425429,18946,2423826,23839
Puerto Rico,495114,15503,494958,18885
Rhode Island,218499,20626,218391,25547
Republic of Palau,7073,39499,7073,50641
South Carolina,973703,18912,972796,24094
South Dakota,242710,27435,242424,36315
Tennessee,1175995,17220,1175820,22106
Texas,4923960,16982,4908088,22727
Utah,629173,19625,628635,27635
Virginia,1803505,21129,1802290,27002
Veterans Health,2035752,N/A,2035735,N/A
Virgin Islands,17447,16667,17435,21353
Vermont,144970,23233,144862,28405
Washington,1514416,19888,1513632,25431
Wisconsin,1282723,22031,1282211,28144
West Virginia,474477,26475,474040,33090
Wyoming,136366,23562,136325,30633
