COVID-19 Vaccinations in the United States
Date generated: Fri Feb 26 2021 15:13:40 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Administered,Doses Administered per 100k,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered
Alaska,249559,34114,248436,45042
Alabama,864757,17637,864529,22662
Arkansas,572553,18973,572358,24696
American Samoa,19739,35445,19487,44863
Arizona,1607544,22086,1605824,28480
Bureau of Prisons,55100,N/A,55097,N/A
California,8064121,20409,8060175,26325
Colorado,1294236,22474,1293794,28756
Connecticut,925946,25971,924894,32591
District of Columbia,173030,24517,173018,29956
Dept of Defense,907189,N/A,906957,N/A
Delaware,195534,20080,195469,25379
Florida,4605201,21442,4601794,26680
Federated States of Micronesia,13320,12852,13316,16472
Georgia,1961849,18478,1961328,24174
Guam,52661,31768,52644,40715
Hawaii,348897,24642,348707,31246
Iowa,631160,20005,630647,25971
Idaho,356987,19976,356985,26663
Indian Health Svc,488731,23465,487043,N/A
Illinois,2519447,19882,2517791,25551
Indiana,1459296,21676,1459002,28252
Kansas,542433,18619,541974,24490
Kentucky,907836,20320,907558,26194
Louisiana,943419,20294,943271,26488
Massachusetts,1576657,22875,1575710,28444
Maryland,1199143,19835,1198757,25446
Maine,305397,22719,305246,27867
Marshall Islands,10360,17736,10352,22721
Michigan,2103114,21059,2102657,26810
Minnesota,1218799,21611,1218127,28090
Missouri,1167787,19027,1167370,24489
Northern Mariana Islands,17473,30718,17468,39371
Mississippi,525981,17673,525886,23090
Montana,252295,23606,252054,30000
North Carolina,2210412,21075,2208861,26979
North Dakota,203911,26758,203692,35005
Nebraska,422419,21837,421998,28937
New Hampshire,291248,21420,290719,26322
New Jersey,1866378,21013,1864610,26854
New Mexico,634845,30276,633445,39078
Nevada,622189,20200,622008,26053
New York State,3879303,19941,3877891,25140
Ohio,2351582,20118,2350535,25799
Oklahoma,967522,24451,967096,32186
Oregon,889531,21090,888349,26509
Pennsylvania,2489919,19449,2488264,24473
Puerto Rico,510041,15970,509885,19454
Rhode Island,226694,21399,226583,26505
Republic of Palau,8111,45295,8111,58073
South Carolina,997874,19381,996954,24692
South Dakota,250216,28284,249922,37438
Tennessee,1210159,17720,1209981,22748
Texas,5107257,17614,5090730,23572
Utah,662012,20649,661463,29078
Virginia,1848774,21660,1847511,27679
Veterans Health,2077586,N/A,2077569,N/A
Virgin Islands,17778,16983,17766,21759
Vermont,147828,23691,147720,28966
Washington,1562425,20518,1561620,26238
Wisconsin,1314188,22571,1313665,28835
West Virginia,485535,27092,485093,33861
Wyoming,141545,24457,141504,31797
