COVID-19 Vaccinations in the United States
Date generated: Sat Feb 27 2021 15:09:21 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with 1+ Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,People with 2 Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence
Alaska,332415,45440,60268,254334,34767,253128,45893,161595,22.1,160732,29.1,92233,12.6,91892,16.7
Alabama,1380380,28153,36184,893859,18230,893628,23425,627063,12.8,626848,16.4,286095,5.8,286074,7.5
Arkansas,861230,28538,37160,597990,19815,597791,25793,394906,13.1,394736,17,200532,6.6,200501,8.7
American Samoa,29450,52883,67799,20336,36517,20069,46203,12351,22.2,12169,28,8079,14.5,7994,18.4
Arizona,2143135,29444,38009,1671294,22961,1669244,29604,1168054,16,1166549,20.7,462074,6.3,461782,8.2
Bureau of Prisons,57155,N/A,N/A,57396,N/A,57393,N/A,34841,N/A,34839,N/A,22339,N/A,22338,N/A
California,11297300,28592,36898,8310945,21034,8306847,27131,5862161,14.8,5858948,19.1,2380502,6,2379687,7.8
Colorado,1658660,28803,36866,1323183,22977,1322719,29399,876097,15.2,875741,19.5,439201,7.6,439093,9.8
Connecticut,1190995,33405,41968,954153,26762,953085,33585,650134,18.2,649401,22.9,291338,8.2,291089,10.3
District of Columbia,280955,39809,48643,176044,24944,176032,30477,76194,10.8,76188,13.2,34923,4.9,34922,6
Dept of Defense,1414485,N/A,N/A,928797,N/A,928551,N/A,645656,N/A,645437,N/A,272456,N/A,272429,N/A
Delaware,291715,29957,37876,203745,20923,203679,26445,138321,14.2,138270,18,59922,6.2,59908,7.8
Florida,6083555,28325,35271,4704530,21904,4701100,27256,2976245,13.9,2973207,17.2,1616247,7.5,1615917,9.4
Federated States of Micronesia,30000,28946,37109,13819,13333,13815,17089,10414,10,10410,12.9,3441,3.3,3441,4.3
Georgia,2840015,26749,35003,2013769,18967,2013236,24813,1239379,11.7,1238972,15.3,705985,6.6,705853,8.7
Guam,51300,30947,39675,52701,31792,52684,40746,33696,20.3,33686,26.1,18631,11.2,18625,14.4
Hawaii,494020,34892,44267,359108,25363,358912,32160,237956,16.8,237816,21.3,123174,8.7,123117,11
Iowa,872345,27649,35925,654074,20731,653549,26915,491323,15.6,490937,20.2,163243,5.2,163098,6.7
Idaho,459355,25704,34309,367113,20543,367110,27420,243714,13.6,243709,18.2,116397,6.5,116394,8.7
Indian Health Svc,848190,40723,N/A,516471,24797,514410,N/A,358249,17.2,356542,N/A,152234,7.3,151913,N/A
Illinois,3557335,28073,36101,2639826,20832,2638086,26772,1923246,15.2,1921843,19.5,703902,5.6,703598,7.1
Indiana,1832150,27215,35478,1505040,22356,1504742,29138,965809,14.3,965591,18.7,523102,7.8,523023,10.1
Kansas,861645,29576,38934,560776,19249,560307,25318,405241,13.9,404913,18.3,185731,6.4,185578,8.4
Kentucky,1305725,29226,37685,945168,21156,944880,27271,654232,14.6,653998,18.9,316028,7.1,315951,9.1
Louisiana,1281480,27566,35985,978234,21043,978069,27465,617832,13.3,617701,17.3,343923,7.4,343895,9.7
Massachusetts,2068660,30013,37342,1625459,23583,1624455,29324,1162144,16.9,1161394,21,445006,6.5,444720,8
Maryland,1817795,30068,38586,1239644,20505,1239241,26305,842829,13.9,842515,17.9,438535,7.3,438428,9.3
Maine,411790,30634,37594,305477,22725,305326,27874,212039,15.8,211931,19.3,96724,7.2,96676,8.8
Marshall Islands,21000,35951,46091,10745,18395,10737,23566,8427,14.4,8418,18.5,2270,3.9,2269,5
Michigan,2679290,26828,34162,2165950,21688,2165470,27610,1399281,14,1398945,17.8,780148,7.8,780004,9.9
Minnesota,1590390,28200,36675,1261762,22373,1261064,29080,852799,15.1,852311,19.7,411197,7.3,410978,9.5
Missouri,1670085,27211,35035,1213449,19771,1213016,25447,774707,12.6,774399,16.2,379109,6.2,379008,8
Northern Mariana Islands,29650,52125,66827,17819,31326,17814,40151,10389,18.3,10385,23.4,7415,13,7414,16.7
Mississippi,842935,28323,37010,567276,19061,567172,24903,387299,13,387219,17,185527,6.2,185501,8.1
Montana,319315,29877,38005,260990,24419,260739,31033,179212,16.8,179007,21.3,81811,7.7,81770,9.7
North Carolina,2906485,27712,35500,2284698,21784,2283124,27886,1451906,13.8,1450905,17.7,801324,7.6,800752,9.8
North Dakota,245200,32176,42138,212625,27901,212404,36502,134672,17.7,134507,23.1,69636,9.1,69590,12
Nebraska,582930,30135,39972,442310,22865,441877,30300,293300,15.2,292995,20.1,143678,7.4,143547,9.8
New Hampshire,398575,29313,36088,299874,22054,299334,27102,215730,15.9,215346,19.5,94796,7,94665,8.6
New Jersey,2479720,27918,35712,1943116,21877,1941262,27958,1348635,15.2,1347199,19.4,670703,7.6,670285,9.7
New Mexico,736165,35108,45415,657118,31339,655621,40446,438670,20.9,437152,27,224643,10.7,224441,13.8
Nevada,858340,27867,35951,642562,20861,642378,26906,427656,13.9,427519,17.9,203549,6.6,203506,8.5
New York State,5627205,28926,36480,3955191,20331,3953742,25632,2525442,13,2524285,16.4,1325906,6.8,1325594,8.6
Ohio,3282255,28080,36025,2413164,20645,2412086,26474,1593638,13.6,1592930,17.5,804998,6.9,804624,8.8
