COVID-19 Vaccinations in the United States
Date generated: Sun Feb 28 2021 15:09:16 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with 1+ Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,People with 2 Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence
Alaska,342535,46824,62103,259538,35478,258312,46833,163739,22.4,162874,29.5,95331,13,94972,17.2
Alabama,1402180,28597,36756,931090,18989,930853,24401,643208,13.1,642987,16.9,307868,6.3,307847,8.1
Arkansas,892660,29580,38516,622665,20633,622462,26857,405877,13.4,405705,17.5,214402,7.1,214369,9.2
American Samoa,29450,52883,67799,20338,36521,20071,46207,12354,22.2,12172,28,8079,14.5,7994,18.4
Arizona,2148015,29511,38096,1728239,23744,1726138,30614,1195110,16.4,1193576,21.2,490688,6.7,490382,8.7
Bureau of Prisons,57155,N/A,N/A,59234,N/A,59231,N/A,36064,N/A,36062,N/A,22939,N/A,22938,N/A
California,11587650,29327,37846,8566470,21681,8562171,27965,5994948,15.2,5991564,19.6,2502426,6.3,2501579,8.2
Colorado,1700660,29532,37799,1324715,23004,1324251,29433,876958,15.2,876602,19.5,440259,7.6,440151,9.8
Connecticut,1198495,33616,42233,980211,27493,979126,34502,671322,18.8,670573,23.6,296178,8.3,295927,10.4
District of Columbia,284655,40334,49284,184748,26178,184736,31984,79693,11.3,79687,13.8,38247,5.4,38246,6.6
Dept of Defense,1434935,N/A,N/A,957910,N/A,957657,N/A,661048,N/A,660822,N/A,286109,N/A,286082,N/A
