COVID-19 Vaccinations in the United States
Date generated: Mon Mar 01 2021 15:09:44 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with 1+ Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,People with 2 Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence
Alaska,342535,46824,62103,264741,36189,263445,47763,166735,22.8,165852,30.1,97554,13.3,97142,17.6
Alabama,1402280,28599,36758,942502,19222,942261,24700,649745,13.3,649521,17,313290,6.4,313268,8.2
Arkansas,892660,29580,38516,649311,21516,649103,28007,419502,13.9,419328,18.1,227450,7.5,227413,9.8
American Samoa,29450,52883,67799,20338,36521,20071,46207,12355,22.2,12173,28,8079,14.5,7994,18.4
Arizona,2148015,29511,38096,1792447,24626,1790120,31748,1220706,16.8,1219024,21.6,525426,7.2,525086,9.3
Bureau of Prisons,57155,N/A,N/A,60283,N/A,60280,N/A,36995,N/A,36993,N/A,23057,N/A,23056,N/A
California,11587650,29327,37846,8821044,22325,8816524,28796,6141765,15.5,6138201,20,2609341,6.6,2608453,8.5
Colorado,1700660,29532,37799,1371577,23817,1371092,30474,901484,15.7,901115,20,461947,8,461832,10.3
Connecticut,1198495,33616,42233,1004467,28174,1003366,35357,690663,19.4,689900,24.3,301151,8.4,300897,10.6
District of Columbia,284655,40334,49284,194746,27594,194733,33715,83668,11.9,83661,14.5,40106,5.7,40105,6.9
Dept of Defense,1434935,N/A,N/A,992748,N/A,992477,N/A,678654,N/A,678414,N/A,303314,N/A,303283,N/A
Delaware,291815,29968,37889,219312,22522,219244,28466,144139,14.8,144087,18.7,69293,7.1,69278,9
Florida,6313355,29395,36604,5044420,23487,5040923,29226,3163425,14.7,3160329,18.3,1760865,8.2,1760528,10.2
Federated States of Micronesia,30000,28946,37109,14715,14198,14711,18197,10619,10.2,10615,13.1,4134,4,4134,5.1
Georgia,2881145,27136,35510,2072451,19519,2071907,25536,1259837,11.9,1259424,15.5,742880,7,742743,9.2
Guam,51300,30947,39675,55213,33307,55196,42689,34485,20.8,34475,26.7,20223,12.2,20217,15.6
Hawaii,497760,35156,44602,382798,27036,382589,34282,248020,17.5,247871,22.2,136943,9.7,136882,12.3
Iowa,901745,28581,37136,713054,22600,712511,29343,534690,16.9,534292,22,178637,5.7,178487,7.4
Idaho,485195,27150,36239,392370,21956,392364,29306,256810,14.4,256801,19.2,128072,7.2,128069,9.6
Indian Health Svc,868080,41678,N/A,553652,26582,551259,N/A,380562,18.3,378582,N/A,167073,8,166693,N/A
Illinois,3575135,28213,36281,2824209,22287,2822361,28642,2004662,15.8,2003192,20.3,806078,6.4,805732,8.2
Indiana,1848620,27459,35797,1590344,23623,1590034,30789,1004776,14.9,1004552,19.5,568523,8.4,568438,11
Kansas,867585,29780,39203,609765,20930,609272,27531,430237,14.8,429900,19.4,209331,7.2,209164,9.5
Kentucky,1317325,29486,38020,1020045,22832,1019730,29431,696591,15.6,696337,20.1,348731,7.8,348648,10.1
Louisiana,1331680,28646,37395,1056975,22737,1056776,29675,664121,14.3,663960,18.6,374818,8.1,374786,10.5
Massachusetts,2091730,30348,37759,1735916,25186,1734814,31316,1220455,17.7,1219632,22,496356,7.2,496048,9
Maryland,1837445,30393,39003,1325977,21933,1325536,28137,884208,14.6,883873,18.8,487671,8.1,487549,10.3
Maine,416090,30954,37986,332999,24773,332839,30386,227707,16.9,227596,20.8,108688,8.1,108634,9.9
