COVID-19 Vaccinations in the United States
Date generated: Tue Mar 02 2021 15:08:25 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with 1+ Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,People with 2 Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence
Alaska,342535,46824,62103,268406,36690,267067,48420,168069,23,167175,30.3,99916,13.7,99473,18
Alabama,1402280,28599,36758,948393,19342,948146,24854,653309,13.3,653079,17.1,316073,6.4,316051,8.3
Arkansas,892660,29580,38516,661572,21922,661364,28536,425567,14.1,425391,18.4,233685,7.7,233648,10.1
American Samoa,29450,52883,67799,20338,36521,20071,46207,12355,22.2,12173,28,8080,14.5,7995,18.4
Arizona,2148015,29511,38096,1849259,25406,1846750,32753,1244879,17.1,1243096,22,555881,7.6,555467,9.9
Bureau of Prisons,57155,N/A,N/A,60283,N/A,60280,N/A,36995,N/A,36993,N/A,23057,N/A,23056,N/A
California,11587650,29327,37846,9106077,23046,9101381,29726,6294258,15.9,6290539,20.5,2740495,6.9,2739585,8.9
Colorado,1700660,29532,37799,1412910,24535,1412387,31392,924947,16.1,924546,20.5,479652,8.3,479531,10.7
Connecticut,1198495,33616,42233,1031305,28926,1030188,36302,712375,20,711598,25.1,306075,8.6,305818,10.8
District of Columbia,284655,40334,49284,198047,28062,198034,34287,84724,12,84717,14.7,41210,5.8,41209,7.1
Dept of Defense,1434935,N/A,N/A,995054,N/A,994783,N/A,680202,N/A,679962,N/A,304072,N/A,304041,N/A
Delaware,291815,29968,37889,225374,23145,225304,29253,145722,15,145669,18.9,73675,7.6,73660,9.6
Florida,6313355,29395,36604,5047960,23503,5044463,29247,3166839,14.7,3163741,18.3,1761444,8.2,1761107,10.2
