COVID-19 Vaccinations in the United States
Date generated: Wed Mar 03 2021 15:14:37 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with 1+ Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,People with 2 Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence
Alaska,372725,50950,67576,269941,36900,268601,48698,168646,23.1,167751,30.4,100902,13.8,100459,18.2
Alabama,1461320,29803,38306,972161,19827,971908,25477,663187,13.5,662950,17.4,330046,6.7,330024,8.7
Arkansas,963040,31912,41552,670815,22229,670598,28934,431866,14.3,431681,18.6,236706,7.8,236668,10.2
American Samoa,29450,52883,67799,21079,37851,20797,47879,13028,23.4,12831,29.5,8142,14.6,8057,18.5
Arizona,2244885,30842,39814,1889742,25963,1887076,33468,1262868,17.4,1261046,22.4,575562,7.9,575105,10.2
Bureau of Prisons,65335,N/A,N/A,61002,N/A,60999,N/A,37239,N/A,37237,N/A,23532,N/A,23531,N/A
California,12528070,31707,40918,9497125,24036,9491922,31002,6520515,16.5,6516417,21.3,2900991,7.3,2899954,9.5
Colorado,1747350,30343,38837,1428854,24812,1428318,31746,935576,16.2,935163,20.8,484943,8.4,484821,10.8
Connecticut,1281935,35956,45173,1040154,29174,1039032,36613,719571,20.2,718789,25.3,307686,8.6,307428,10.8
District of Columbia,296805,42055,51388,199212,28227,199199,34488,85368,12.1,85361,14.8,41860,5.9,41859,7.2
Dept of Defense,1456635,N/A,N/A,996120,N/A,995848,N/A,680682,N/A,680441,N/A,304656,N/A,304625,N/A
Delaware,323935,33266,42059,225417,23149,225347,29259,145892,15,145839,18.9,73766,7.6,73751,9.6
Florida,6744275,31401,39102,5077891,23643,5074389,29420,3184067,14.8,3180964,18.4,1773464,8.3,1773127,10.3
Federated States of Micronesia,30000,28946,37109,15705,15153,15701,19422,10791,10.4,10787,13.3,4952,4.8,4952,6.1
Georgia,3067745,28893,37810,2085047,19638,2084497,25692,1268982,12,1268564,15.6,746611,7,746472,9.2
Guam,65500,39513,50658,55402,33421,55385,42835,34532,20.8,34522,26.7,20367,12.3,20361,15.7
Hawaii,536520,37893,48075,392771,27741,392558,35175,251442,17.8,251290,22.5,143658,10.1,143596,12.9
Iowa,940045,29795,38713,740713,23477,740150,30481,550827,17.5,550415,22.7,190215,6,190057,7.8
Idaho,517115,28937,38623,409641,22923,409635,30596,266252,14.9,266243,19.9,135920,7.6,135917,10.2
Indian Health Svc,868080,41678,N/A,577710,27737,575004,N/A,392515,18.8,390342,N/A,179169,8.6,178669,N/A
Illinois,3722705,29378,37779,2958947,23351,2956942,30008,2076864,16.4,2075296,21.1,867812,6.8,867407,8.8
Indiana,2053030,30496,39755,1624577,24131,1624265,31452,1021447,15.2,1021222,19.8,586294,8.7,586208,11.4
Kansas,868885,29825,39262,629548,21609,629047,28424,444176,15.2,443833,20.1,216606,7.4,216435,9.8
Kentucky,1418685,31754,40946,1061236,23754,1060885,30619,724283,16.2,723995,20.9,361821,8.1,361736,10.4
Louisiana,1479200,31819,41537,1084499,23329,1084288,30448,684129,14.7,683957,19.2,381780,8.2,381746,10.7
Massachusetts,2115560,30694,38189,1837816,26664,1836567,33153,1278555,18.5,1277636,23.1,538986,7.8,538655,9.7
Maryland,1946505,32197,41318,1390370,22998,1389886,29503,922936,15.3,922561,19.6,513499,8.5,513371,10.9
Maine,451450,33585,41214,334325,24871,334165,30507,229054,17,228943,20.9,108916,8.1,108862,9.9
Marshall Islands,21000,35951,46091,11351,19432,11343,24896,8843,15.1,8834,19.4,2461,4.2,2460,5.4
Michigan,3103600,31077,39572,2389534,23927,2389015,30461,1536958,15.4,1536594,19.6,870088,8.7,869933,11.1
Minnesota,1653440,29318,38129,1443875,25602,1443131,33279,971142,17.2,970621,22.4,476415,8.4,476181,11
Missouri,1709605,27855,35865,1384067,22551,1383543,29024,872317,14.2,871944,18.3,445647,7.3,445529,9.3
Northern Mariana Islands,43610,76667,98292,18894,33216,18889,42573,11073,19.5,11069,24.9,7807,13.7,7806,17.6
Mississippi,898945,30205,39470,646440,21721,646321,28378,427476,14.4,427390,18.8,224099,7.5,224066,9.8
Montana,342145,32013,40722,286163,26775,285892,34027,191691,17.9,191472,22.8,94683,8.9,94635,11.3
North Carolina,3028055,28871,36984,2545103,24267,2543451,31066,1626567,15.5,1625507,19.9,882572,8.4,881980,10.8
North Dakota,266470,34967,45794,238848,31342,238607,41005,149585,19.6,149409,25.7,79607,10.4,79554,13.7
Nebraska,604380,31244,41443,484888,25066,484443,33219,316806,16.4,316495,21.7,162493,8.4,162356,11.1
New Hampshire,437345,32165,39598,330538,24309,329959,29875,241410,17.8,240991,21.8,101109,7.4,100972,9.1
New Jersey,2618060,29475,37705,2187330,24626,2185097,31469,1511554,17,1509844,21.7,758817,8.5,758290,10.9
New Mexico,800425,38173,49379,721489,34409,719497,44386,475459,22.7,473561,29.2,254632,12.1,254187,15.7
Nevada,883370,28679,37000,723182,23479,722970,30281,462624,15,462476,19.4,242435,7.9,242379,10.2
New York State,5987175,30777,38814,4495821,23111,4493966,29134,2880527,14.8,2878994,18.7,1510765,7.8,1510409,9.8
Ohio,3573485,30571,39221,2723208,23297,2722005,29876,1755260,15,1754473,19.3,948185,8.1,947767,10.4
Oklahoma,1408880,35605,46889,1124662,28422,1124025,37408,708140,17.9,707632,23.6,401779,10.2,401677,13.4
Oregon,1293095,30659,38586,1038342,24618,1036971,30944,659018,15.6,658191,19.6,369954,8.8,369428,11
Pennsylvania,4025115,31441,39589,2886451,22547,2884397,28369,1991624,15.6,1990073,19.6,888877,6.9,888372,8.7
