COVID-19 Vaccinations in the United States
Date generated: Thu Mar 04 2021 15:14:25 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with 1+ Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,People with 2 Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence
Alaska,399225,54573,72381,273350,37366,271973,49310,170586,23.3,169678,30.8,102382,14,101916,18.5
Alabama,1469100,29962,38510,1000031,20396,999773,26207,674810,13.8,674569,17.7,346841,7.1,346818,9.1
Arkansas,964840,31972,41630,687433,22779,687208,29651,442371,14.7,442175,19.1,242999,8.1,242960,10.5
American Samoa,29450,52883,67799,21079,37851,20797,47879,13029,23.4,12832,29.5,8142,14.6,8057,18.5
Arizona,2392275,32867,42428,1930999,26529,1928259,34198,1277294,17.5,1275431,22.6,601274,8.3,600791,10.7
Bureau of Prisons,65335,N/A,N/A,62745,N/A,62742,N/A,38000,N/A,37998,N/A,24513,N/A,24512,N/A
California,12776090,32335,41728,9731169,24628,9725777,31765,6661278,16.9,6657021,21.7,2992863,7.6,2991796,9.8
Colorado,1847780,32087,41069,1462053,25388,1461508,32484,954066,16.6,953642,21.2,499168,8.7,499046,11.1
Connecticut,1309225,36721,46134,1061375,29770,1060232,37360,736848,20.7,736047,25.9,311505,8.7,311245,11
District of Columbia,310065,43934,53683,202090,28635,202076,34987,87114,12.3,87107,15.1,42850,6.1,42848,7.4
Dept of Defense,1556605,N/A,N/A,1017839,N/A,1017561,N/A,694151,N/A,693906,N/A,312894,N/A,312861,N/A
Delaware,327635,33646,42539,237669,24407,237599,30849,149940,15.4,149887,19.5,81275,8.3,81260,10.6
Florida,7112075,33114,41235,5167346,24059,5163817,29939,3237174,15.1,3234044,18.8,1807459,8.4,1807121,10.5
Federated States of Micronesia,30000,28946,37109,16189,15620,16185,20021,10879,10.5,10875,13.5,5348,5.2,5348,6.6
Georgia,3155155,29717,38888,2133517,20094,2132955,26289,1287231,12.1,1286806,15.9,775586,7.3,775441,9.6
Guam,86560,52218,66946,55435,33441,55418,42860,34553,20.8,34543,26.7,20382,12.3,20376,15.8
Hawaii,557040,39343,49914,399195,28194,398982,35751,253718,17.9,253566,22.7,147853,10.4,147791,13.2
Iowa,983345,31167,40496,753860,23894,753292,31022,557426,17.7,557010,22.9,196691,6.2,196533,8.1
Idaho,525115,29384,39221,418956,23444,418950,31291,270724,15.1,270715,20.2,140583,7.9,140580,10.5
Indian Health Svc,948600,45544,N/A,588253,28243,585453,N/A,398016,19.1,395782,N/A,184195,8.8,183662,N/A
Illinois,3925545,30979,39837,3022385,23851,3020330,30651,2110030,16.7,2108426,21.4,897827,7.1,897406,9.1
Indiana,2083930,30955,40353,1657664,24623,1657346,32093,1036064,15.4,1035835,20.1,604583,9,604495,11.7
Kansas,1004065,34465,45370,644921,22137,644414,29119,451969,15.5,451623,20.4,222809,7.6,222632,10.1
Kentucky,1435555,32132,41433,1082228,24224,1081862,31224,737443,16.5,737140,21.3,369729,8.3,369644,10.7
Louisiana,1482470,31889,41629,1107626,23826,1107412,31097,699188,15,699014,19.6,389540,8.4,389505,10.9
Massachusetts,2296020,33312,41447,1884139,27336,1882829,33988,1306343,19,1305376,23.6,557064,8.1,556724,10
Maryland,2044065,33810,43389,1454494,24058,1453969,30863,965135,16,964733,20.5,534605,8.8,534463,11.3
Maine,465150,34604,42465,334449,24881,334289,30518,229251,17.1,229140,20.9,108974,8.1,108920,9.9
Marshall Islands,35000,59918,76818,11351,19432,11343,24896,8843,15.1,8834,19.4,2461,4.2,2460,5.4
Michigan,3148950,31531,40150,2423899,24271,2423372,30899,1562225,15.6,1561857,19.9,879863,8.8,879704,11.2
Minnesota,1817920,32235,41922,1477533,26199,1476778,34055,993146,17.6,992618,22.9,488337,8.7,488099,11.3
Missouri,1848525,30119,38779,1415806,23068,1415269,29690,893880,14.6,893499,18.7,457221,7.4,457102,9.6
Northern Mariana Islands,43610,76667,98292,19225,33798,19220,43320,11256,19.8,11252,25.4,7955,14,7954,17.9
Mississippi,942435,31666,41379,665772,22370,665645,29226,438143,14.7,438050,19.2,232494,7.8,232460,10.2
Montana,370485,34664,44095,291572,27281,291288,34669,194837,18.2,194609,23.2,97027,9.1,96975,11.5
North Carolina,3278075,31255,40038,2606912,24856,2605249,31820,1665521,15.9,1664450,20.3,904005,8.6,903413,11
North Dakota,269610,35379,46333,241181,31648,240940,41406,150729,19.8,150553,25.9,80709,10.6,80656,13.9
Nebraska,654800,33850,44901,497106,25698,496655,34056,323340,16.7,323026,22.2,168026,8.7,167886,11.5
New Hampshire,454845,33452,41183,339484,24967,338891,30684,248242,18.3,247811,22.4,103470,7.6,103331,9.4
New Jersey,2780910,31309,40050,2249861,25330,2247525,32368,1555002,17.5,1553222,22.4,779227,8.8,778666,11.2
New Mexico,821845,39195,50700,735930,35097,733905,45275,483920,23.1,482007,29.7,260535,12.4,260065,16
Nevada,958450,31117,40144,733953,23828,733739,30732,468499,15.2,468348,19.6,247311,8,247254,10.4
New York State,6443525,33123,41773,4607571,23685,4605625,29858,2958184,15.2,2956566,19.2,1544883,7.9,1544521,10
Ohio,3686255,31536,40459,2790056,23869,2788828,30609,1794044,15.3,1793240,19.7,975219,8.3,974794,10.7
Oklahoma,1551080,39199,51621,1147833,29008,1147145,38178,720959,18.2,720408,24,411725,10.4,411619,13.7
Oregon,1335165,31656,39842,1050060,24896,1048674,31293,666187,15.8,665356,19.9,374752,8.9,374216,11.2
Pennsylvania,4280055,33433,42096,2948581,23032,2946480,28980,2027725,15.8,2026143,19.9,915065,7.1,914544,9
Puerto Rico,1135850,35565,43337,568025,17786,567856,21666,365692,11.5,365553,13.9,202838,6.4,202808,7.7
Rhode Island,351515,33182,41119,282767,26692,282637,33062,201965,19.1,201878,23.6,81394,7.7,81354,9.5
Republic of Palau,14600,81532,104532,8185,45708,8185,58602,5144,28.7,5144,36.8,3125,17.5,3125,22.4
South Carolina,1489675,28933,36896,1150199,22340,1149214,28463,768635,14.9,767931,19,377722,7.3,377453,9.3
South Dakota,357250,40383,53516,287657,32516,287301,43038,189979,21.5,189712,28.4,97334,11,97251,14.6
Tennessee,2043160,29918,38412,1455498,21313,1455266,27359,943375,13.8,943182,17.7,487741,7.1,487690,9.2
Texas,8709955,30039,40331,6191550,21353,6170740,28573,3850248,13.3,3836861,17.8,2098647,7.2,2091350,9.7
Utah,911620,28435,40075,745913,23266,745222,32760,422402,13.2,421914,18.5,196772,6.1,196655,8.6
Virginia,2762975,32370,41395,2220648,26017,2219104,33247,1431797,16.8,1430624,21.4,773361,9.1,773042,11.6
Veterans Health,2779685,N/A,N/A,2420189,N/A,2420170,N/A,1565132,N/A,1565118,N/A,853672,N/A,853667,N/A
Virgin Islands,38080,36378,46638,20149,19248,20136,24661,13044,12.5,13033,16,6754,6.5,6751,8.3
Vermont,230850,36996,45266,173179,27754,173049,33932,110313,17.7,110222,21.6,58977,9.5,58934,11.6
Washington,2517210,33056,42293,1888198,24796,1887202,31708,1210794,15.9,1210097,20.3,664542,8.7,664244,11.2
Wisconsin,1863155,32000,40896,1553270,26677,1552633,34080,1001656,17.2,1001215,22,539106,9.3,538907,11.8
West Virginia,652465,36407,45545,541453,30213,540950,37761,322461,18,322136,22.5,209451,11.7,209304,14.6
Wyoming,217215,37531,48810,162918,28150,162859,36595,103398,17.9,103352,23.2,57093,9.9,57081,12.8
