COVID-19 Vaccinations in the United States
Date generated: Fri Mar 05 2021 15:09:55 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with 1+ Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,People with 2 Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence
Alaska,409125,55926,74176,276891,37850,275468,49943,172414,23.6,171492,31.1,104129,14.2,103631,18.8
Alabama,1530470,31214,40118,1032171,21051,1031902,27049,688791,14,688542,18,365456,7.5,365430,9.6
Arkansas,990640,32827,42743,704368,23340,704137,30382,452615,15,452414,19.5,249956,8.3,249915,10.8
American Samoa,38810,69691,89348,21625,38832,21328,49101,13467,24.2,13257,30.5,8252,14.8,8165,18.8
Arizona,2453985,33715,43522,1979929,27202,1977081,35064,1298827,17.8,1296891,23,627446,8.6,626939,11.1
Bureau of Prisons,65335,N/A,N/A,66375,N/A,66372,N/A,40290,N/A,40288,N/A,25853,N/A,25852,N/A
California,13233190,33491,43221,9860209,24955,9854715,32186,6739681,17.1,6735351,22,3042381,7.7,3041289,9.9
Colorado,1933440,33574,42973,1494910,25959,1494346,33213,972060,16.9,971625,21.6,513386,8.9,513259,11.4
Connecticut,1345595,37742,47416,1087313,30497,1086154,38274,759702,21.3,758885,26.7,314508,8.8,314248,11.1
District of Columbia,324505,45980,56183,207421,29390,207406,35909,90190,12.8,90183,15.6,44086,6.2,44084,7.6
Dept of Defense,1628105,N/A,N/A,1039783,N/A,1039495,N/A,706316,N/A,706064,N/A,322651,N/A,322615,N/A
Delaware,347965,35734,45179,246194,25283,246120,31956,154498,15.9,154443,20.1,84956,8.7,84940,11
Florida,7200465,33525,41747,5314200,24743,5310623,30790,3328742,15.5,3325571,19.3,1859056,8.7,1858711,10.8
Federated States of Micronesia,34000,32805,42057,16578,15995,16574,20502,10928,10.5,10924,13.5,5689,5.5,5689,7
Georgia,3339265,31451,41157,2187289,20601,2186715,26951,1310024,12.3,1309591,16.1,805346,7.6,805197,9.9
Guam,86560,52218,66946,56131,33861,56114,43399,34944,21.1,34934,27,20683,12.5,20677,16
Hawaii,571340,40353,51195,411264,29047,411041,36831,259210,18.3,259047,23.2,154495,10.9,154432,13.8
Iowa,1020845,32356,42041,773314,24510,772734,31823,567609,18,567184,23.4,206008,6.5,205846,8.5
Idaho,546405,30576,40811,428196,23961,428190,31982,275118,15.4,275109,20.5,145396,8.1,145393,10.9
Indian Health Svc,1102700,52943,N/A,603339,28968,600332,N/A,407135,19.5,404744,N/A,190131,9.1,189549,N/A
Illinois,4093855,32307,41545,3107699,24524,3105597,31516,2153991,17,2152350,21.8,939034,7.4,938603,9.5
Indiana,2132730,31679,41298,1697536,25215,1697211,32865,1053529,15.6,1053296,20.4,626952,9.3,626861,12.1
Kansas,1044425,35850,47194,661143,22694,660632,29851,462106,15.9,461758,20.9,229206,7.9,229027,10.3
Kentucky,1449775,32450,41843,1117369,25010,1116990,32238,759350,17,759035,21.9,382469,8.6,382383,11
Louisiana,1515740,32605,42563,1139071,24503,1138852,31980,717682,15.4,717506,20.1,401946,8.6,401909,11.3
Massachusetts,2381160,34547,42984,1941018,28161,1939598,35013,1341520,19.5,1340449,24.2,578386,8.4,578044,10.4
Maryland,2110295,34906,44795,1497538,24770,1496982,31776,992264,16.4,991838,21.1,550801,9.1,550652,11.7
Maine,487680,36280,44522,334528,24887,334368,30526,229456,17.1,229345,20.9,109024,8.1,108970,9.9
Marshall Islands,35000,59918,76818,12111,20733,12103,26564,9394,16.1,9385,20.6,2669,4.6,2668,5.9
Michigan,3179160,31833,40535,2476796,24801,2476246,31573,1590980,15.9,1590603,20.3,904341,9.1,904168,11.5
Minnesota,1861010,32999,42915,1512877,26826,1512110,34870,1013705,18,1013171,23.4,503513,8.9,503269,11.6
Missouri,1900855,30972,39877,1458439,23763,1457867,30583,917676,15,917265,19.2,475411,7.7,475287,10
Northern Mariana Islands,43610,76667,98292,19580,34422,19575,44120,11423,20.1,11419,25.7,8144,14.3,8143,18.4
Mississippi,1005145,33773,44132,685610,23037,685474,30097,448882,15.1,448783,19.7,241445,8.1,241409,10.6
Montana,387485,36255,46119,301007,28164,300710,35791,199610,18.7,199373,23.7,101700,9.5,101644,12.1
North Carolina,3301865,31482,40329,2661523,25377,2659840,32487,1692968,16.1,1691879,20.7,930616,8.9,930020,11.4
North Dakota,289160,37944,49693,246289,32319,246045,42284,153398,20.1,153219,26.3,82964,10.9,82911,14.2
Nebraska,665870,34422,45660,513497,26545,513041,35180,332116,17.2,331800,22.8,175405,9.1,175262,12
New Hampshire,466775,34329,42263,349825,25728,349222,31619,255746,18.8,255305,23.1,106637,7.8,106497,9.6
New Jersey,2783610,31339,40089,2325257,26179,2322811,33452,1609464,18.1,1607605,23.2,801346,9,800753,11.5
New Mexico,862495,41133,53208,743904,35478,741769,45760,488139,23.3,486139,30,264446,12.6,263942,16.3
Nevada,984300,31956,41227,750160,24355,749941,31411,478334,15.5,478178,20,253502,8.2,253443,10.6
New York State,6565865,33751,42566,4730809,24318,4728748,30656,3052380,15.7,3050654,19.8,1574158,8.1,1573788,10.2
Ohio,3817675,32660,41901,2850454,24386,2849216,31272,1829145,15.6,1828334,20.1,999780,8.6,999351,11
Oklahoma,1635550,41333,54432,1181414,29857,1180656,39293,739525,18.7,738913,24.6,426191,10.8,426079,14.2
Oregon,1363665,32332,40692,1073041,25441,1071615,31977,677995,16.1,677153,20.2,385738,9.1,385173,11.5
Pennsylvania,4332465,33842,42611,3036398,23718,3034236,29843,2080306,16.2,2078671,20.4,950079,7.4,949551,9.3
Puerto Rico,1172550,36715,44737,595224,18637,595050,22703,379079,11.9,378937,14.5,216670,6.8,216638,8.3
Rhode Island,354585,33472,41478,290963,27466,290831,34021,208621,19.7,208531,24.4,82946,7.8,82906,9.7
Republic of Palau,14600,81532,104532,8185,45708,8185,58602,5145,28.7,5145,36.8,3126,17.5,3126,22.4
South Carolina,1541005,29930,38167,1202753,23360,1201759,29765,784515,15.2,783806,19.4,412007,8,411733,10.2
South Dakota,376770,42589,56440,294765,33320,294396,44100,193978,21.9,193707,29,100474,11.4,100383,15
Tennessee,2147660,31448,40376,1492576,21856,1492335,28056,965429,14.1,965230,18.1,501995,7.4,501941,9.4
Texas,8839175,30484,40930,6379094,22000,6357722,29439,3955205,13.6,3941496,18.3,2174327,7.5,2166791,10
Utah,953380,29738,41911,746392,23281,745701,32781,422649,13.2,422161,18.6,197103,6.1,196986,8.7
Virginia,2784575,32623,41719,2284452,26764,2282857,34202,1469462,17.2,1468258,22,798930,9.4,798598,12
Veterans Health,3191805,N/A,N/A,2476015,N/A,2475996,N/A,1595222,N/A,1595208,N/A,879401,N/A,879396,N/A
Virgin Islands,38080,36378,46638,21615,20649,21587,26438,14123,13.5,14097,17.3,7086,6.8,7083,8.7
Vermont,246000,39424,48237,175767,28168,175637,34440,111890,17.9,111798,21.9,59938,9.6,59895,11.7
Washington,2572750,33786,43226,1942877,25514,1941843,32626,1243596,16.3,1242875,20.9,686099,9,685787,11.5
Wisconsin,1876225,32224,41183,1596290,27416,1595627,35024,1024560,17.6,1024096,22.5,558736,9.6,558534,12.3
West Virginia,659465,36797,46033,553449,30882,552941,38598,330737,18.5,330409,23.1,213203,11.9,213054,14.9
Wyoming,224885,38856,50533,163194,28197,163135,36657,103497,17.9,103451,23.2,57249,9.9,57237,12.9
