COVID-19 Vaccinations in the United States
Date generated: Sat Mar 06 2021 15:09:42 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with 1+ Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,People with 2 Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence
Alaska,421375,57601,76397,281467,38476,279988,50763,174588,23.9,173641,31.5,106558,14.6,106029,19.2
Alabama,1556460,31744,40800,1064578,21712,1064302,27899,704173,14.4,703919,18.5,383078,7.8,383050,10
Arkansas,1064920,35288,45948,723756,23983,723519,31218,464641,15.4,464433,20,257367,8.5,257326,11.1
American Samoa,43210,77592,99477,21625,38832,21328,49101,13468,24.2,13258,30.5,8252,14.8,8165,18.8
Arizona,2598435,35699,46084,2038623,28008,2035634,36103,1325003,18.2,1322976,23.5,658220,9,657693,11.7
Bureau of Prisons,65335,N/A,N/A,70129,N/A,70126,N/A,42853,N/A,42851,N/A,27041,N/A,27040,N/A
California,13609110,34443,44449,10071476,25490,10065771,32876,6868469,17.4,6863955,22.4,3124031,7.9,3122913,10.2
Colorado,2008930,34885,44651,1528864,26549,1528287,33968,991979,17.2,991540,22,526521,9.1,526385,11.7
Connecticut,1421045,39858,50075,1121517,31457,1120342,39479,790039,22.2,789206,27.8,318025,8.9,317764,11.2
District of Columbia,337095,47764,58363,211736,30002,211711,36655,92623,13.1,92606,16,45362,6.4,45360,7.9
Dept of Defense,1676135,N/A,N/A,1065268,N/A,1064961,N/A,721060,N/A,720796,N/A,333385,N/A,333342,N/A
Delaware,359165,36884,46633,255036,26191,254962,33104,158871,16.3,158816,20.6,89355,9.2,89338,11.6
Florida,7524815,35035,43628,5448653,25369,5445056,31570,3416396,15.9,3413204,19.8,1902438,8.9,1902093,11
Federated States of Micronesia,34000,32805,42057,17098,16497,17094,21145,11128,10.7,11124,13.8,6010,5.8,6010,7.4
Georgia,3379335,31828,41651,2253011,21220,2252420,27761,1337534,12.6,1337086,16.5,841985,7.9,841833,10.4
Guam,86560,52218,66946,56407,34028,56390,43612,35076,21.2,35066,27.1,20823,12.6,20817,16.1
Hawaii,591220,41757,52977,421996,29805,421764,37792,264868,18.7,264696,23.7,159646,11.3,159583,14.3
Iowa,1068655,33871,44010,801113,25391,800527,32968,582004,18.4,581576,24,219494,7,219330,9
Idaho,589435,32983,44025,442491,24761,442485,33049,282541,15.8,282532,21.1,152239,8.5,152236,11.4
