COVID-19 Vaccinations in the United States
Date generated: Sun Mar 07 2021 15:09:31 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with 1+ Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,People with 2 Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence
Alaska,426715,58331,77365,288625,39454,287102,52053,178237,24.4,177272,32.1,110053,15,109498,19.9
Alabama,1628350,33210,42684,1099697,22428,1099407,28819,721109,14.7,720846,18.9,402061,8.2,402028,10.5
Arkansas,1088150,36058,46951,744139,24658,743900,32097,477127,15.8,476916,20.6,265226,8.8,265184,11.4
American Samoa,43210,77592,99477,21625,38832,21328,49101,13468,24.2,13258,30.5,8252,14.8,8165,18.8
Arizona,2623735,36047,46533,2043739,28078,2040701,36192,1328642,18.3,1326561,23.5,662235,9.1,661689,11.7
Bureau of Prisons,65335,N/A,N/A,71759,N/A,71756,N/A,43896,N/A,43894,N/A,27625,N/A,27624,N/A
California,13885120,35141,45350,10415023,26359,10408981,33997,7075139,17.9,7070328,23.1,3259014,8.2,3257856,10.6
Colorado,2019460,35068,44885,1580162,27439,1579562,35107,1019416,17.7,1018959,22.6,549441,9.5,549299,12.2
Connecticut,1434565,40237,50551,1157114,32455,1155911,40732,822106,23.1,821249,28.9,321484,9,321219,11.3
District of Columbia,337095,47764,58363,220634,31262,220609,38195,95302,13.5,95285,16.5,49150,7,49148,8.5
Dept of Defense,1711265,N/A,N/A,1094565,N/A,1094232,N/A,738100,N/A,737819,N/A,345622,N/A,345570,N/A
Delaware,361765,37151,46971,264601,27173,264524,34345,163954,16.8,163896,21.3,93706,9.6,93689,12.2
Florida,7771315,36183,45057,5688357,26485,5684682,32959,3574315,16.6,3571061,20.7,1978276,9.2,1977915,11.5
Federated States of Micronesia,34000,32805,42057,17624,17005,17620,21796,11290,10.9,11286,14,6374,6.1,6374,7.9
Georgia,3437635,32377,42369,2308087,21739,2307470,28440,1365901,12.9,1365434,16.8,867118,8.2,866959,10.7
Guam,87860,53002,67951,56477,34070,56460,43666,35123,21.2,35113,27.2,20849,12.6,20843,16.1
Hawaii,598100,42243,53593,434343,30677,434103,38898,271432,19.2,271254,24.3,165543,11.7,165478,14.8
Iowa,1106755,35079,45579,861247,27297,860561,35440,607257,19.2,606809,25,253261,8,253022,10.4
Idaho,594115,33245,44375,457434,25597,457428,34165,289977,16.2,289968,21.7,159634,8.9,159631,11.9
Indian Health Svc,1123090,53922,N/A,642492,30847,639008,N/A,427332,20.5,424580,N/A,209045,10,208347,N/A
Illinois,4378835,34556,44437,3341021,26366,3338637,33881,2275017,18,2273203,23.1,1050701,8.3,1050166,10.7
Indiana,2206230,32771,42721,1800802,26749,1800469,34864,1106523,16.4,1106284,21.4,676716,10.1,676621,13.1
Kansas,1091625,37470,49326,707897,24299,707352,31963,491746,16.9,491371,22.2,246974,8.5,246790,11.2
Kentucky,1555915,34826,44906,1209546,27073,1209098,34897,820729,18.4,820350,23.7,413054,9.2,412963,11.9
Louisiana,1640860,35296,46077,1179915,25381,1179688,33126,741136,15.9,740953,20.8,418865,9,418827,11.8
Massachusetts,2497130,36230,45077,2082052,30207,2080531,37557,1423801,20.7,1422662,25.7,636626,9.2,636257,11.5
Maryland,2116560,35009,44928,1606378,26571,1605783,34086,1063374,17.6,1062918,22.6,589659,9.8,589499,12.5
Maine,503580,37463,45974,398509,29646,398339,36366,267398,19.9,267281,24.4,134846,10,134786,12.3
Marshall Islands,35000,59918,76818,13292,22755,13284,29156,10027,17.2,10018,22,3215,5.5,3214,7.1
Michigan,3363430,33679,42885,2637353,26408,2636754,33620,1702571,17,1702159,21.7,955377,9.6,955188,12.2
Minnesota,1953700,34642,45053,1627997,28867,1627186,37523,1086169,19.3,1085603,25,547744,9.7,547483,12.6
Missouri,2032445,33116,42637,1552157,25290,1551553,32549,976273,15.9,975830,20.5,509879,8.3,509751,10.7
Northern Mariana Islands,44010,77371,99193,20309,35704,20304,45763,11937,21,11933,26.9,8359,14.7,8358,18.8
Mississippi,1067855,35880,46886,736826,24758,736663,32344,480626,16.1,480506,21.1,259941,8.7,259900,11.4
Montana,411145,38469,48935,324102,30325,323763,38534,210773,19.7,210509,25.1,113545,10.6,113473,13.5
North Carolina,3624905,34562,44274,2760801,26323,2759038,33699,1758662,16.8,1757500,21.5,963741,9.2,963139,11.8
North Dakota,299900,39354,51539,264133,34660,263866,45346,164433,21.6,164236,28.2,88541,11.6,88487,15.2
Nebraska,712720,36844,48872,536126,27715,535660,36731,344638,17.8,344319,23.6,185677,9.6,185527,12.7
New Hampshire,496675,36528,44970,371111,27293,370477,33544,270198,19.9,269733,24.4,114351,8.4,114205,10.3
New Jersey,3070400,34568,44219,2478696,27906,2476012,35659,1712715,19.3,1710677,24.6,857205,9.7,856554,12.3
New Mexico,901345,42986,55605,801111,38206,798599,49266,519972,24.8,517690,31.9,288529,13.8,287924,17.8
Nevada,1033680,33559,43295,800030,25974,799803,33499,508997,16.5,508836,21.3,271618,8.8,271555,11.4
New York State,7010045,36035,45445,5042187,25919,5039773,32672,3292632,16.9,3290571,21.3,1644257,8.5,1643868,10.7
Ohio,4057505,34712,44534,3027215,25898,3025914,33211,1943411,16.6,1942545,21.3,1059485,9.1,1059050,11.6
Oklahoma,1741270,44005,57951,1246152,31493,1245218,41442,781746,19.8,780969,26,447602,11.3,447485,14.9
