COVID-19 Vaccinations in the United States
Date generated: Tue Mar 09 2021 15:14:34 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence
Alaska,426715,58331,77365,298144,40755,296547,53765,182230,24.9,181229,32.9,115635,15.8,115042,20.9,213915,210300,2500,0,0,135872,162216,56,51458,64169,2,6,51452,63582,2,6,115633,24.9,181229,32.9,15.8,115040,20.9,182230
Alabama,1628350,33210,42684,1116676,22775,1116361,29263,732967,14.9,732683,19.2,409937,8.4,409900,10.7,754650,859600,14100,0,1528,578887,536261,0,199638,208670,1619,10,199633,208638,1619,10,408318,14.9,732683,19.2,8.3,408281,10.7,732967
Arkansas,1088150,36058,46951,773357,25626,773112,33358,494761,16.4,494542,21.3,277217,9.2,277174,12,497250,559600,31300,0,94,389550,383615,98,131161,145921,115,20,131159,145880,115,20,277102,16.4,494542,21.3,9.2,277059,12,494761
American Samoa,43210,77592,99477,21625,38832,21328,49101,13469,24.2,13259,30.5,8254,14.8,8167,18.8,30810,12400,0,0,0,5043,16582,0,2088,6165,1,0,2088,6078,1,0,8253,24.2,13259,30.5,14.8,8166,18.8,13469
Arizona,2623735,36047,46533,2215219,30434,2211746,39226,1416598,19.5,1414235,25.1,738410,10.1,737812,13.1,1266135,1279200,78400,0,884,1006119,1207707,509,295394,441963,874,179,295389,441371,873,179,737536,19.5,1414235,25.1,10.1,736939,13.1,1416598
Bureau of Prisons,65335,N/A,N/A,72174,N/A,72171,N/A,44090,N/A,44088,N/A,27841,N/A,27840,N/A,37635,27700,0,0,0,28405,43769,0,9863,17978,0,0,9863,17977,0,0,27841,N/A,44088,N/A,0,27840,0,44090
California,13885120,35141,45350,10805474,27347,10798914,35270,7318100,18.5,7312812,23.9,3406971,8.6,3405773,11.1,6730620,6979200,175300,0,1452,5260760,5543234,28,1611685,1794056,1220,10,1611442,1793101,1220,10,3405751,18.5,7312812,23.9,8.6,3404553,11.1,7318100
Colorado,2019460,35068,44885,1627458,28261,1626836,36158,1047703,18.2,1047223,23.3,571975,9.9,571826,12.7,941460,1022400,55600,0,3888,801970,821204,396,277353,290790,3744,88,277345,290651,3742,88,568231,18.2,1047223,23.3,9.9,568084,12.6,1047703
Connecticut,1434565,40237,50551,1228865,34467,1227609,43258,883688,24.8,882784,31.1,340912,9.6,340632,12,734565,660600,39400,0,9391,552887,666571,16,129133,202449,9325,5,129040,202273,9314,5,331587,24.8,882784,31.1,9.3,331318,11.7,883688
District of Columbia,337095,47764,58363,230110,32605,230080,39835,100571,14.3,100549,17.4,51723,7.3,51721,9,179595,153100,4400,0,0,92495,137615,0,23742,27816,157,8,23741,27815,157,8,51566,14.3,100549,17.4,7.3,51564,8.9,100571
