COVID-19 Vaccinations in the United States
Date generated: Wed Mar 10 2021 15:14:55 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence
Alaska,430685,58873,78085,302687,41376,301083,54587,184906,25.3,183899,33.3,117345,16,116751,21.2,215085,211700,3900,0,0,138326,164305,56,52386,64949,4,6,52380,64361,4,6,117341,25.3,183899,33.3,16,116747,21.2,184906
Alabama,1689050,34448,44275,1140984,23270,1140657,29900,747268,15.2,746978,19.6,420083,8.6,420040,11,778050,861700,49300,0,1528,590055,549401,0,205713,212720,1640,10,205707,212683,1640,10,418443,15.2,746978,19.6,8.5,418400,11,747268
Arkansas,1158630,38393,49992,782750,25938,782504,33763,501653,16.6,501433,21.6,279815,9.3,279772,12.1,537030,588600,33000,0,382,394324,387946,98,132735,146660,400,20,132733,146619,400,20,279415,16.6,501433,21.6,9.3,279372,12.1,501653
American Samoa,43210,77592,99477,21625,38832,21328,49101,13471,24.2,13261,30.5,8254,14.8,8167,18.8,30810,12400,0,0,0,5043,16582,0,2088,6165,1,0,2088,6078,1,0,8253,24.2,13261,30.5,14.8,8166,18.8,13471
Arizona,2638855,36254,46801,2245854,30855,2242306,39768,1435152,19.7,1432773,25.4,750217,10.3,749605,13.3,1273155,1286000,79700,0,1923,1016242,1227179,510,300471,447763,1804,179,300466,447157,1803,179,748413,19.7,1432773,25.4,10.3,747802,13.3,1435152
Bureau of Prisons,73715,N/A,N/A,72539,N/A,72536,N/A,44155,N/A,44153,N/A,28141,N/A,28140,N/A,42315,31400,0,0,0,28620,43919,0,10043,18098,0,0,10043,18097,0,0,28141,N/A,44153,N/A,0,28140,0,44155
California,15047220,38082,49146,10925581,27651,10918803,35662,7400238,18.7,7394748,24.2,3444791,8.7,3443578,11.2,7292220,7358100,396900,0,1956,5304803,5618793,29,1628682,1814279,1820,10,1628439,1813309,1820,10,3442971,18.7,7394748,24.2,8.7,3441758,11.2,7400238
Colorado,2119340,36802,47105,1650716,28665,1650073,36675,1061907,18.4,1061408,23.6,584872,10.2,584720,13,1004640,1058900,55800,0,8075,810499,831746,396,278429,298559,7796,88,278421,298417,7794,88,577076,18.4,1061408,23.6,10,576926,12.8,1061907
Connecticut,1525915,42799,53770,1245687,34939,1244427,43851,897576,25.2,896669,31.6,345611,9.7,345330,12.2,787215,696000,42700,0,11205,557040,677426,16,129452,205044,11110,5,129359,204867,11099,5,334501,25.2,896669,31.6,9.4,334231,11.8,897576
District of Columbia,355785,50412,61599,232666,32967,232636,40278,102392,14.5,102370,17.7,52813,7.5,52811,9.1,187785,160200,7800,0,0,93975,138691,0,24395,28187,223,8,24394,28186,223,8,52590,14.5,102370,17.7,7.5,52588,9.1,102392
Dept of Defense,1719605,N/A,N/A,1320734,N/A,1320251,N/A,868701,N/A,868338,N/A,436245,N/A,436125,N/A,900705,776300,42600,0,0,626441,693894,399,191123,245122,0,0,191116,245009,0,0,436245,N/A,868338,N/A,0,436125,0,868701
Delaware,389215,39970,50535,285101,29278,285018,37006,174037,17.9,173976,22.6,103622,10.6,103602,13.5,194415,184000,10800,0,504,133999,150565,33,50137,52918,555,12,50133,52902,555,12,103067,17.9,173976,22.6,10.6,103047,13.4,174037
Florida,8455205,39367,49022,5961421,27756,5957660,34542,3760044,17.5,3756711,21.8,2074763,9.7,2074393,12,4090905,4081800,282500,0,14278,2957292,2982845,7006,1004061,1053982,14279,2441,1003843,1053832,14277,2441,2060484,17.5,3756711,21.8,9.6,2060116,11.9,3760044
Federated States of Micronesia,47400,45734,58633,18133,17496,18129,22425,11506,11.1,11502,14.2,6670,6.4,6670,8.3,0,46600,800,0,0,18133,0,0,6650,20,0,0,6650,20,0,0,6670,11.1,11502,14.2,6.4,6670,8.3,11506
Georgia,3706995,34914,45689,2406206,22663,2405550,29649,1420118,13.4,1419619,17.5,910623,8.6,910455,11.2,1681095,1919000,106900,0,541,1351299,1054154,212,505632,404268,618,105,505612,404120,618,105,910005,13.4,1419619,17.5,8.6,909837,11.2,1420118
Guam,87860,53002,67951,58396,35228,58379,45150,35680,21.5,35670,27.6,22200,13.4,22194,17.2,48360,38200,1300,0,0,28652,29744,0,10052,12148,0,0,10051,12143,0,0,22200,21.5,35670,27.6,13.4,22194,17.2,35680
Hawaii,632120,44645,56641,464100,32778,463836,41562,287071,20.3,286871,25.7,179965,12.7,179898,16.1,342420,277200,12500,0,216,162762,207362,93760,64299,97439,225,18002,64281,97403,225,17989,179740,20.3,286871,25.7,12.7,179673,16.1,287071
Iowa,1162165,36835,47861,952377,30186,951626,39190,653454,20.7,652966,26.9,313434,9.9,313167,12.9,527865,601000,33300,0,16160,512498,423600,119,155620,142156,15651,7,155616,141895,15649,7,297783,20.7,652966,26.9,9.4,297518,12.3,653454
Idaho,617985,34581,46157,489220,27376,489213,36539,304032,17,304022,22.7,178260,10,178257,13.3,277485,322100,18400,0,563,256937,231565,155,91993,85679,563,25,91993,85676,563,25,177697,17,304022,22.7,9.9,177694,13.3,304032
Indian Health Svc,1126690,54095,N/A,669504,32144,665645,N/A,442180,21.2,439144,N/A,221461,10.6,220673,N/A,417690,687100,21900,0,285,359783,309436,0,101160,120017,284,0,101135,119254,284,0,221177,21.2,439144,N/A,10.6,220389,0,442180
Illinois,4715845,37215,47857,3601065,28418,3598448,36518,2414809,19.1,2412812,24.5,1166993,9.2,1166413,11.8,2229045,2362500,124300,0,237,1766160,1833385,1283,543582,622537,496,378,543558,621981,496,378,1166497,19.1,2412812,24.5,9.2,1165917,11.8,2414809
Indiana,2443780,36300,47321,1892845,28116,1892491,36646,1161968,17.3,1161719,22.5,724015,10.8,723908,14,1170780,1207600,65400,0,10843,886391,993582,2029,321772,390737,10786,720,321768,390634,10786,720,713229,17.3,1161719,22.5,10.6,713122,13.8,1161968
Kansas,1094695,37576,49465,751652,25801,751089,33939,521147,17.9,520746,23.5,265215,9.1,265021,12,503295,560700,30700,0,1530,422369,327612,141,136609,127176,1373,57,136605,126986,1373,57,263842,17.9,520746,23.5,9.1,263648,11.9,521147
Kentucky,1692775,37889,48856,1293847,28960,1293303,37327,872816,19.5,872356,25.2,448228,10,448122,12.9,816075,830400,46300,0,2564,673095,618110,78,231510,214019,2644,55,231505,213918,2644,55,445584,19.5,872356,25.2,10,445478,12.9,872816
Louisiana,1739230,37412,48839,1286353,27671,1286102,36115,811301,17.5,811099,22.8,465217,10,465175,13.1,872430,815600,51200,0,12669,547574,725319,791,163836,288678,12345,358,163831,288642,12345,357,452872,17.5,811099,22.8,9.7,452830,12.7,811301
Massachusetts,2657570,38557,47973,2226167,32298,2224537,40156,1510698,21.9,1509489,27.2,706965,10.3,706554,12.8,1245270,1334300,78000,0,14446,1104504,1107177,40,302458,390187,14315,5,302443,389792,14314,5,692650,21.9,1509489,27.2,10,692240,12.5,1510698
Maryland,2254210,37286,47850,1715039,28368,1714344,36390,1141469,18.9,1140939,24.2,647080,10.7,646892,13.7,1091610,1097500,65100,0,27408,853019,833604,1008,281896,338195,26710,279,281883,338021,26709,279,620370,18.9,1140939,24.2,10.3,620183,13.2,1141469
Maine,541780,40305,49461,432219,32154,432037,39442,290479,21.6,290356,26.5,152152,11.3,152083,13.9,246480,278900,16400,0,6345,215631,210214,29,69707,76093,6347,5,69697,76036,6345,5,145805,21.6,290356,26.5,10.8,145738,13.3,290479
Marshall Islands,35000,59918,76818,14523,24863,14513,31853,10732,18.4,10721,23.5,3744,6.4,3743,8.2,0,35000,0,0,0,14523,0,0,3741,1,2,0,3740,1,2,0,3742,18.4,10721,23.5,6.4,3741,8.2,10732
Michigan,3758740,37637,47925,2787289,27910,2786656,35531,1805357,18.1,1804914,23,1009603,10.1,1009405,12.9,1792440,1856900,109400,0,3875,1269268,1514146,0,386156,619465,3947,35,386148,619275,3947,35,1005656,18.1,1804914,23,10.1,1005458,12.8,1805357
Minnesota,2011060,35659,46375,1746992,30977,1746143,40266,1167407,20.7,1166803,26.9,603801,10.7,603536,13.9,976560,976100,58400,0,16567,804312,925966,147,236860,350441,16460,40,236848,350191,16457,40,587341,20.7,1166803,26.9,10.4,587079,13.5,1167407
Missouri,2043505,33296,42869,1647096,26837,1646379,34538,1038458,16.9,1037949,21.8,544220,8.9,544059,11.4,1025505,967300,50700,0,3145,657770,985996,185,174443,366436,3318,23,174435,366284,3318,22,540902,16.9,1037949,21.8,8.8,540741,11.3,1038458
Northern Mariana Islands,44010,77371,99193,20708,36405,20702,46660,12062,21.2,12057,27.2,8633,15.2,8632,19.5,30810,12800,400,0,0,2332,18376,0,610,8023,0,0,610,8022,0,0,8633,21.2,12057,27.2,15.2,8632,19.5,12062
Mississippi,1089955,36623,47856,780649,26230,780462,34267,509358,17.1,509220,22.4,280373,9.4,280326,12.3,489255,568700,32000,0,5473,418511,356271,394,143919,131011,5433,10,143914,130969,5433,10,274940,17.1,509220,22.4,9.2,274893,12.1,509358
