COVID-19 Vaccinations in the United States
Date generated: Thu Mar 11 2021 15:14:40 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence
Alaska,445125,60847,80703,307769,42071,306145,55505,188281,25.7,187263,34,119073,16.3,118470,21.5,217425,221000,6700,0,0,141564,166149,56,53106,65955,6,6,53100,65358,6,6,119067,25.7,187263,34,16.3,118464,21.5,188281
Alabama,1775660,36214,46546,1173820,23940,1173481,30761,768502,15.7,768201,20.1,435018,8.9,434974,11.4,781560,944800,49300,0,4298,606814,562708,0,213942,216600,4464,12,213936,216562,4464,12,430554,15.7,768201,20.1,8.8,430510,11.3,768502
Arkansas,1162330,38516,50151,799184,26482,798931,34472,513591,17,513363,22.2,285284,9.5,285241,12.3,537030,592300,33000,0,1053,402556,395468,107,136180,147969,1115,20,136178,147928,1115,20,284169,17,513363,22.2,9.4,284126,12.3,513591
American Samoa,43210,77592,99477,23696,42551,23335,53721,15085,27.1,14826,34.1,8706,15.6,8604,19.8,30810,12400,0,0,0,5238,18458,0,2105,6600,1,0,2105,6498,1,0,8705,27.1,14826,34.1,15.6,8603,19.8,15085
Arizona,2887485,39670,51210,2293559,31510,2289946,40613,1464494,20.1,1462061,25.9,767107,10.5,766489,13.6,1365585,1442200,79700,0,2847,1038946,1251206,560,311976,452260,2674,197,311971,451648,2673,197,764433,20.1,1462061,25.9,10.5,763816,13.5,1464494
Bureau of Prisons,73715,N/A,N/A,73254,N/A,73254,N/A,44353,N/A,44353,N/A,28645,N/A,28645,N/A,42315,31400,0,0,0,29064,44190,0,10414,18231,0,0,10414,18231,0,0,28645,N/A,44353,N/A,0,28645,0,44353
California,15301360,38726,49976,11062505,27998,11055469,36108,7497005,19,7491289,24.5,3485179,8.8,3483935,11.4,7353060,7502200,446100,0,2255,5374049,5686172,29,1655256,1827710,2203,10,1655012,1826710,2203,10,3482976,19,7491289,24.5,8.8,3481732,11.4,7497005
Colorado,2213800,38442,49204,1694476,29424,1693807,37647,1089653,18.9,1089130,24.2,609417,10.6,609261,13.5,1014000,1144000,55800,0,17580,825578,850899,419,282027,310163,17134,93,282019,310018,17131,93,592283,18.9,1089130,24.2,10.3,592130,13.2,1089653
Connecticut,1558445,43712,54916,1272581,35694,1271305,44798,920595,25.8,919676,32.4,354352,9.9,354066,12.5,797745,718000,42700,0,15935,566984,689638,24,130428,208064,15850,10,130333,207885,15838,10,338502,25.8,919676,32.4,9.5,338228,11.9,920595
District of Columbia,358485,50795,62067,238189,33750,238158,41234,105267,14.9,105244,18.2,54738,7.8,54736,9.5,187785,162900,7800,0,1,96559,141629,0,25638,28777,315,8,25637,28776,315,8,54423,14.9,105244,18.2,7.7,54421,9.4,105267
Dept of Defense,1809345,N/A,N/A,1343861,N/A,1343337,N/A,885870,N/A,885467,N/A,442127,N/A,442006,N/A,938145,828600,42600,0,0,638123,705339,399,194679,247448,0,0,194672,247334,0,0,442127,N/A,885467,N/A,0,442006,0,885870
Delaware,397815,40853,51651,285262,29295,285179,37027,174501,17.9,174440,22.6,103844,10.7,103824,13.5,194415,192600,10800,0,504,134155,150570,33,50273,52997,563,11,50269,52981,563,11,103281,17.9,174440,22.6,10.6,103261,13.4,174501
Florida,8531035,39720,49462,6070173,28263,6066357,35172,3833243,17.8,3829859,22.2,2111915,9.8,2111540,12.2,4101435,4146500,283100,0,19039,2994730,3049010,7394,1020967,1069384,18990,2574,1020749,1069232,18985,2574,2092925,17.8,3829859,22.2,9.7,2092555,12.1,3833243
Federated States of Micronesia,47400,45734,58633,18423,17775,18419,22784,11612,11.2,11608,14.4,6857,6.6,6857,8.5,0,46600,800,0,0,18423,0,0,6837,20,0,0,6837,20,0,0,6857,11.2,11608,14.4,6.6,6857,8.5,11612
Georgia,3782385,35624,46618,2408998,22689,2408342,29683,1422182,13.4,1421682,17.5,911979,8.6,911811,11.2,1689285,1983500,109600,0,541,1353223,1055022,212,506632,404555,680,112,506612,404407,680,112,911299,13.4,1421682,17.5,8.6,911131,11.2,1422182
Guam,87860,53002,67951,60379,36424,60360,46682,36034,21.7,36023,27.9,23824,14.4,23817,18.4,48360,38200,1300,0,0,30133,30246,0,11200,12624,0,0,11199,12618,0,0,23824,21.7,36023,27.9,14.4,23817,18.4,36034
Hawaii,647520,45733,58021,475859,33609,475573,42614,294934,20.8,294711,26.4,184608,13,184541,16.5,342420,292600,12500,0,497,167358,214244,93760,66601,99494,510,18003,66583,99458,510,17990,184098,20.8,294711,26.4,13,184031,16.5,294934
Iowa,1196265,37916,49265,969877,30740,969119,39911,663400,21,662907,27.3,323127,10.2,322858,13.3,527865,633300,35100,0,18421,520483,430854,119,159475,145784,17861,7,159471,145521,17859,7,305266,21,662907,27.3,9.7,304999,12.6,663400
Idaho,627055,35089,46835,497534,27841,497527,37160,309022,17.3,309012,23.1,182275,10.2,182272,13.6,278655,330000,18400,0,1334,260381,235658,161,93779,87137,1332,27,93779,87134,1332,27,180943,17.3,309012,23.1,10.1,180940,13.5,309022
Indian Health Svc,1185450,56916,N/A,684185,32849,680176,N/A,449268,21.6,446096,N/A,229137,11,228335,N/A,450450,713100,21900,0,375,368574,315236,0,106143,122620,374,0,106118,121843,374,0,228763,21.6,446096,N/A,11,227961,0,449268
Illinois,4863485,38380,49356,3672596,28982,3669903,37243,2452227,19.4,2450172,24.9,1200821,9.5,1200226,12.2,2231385,2502600,129500,0,278,1803946,1867023,1349,561846,637939,633,403,561822,637368,633,403,1200188,19.4,2450172,24.9,9.5,1199593,12.2,2452227
Indiana,2473740,36745,47901,1934412,28734,1934049,37451,1186992,17.6,1186734,23,745011,11.1,744902,14.4,1180140,1217900,75700,0,15484,901463,1015331,2134,330962,397868,15419,762,330958,397763,15419,762,729592,17.6,1186734,23,10.8,729483,14.1,1186992
Kansas,1194795,41012,53988,769636,26418,769051,34751,532078,18.3,531657,24,273211,9.4,273010,12.3,538395,625700,30700,0,2369,430543,336573,151,140344,130576,2228,63,140340,130380,2227,63,270983,18.3,531657,24,9.3,270783,12.2,532078
Kentucky,1709375,38261,49335,1318808,29519,1318242,38047,891206,19.9,890725,25.7,456204,10.2,456097,13.2,816075,847000,46300,0,4710,685866,628153,79,235515,215907,4726,56,235510,215806,4725,56,451478,19.9,890725,25.7,10.1,451372,13,891206
Louisiana,1787330,38447,50189,1309279,28164,1309023,36758,825386,17.8,825181,23.2,475726,10.2,475683,13.4,872430,863700,51200,0,14942,560179,733367,791,168845,292020,14503,358,168840,291984,14502,357,461223,17.8,825181,23.2,9.9,461181,13,825386
Massachusetts,2724620,39530,49184,2313916,33571,2312230,41739,1567359,22.7,1566114,28.3,749328,10.9,748898,13.5,1251120,1395500,78000,0,26633,1149285,1137957,41,319181,403755,26387,5,319165,403342,26386,5,722941,22.7,1566114,28.3,10.5,722512,13,1567359
Maryland,2320250,38379,49252,1761081,29130,1760341,37367,1175253,19.4,1174687,24.9,666478,11,666281,14.1,1093950,1161200,65100,0,34512,870907,854626,1036,288381,344171,33641,285,288368,343989,33639,285,632837,19.4,1174687,24.9,10.5,632642,13.4,1175253
Maine,557580,41480,50903,441443,32840,441261,40284,296707,22.1,296584,27.1,156492,11.6,156423,14.3,246480,294700,16400,0,7632,219824,213957,30,71520,77332,7635,5,71510,77275,7633,5,148857,22.1,296584,27.1,11.1,148790,13.6,296707
Marshall Islands,35600,60945,78135,14987,25657,14977,32872,10897,18.7,10886,23.9,4041,6.9,4040,8.9,0,35000,600,0,0,14987,0,0,4038,1,2,0,4037,1,2,0,4039,18.7,10886,23.9,6.9,4038,8.9,10897
Michigan,3777560,37825,48165,2831319,28350,2830664,36092,1834706,18.4,1834248,23.4,1025697,10.3,1025491,13.1,1799460,1868600,109500,0,4729,1291839,1534751,0,395711,625098,4850,38,395702,624902,4849,38,1020847,18.4,1834248,23.4,10.2,1020642,13,1834706
Minnesota,2167130,38427,49974,1771967,31420,1771106,40842,1185323,21,1184707,27.3,617550,11,617281,14.2,1036230,1071900,59000,0,23004,814223,934593,147,240860,353757,22893,40,240848,353505,22888,40,594657,21,1184707,27.3,10.5,594393,13.7,1185323
Missouri,2197225,35800,46094,1685362,27460,1684629,35341,1060792,17.3,1060272,22.2,564507,9.2,564343,11.8,1102725,1041000,53500,0,7581,679648,997929,204,187258,369522,7704,23,187247,369370,7704,22,556803,17.3,1060272,22.2,9.1,556639,11.7,1060792
