COVID-19 Vaccinations in the United States
Date generated: Fri Mar 12 2021 15:15:15 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence
Alaska,462875,63274,83921,313365,42836,311703,56513,190712,26.1,189677,34.4,122197,16.7,121574,22,223275,231500,8100,0,2,143877,169430,56,54166,68017,7,7,54159,67401,7,7,122190,26.1,189677,34.4,16.7,121567,22,190712
Alabama,1816230,37042,47609,1209802,24674,1209449,31703,790864,16.1,790553,20.7,452746,9.2,452698,11.9,782730,978900,54600,0,7611,625740,576451,0,223582,221322,7827,15,223576,221280,7827,15,444919,16.1,790553,20.7,9.1,444871,11.7,790864
Arkansas,1209300,40072,52178,800091,26512,799838,34511,514556,17.1,514328,22.2,285811,9.5,285768,12.3,538200,638100,33000,0,1105,403135,395744,107,136572,147993,1226,20,136570,147952,1226,20,284585,17.1,514328,22.2,9.4,284542,12.3,514556
American Samoa,43210,77592,99477,23696,42551,23335,53721,15085,27.1,14826,34.1,8706,15.6,8604,19.8,30810,12400,0,0,0,5238,18458,0,2105,6600,1,0,2105,6498,1,0,8705,27.1,14826,34.1,15.6,8603,19.8,15085
Arizona,2909125,39968,51594,2350374,32291,2346634,41618,1496266,20.6,1493745,26.5,792205,10.9,791577,14,1367925,1461500,79700,0,5290,1067101,1277368,615,326124,460991,4877,213,326118,460370,4876,213,787328,20.6,1493745,26.5,10.8,786701,14,1496266
Bureau of Prisons,73715,N/A,N/A,76224,N/A,76224,N/A,46675,N/A,46675,N/A,29287,N/A,29287,N/A,42315,31400,0,0,0,30258,45966,0,10836,18451,0,0,10836,18451,0,0,29287,N/A,46675,N/A,0,29287,0,46675
California,15725740,39800,51362,11220508,28398,11213293,36624,7600220,19.2,7594351,24.8,3541495,9,3540224,11.6,7486440,7769300,470000,0,4101,5451055,5765319,33,1687798,1849552,4135,10,1687542,1848537,4135,10,3537360,19.2,7594351,24.8,9,3536089,11.5,7600220
Colorado,2298570,39914,51088,1764066,30633,1763285,39191,1133732,19.7,1133104,25.2,640244,11.1,640083,14.2,1073670,1169100,55800,0,24754,856230,882626,456,291892,324259,23993,100,291884,324109,23990,100,616251,19.7,1133104,25.2,10.7,616093,13.7,1133732
Connecticut,1604885,45014,56553,1304302,36583,1303000,45915,948575,26.6,947632,33.4,362671,10.2,362374,12.8,800085,762100,42700,0,20366,581373,702486,77,131304,211064,20290,13,131209,210883,20269,13,342381,26.6,947632,33.4,9.6,342105,12.1,948575
District of Columbia,373225,52884,64619,244060,34582,244029,42250,108700,15.4,108677,18.8,56459,8,56457,9.8,190125,175300,7800,0,1,99007,145052,0,26669,29319,463,8,26668,29318,463,8,55996,15.4,108677,18.8,7.9,55994,9.7,108700
Dept of Defense,1828270,N/A,N/A,1374234,N/A,1373624,N/A,907822,N/A,907339,N/A,450436,N/A,450309,N/A,944970,840700,42600,0,0,650750,723085,399,199024,251412,0,0,199017,251292,0,0,450436,N/A,907339,N/A,0,450309,0,907822
Delaware,419015,43030,54404,299695,30777,299600,38899,184777,19,184705,24,108208,11.1,108188,14,206115,202100,10800,0,1696,137801,160164,34,51811,54619,1766,12,51807,54603,1766,12,106442,19,184705,24,10.9,106422,13.8,184777
Florida,8595895,40022,49838,6332072,29482,6328107,36689,3963502,18.5,3959994,23,2179625,10.1,2179224,12.6,4110795,4202000,283100,0,27084,3145389,3151826,7773,1054899,1095155,26893,2678,1054681,1094979,26886,2678,2152732,18.5,3959994,23,10,2152338,12.5,3963502
Federated States of Micronesia,47400,45734,58633,18689,18032,18685,23113,11713,11.3,11709,14.5,7021,6.8,7021,8.7,0,46600,800,0,0,18689,0,0,7001,20,0,0,7001,20,0,0,7021,11.3,11709,14.5,6.8,7021,8.7,11713
Georgia,3923755,36956,48361,2483900,23395,2483205,30606,1474110,13.9,1473574,18.2,936451,8.8,936280,11.5,1748955,2065100,109700,0,2930,1387872,1092881,217,518928,414275,3127,121,518908,414124,3127,121,933324,13.9,1473574,18.2,8.8,933153,11.5,1474110
Guam,87860,53002,67951,62062,37439,62043,47984,36283,21.9,36272,28.1,25258,15.2,25251,19.5,48360,38200,1300,0,0,31230,30832,0,12084,13174,0,0,12083,13168,0,0,25258,21.9,36272,28.1,15.2,25251,19.5,36283
Hawaii,667030,47111,59769,489283,34557,488951,43813,304606,21.5,304335,27.3,188723,13.3,188656,16.9,357630,296900,12500,0,584,173085,221854,93760,69418,100703,599,18003,69400,100667,599,17990,188124,21.5,304335,27.3,13.3,188057,16.9,304606
Iowa,1231655,39037,50722,999390,31676,998613,41125,680387,21.6,679876,28,339509,10.8,339237,14,559455,637100,35100,0,22543,533635,443093,119,166713,150950,21839,7,166709,150684,21837,7,317670,21.6,679876,28,10.1,317400,13.1,680387
Idaho,649425,36340,48506,507965,28425,507958,37939,315010,17.6,315000,23.5,187365,10.5,187362,14,291525,339500,18400,0,2074,265492,240233,166,96407,88878,2052,28,96407,88875,2052,28,185313,17.6,315000,23.5,10.4,185310,13.8,315010
Indian Health Svc,1212425,58211,N/A,697130,33471,692948,N/A,457232,22,453906,N/A,234678,11.3,233857,N/A,451425,739100,21900,0,961,376090,320079,0,109698,124021,959,0,109673,123225,959,0,233719,22,453906,N/A,11.2,232898,0,457232
Illinois,5031335,39705,51059,3777731,29812,3774943,38309,2512334,19.8,2510204,25.5,1245707,9.8,1245092,12.6,2389335,2509000,133000,0,431,1864917,1910975,1408,587048,657328,906,425,587023,656738,906,425,1244801,19.8,2510204,25.5,9.8,1244186,12.6,2512334
Indiana,2516910,37386,48737,1979075,29397,1978703,38315,1212721,18,1212458,23.5,765301,11.4,765188,14.8,1193010,1248200,75700,0,16980,921351,1038485,2259,343957,403611,16929,804,343951,403504,16929,804,748372,18,1212458,23.5,11.1,748259,14.5,1212721
Kansas,1206795,41423,54531,796242,27331,795648,35952,548492,18.8,548067,24.8,284796,9.8,284589,12.9,538395,637700,30700,0,3625,441968,350490,159,145555,135586,3586,69,145551,135385,3584,69,281210,18.8,548067,24.8,9.7,281005,12.7,548492
Kentucky,1765905,39526,50967,1357068,30375,1356450,39149,922079,20.6,921551,26.6,467334,10.5,467223,13.5,826605,893000,46300,0,8744,703868,644376,80,240352,218266,8657,59,240347,218162,8655,59,458677,20.6,921551,26.6,10.3,458568,13.2,922079
