COVID-19 Vaccinations in the United States
Date generated: Sun Mar 14 2021 15:10:10 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident
Alaska,472395,64575,85647,324271,44327,320992,58197,197436,27,195372,35.4,126647,17.3,125432,22.7,230295,233200,8900,0,250,148985,174980,56,56390,69984,266,7,56341,68819,265,7,126381,27,195372,35.4,17.3,125167,22.7,197436,62882,68.7,50282,54.9,29585,20664,30,3
Alabama,1918560,39129,50292,1288242,26274,1287528,33750,841394,17.2,840809,22,492755,10,492617,12.9,875160,988800,54600,0,16850,664076,607316,0,240679,234747,17309,20,240661,234627,17309,20,475446,17.2,840809,22,9.7,475308,12.5,841394,449242,52.9,275922,32.5,146582,122160,7169,11
Arkansas,1251620,41475,54004,882630,29247,881768,38046,579022,19.2,578264,25,309784,10.3,309655,13.4,580320,638300,33000,0,7045,446502,428930,153,151625,150998,7128,33,151607,150889,7126,33,302656,19.2,578264,25,10,302529,13.1,579022,299360,57.1,150360,28.7,88063,59777,2495,25
American Samoa,43210,77592,99477,23696,42551,23057,53081,15082,27.1,14632,33.7,8713,15.6,8525,19.6,30810,12400,0,0,0,5238,18458,0,2113,6599,1,0,2112,6412,1,0,8712,27.1,14632,33.7,15.6,8524,19.6,15082,1978,20.9,1392,14.7,567,825,0,0
Arizona,3024585,41554,53642,2484603,34135,2476787,43926,1562876,21.5,1558045,27.6,858909,11.8,857026,15.2,1470885,1474000,79700,0,9131,1138971,1335787,714,364495,485667,8498,249,364459,483822,8496,249,850411,21.5,1558045,27.6,11.7,848530,15,1562876,800231,61.2,434681,33.2,191197,240518,2798,168
Bureau of Prisons,75690,N/A,N/A,80683,N/A,80683,N/A,49551,N/A,49551,N/A,30731,N/A,30731,N/A,43290,31800,600,0,0,32274,48409,0,11573,19158,0,0,11573,19158,0,0,30731,N/A,49551,N/A,0,30731,0,49551,2273,0,1415,0,555,860,0,0
California,16376020,41445,53486,11881857,30071,11861693,38741,8025538,20.3,8009142,26.2,3819191,9.7,3815492,12.5,7877220,8024400,474400,0,49952,5741050,6090632,223,1806482,1963402,49265,42,1805843,1960431,49176,42,3769926,20.3,8009142,26.2,9.5,3766316,12.3,8025538,3907952,66.9,1936393,33.2,953773,974179,8411,30
Colorado,2345060,40722,52122,1878538,32621,1876097,41698,1199979,20.8,1198108,26.6,695032,12.1,694430,15.4,1116960,1170100,58000,0,31838,916665,929558,477,319376,344453,31101,102,319324,343938,31066,102,663931,20.8,1198108,26.6,11.5,663364,14.7,1199979,595516,70.7,365603,43.4,179502,181527,4518,56
Connecticut,1659085,46534,58463,1411525,39591,1409486,49667,933227,26.2,931949,32.8,496388,13.9,495747,17.5,846885,769500,42700,0,32187,629220,749998,120,200646,263702,32024,16,200498,263233,32000,16,464364,26.2,931949,32.8,13,463747,16.3,933227,480064,76.2,259057,41.1,82322,173172,3553,10
District of Columbia,388865,55100,67326,256529,36348,256219,44361,115660,16.4,115378,20,59917,8.5,59906,10.4,204165,176900,7800,0,2,103615,152912,0,28465,30823,620,9,28464,30813,620,9,59297,16.4,115378,20,8.4,59286,10.3,115660,49913,57.1,28203,32.3,16034,12135,30,4
