COVID-19 Vaccinations in the United States
Date generated: Mon Mar 15 2021 15:14:59 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident
Alaska,472395,64575,85647,333357,45569,329895,59811,202410,27.7,200197,36.3,130857,17.9,129607,23.5,230295,233200,8900,0,410,152153,180738,56,57514,72912,424,7,57464,71714,422,7,130433,27.7,200197,36.3,17.8,129185,23.4,202410,63160,69,50690,55.3,29804,20832,51,3
Alabama,1918560,39129,50292,1298612,26485,1297874,34021,849337,17.3,848731,22.2,497653,10.1,497512,13,875160,988800,54600,0,18585,669719,610308,0,242786,235704,19144,19,242768,235581,19144,19,478509,17.3,848731,22.2,9.8,478368,12.5,849337,452254,53.2,278627,32.8,147819,122762,8035,11
Arkansas,1251620,41475,54004,882630,29247,881768,38046,579157,19.2,578399,25,309827,10.3,309698,13.4,580320,638300,33000,0,7045,446502,428930,153,151638,151012,7143,34,151620,150903,7141,34,302684,19.2,578399,25,10,302557,13.1,579157,299383,57.1,150379,28.7,88071,59786,2496,26
American Samoa,43210,77592,99477,23696,42551,23057,53081,15083,27.1,14633,33.7,8713,15.6,8525,19.6,30810,12400,0,0,0,5238,18458,0,2113,6599,1,0,2112,6412,1,0,8712,27.1,14633,33.7,15.6,8524,19.6,15083,1978,20.9,1392,14.7,567,825,0,0
Arizona,3024585,41554,53642,2557630,35138,2549559,45217,1602626,22,1597646,28.3,891501,12.2,889548,15.8,1470885,1474000,79700,0,12402,1176339,1368138,751,382282,497440,11516,263,382237,495535,11513,263,879985,22,1597646,28.3,12.1,878035,15.6,1602626,813030,62.1,452759,34.6,201087,247699,3795,178
Bureau of Prisons,75690,N/A,N/A,80683,N/A,80683,N/A,49551,N/A,49551,N/A,30731,N/A,30731,N/A,43290,31800,600,0,0,32274,48409,0,11573,19158,0,0,11573,19158,0,0,30731,N/A,49551,N/A,0,30731,0,49551,2273,0,1415,0,555,860,0,0
California,16376020,41445,53486,11883375,30075,11863209,38746,8027407,20.3,8011007,26.2,3819878,9.7,3816179,12.5,7877220,8024400,474400,0,49952,5742313,6090887,223,1806970,1963513,49353,42,1806331,1960542,49264,42,3770525,20.3,8011007,26.2,9.5,3766915,12.3,8027407,3908391,66.9,1936605,33.2,953942,974205,8428,30
Colorado,2345060,40722,52122,1878639,32622,1876198,41701,1200280,20.8,1198404,26.6,695186,12.1,694584,15.4,1116960,1170100,58000,0,31838,916766,929558,477,319473,344478,31132,103,319421,343963,31097,103,664054,20.8,1198404,26.6,11.5,663487,14.7,1200280,595559,70.7,365665,43.4,179549,181537,4522,57
Connecticut,1659085,46534,58463,1411532,39591,1409493,49668,933367,26.2,932089,32.8,496443,13.9,495802,17.5,846885,769500,42700,0,32187,629223,750002,120,200680,263706,32041,16,200532,263237,32017,16,464402,26.2,932089,32.8,13,463785,16.3,933367,480096,76.2,259084,41.1,82346,173172,3556,10
District of Columbia,388865,55100,67326,264499,37478,264187,45740,120982,17.1,120699,20.9,61934,8.8,61922,10.7,204165,176900,7800,0,2,108840,155657,0,30062,31204,659,9,30061,31193,659,9,61275,17.1,120699,20.9,8.7,61263,10.6,120982,51386,58.8,29679,34,17326,12314,35,4
