COVID-19 Vaccinations in the United States
Date generated: Tue Mar 16 2021 15:15:45 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident
Alaska,472395,64575,85647,337141,46086,333609,60484,205256,28.1,202982,36.8,132532,18.1,131272,23.8,230295,233200,8900,0,1144,154560,181381,56,58235,73125,1165,7,58184,71919,1162,7,131367,28.1,202982,36.8,18,130110,23.6,205256,63396,69.2,50949,55.6,29953,20847,146,3
Alabama,1918560,39129,50292,1306419,26644,1305665,34226,854302,17.4,853681,22.4,501344,10.2,501200,13.1,875160,988800,54600,0,19070,673821,613528,0,244789,236875,19661,19,244771,236750,19660,19,481683,17.4,853681,22.4,9.8,481540,12.6,854302,453717,53.4,280231,33,148515,123496,8209,11
Arkansas,1251620,41475,54004,892588,29577,891711,38475,586266,19.4,585494,25.3,313372,10.4,313240,13.5,580320,638300,33000,0,7873,451922,432640,153,153866,151479,7993,34,153847,151370,7989,34,305379,19.4,585494,25.3,10.1,305251,13.2,586266,301041,57.5,152198,29.1,89520,60007,2645,26
American Samoa,43210,77592,99477,24300,43635,23637,54417,15377,27.6,14919,34.3,9023,16.2,8819,20.3,30810,12400,0,0,0,5332,18968,0,2127,6895,1,0,2126,6692,1,0,9022,27.6,14919,34.3,16.2,8818,20.3,15377,2021,21.3,1414,14.9,569,845,0,0
Arizona,3024585,41554,53642,2605621,35798,2597386,46065,1629972,22.4,1624903,28.8,913522,12.6,911532,16.2,1470885,1474000,79700,0,15343,1196621,1392901,756,393018,505916,14322,266,392969,503978,14319,266,899200,22.4,1624903,28.8,12.4,897213,15.9,1629972,821675,62.8,466140,35.6,208097,252952,4912,179
Bureau of Prisons,75690,N/A,N/A,80683,N/A,80683,N/A,49551,N/A,49551,N/A,30731,N/A,30731,N/A,43290,31800,600,0,0,32274,48409,0,11573,19158,0,0,11573,19158,0,0,30731,N/A,49551,N/A,0,30731,0,49551,2273,0,1415,0,555,860,0,0
California,16376020,41445,53486,12306608,31146,12285030,40124,8287692,21,8270013,27,4002159,10.1,3998290,13.1,7877220,8024400,474400,0,71024,5958893,6276404,287,1904862,2026893,70362,42,1904209,2023801,70238,42,3931797,21,8270013,27,10,3928052,12.8,8287692,3988371,68.3,2052730,35.2,1027838,1012878,11984,30
Colorado,2345060,40722,52122,1933717,33579,1930977,42918,1232096,21.4,1229958,27.3,720482,12.5,719840,16,1116960,1170100,58000,0,34739,950267,948229,482,335471,350900,34006,105,335414,350358,33963,105,686476,21.4,1229958,27.3,11.9,685877,15.2,1232096,600159,71.2,377758,44.8,187906,184996,4799,57
Connecticut,1659085,46534,58463,1442439,40458,1440359,50755,952509,26.7,951192,33.5,509812,14.3,509168,17.9,846885,769500,42700,0,33666,643116,765537,120,207247,269019,33530,16,207096,268550,33506,16,476282,26.7,951192,33.5,13.4,475662,16.8,952509,482890,76.6,269265,42.7,88228,177339,3688,10
District of Columbia,388865,55100,67326,271191,38426,270876,46898,126422,17.9,126135,21.8,65479,9.3,65466,11.3,204165,176900,7800,0,2803,110768,157620,0,30541,31511,3418,9,30540,31499,3418,9,62061,17.9,126135,21.8,8.8,62048,10.7,126422,51811,59.3,30004,34.4,17555,12372,73,4
Dept of Defense,1918750,N/A,N/A,1495339,N/A,1491243,N/A,930223,N/A,926778,N/A,520830,N/A,520342,N/A,1008150,868000,42600,0,4347,707137,783456,399,233109,286289,1432,0,233079,285831,1432,0,519398,N/A,926778,N/A,0,518910,0,930223,116390,0,60728,0,19142,41553,33,0
Delaware,422015,43339,54793,333896,34289,333630,43318,208306,21.4,208116,27,120782,12.4,120720,15.7,206115,205100,10800,0,4842,150776,178241,37,57124,58737,4908,13,57112,58687,4908,13,115874,21.4,208116,27,11.9,115812,15,208306,129224,68.4,74585,39.5,36379,33838,4361,7
Florida,9145275,42580,53023,7116355,33134,7107836,41210,4388959,20.4,4381614,25.4,2451940,11.4,2450860,14.2,4419675,4441900,283700,0,79132,3577727,3450628,8868,1182955,1187299,78701,2985,1182393,1186804,78678,2985,2373239,20.4,4381614,25.4,11,2372182,13.8,4388959,2998990,66.7,1804456,40.1,891010,879837,31037,2572
Federated States of Micronesia,47400,45734,58633,19841,19144,19836,24537,12372,11.9,12367,15.3,7511,7.2,7511,9.3,0,46600,800,0,0,19841,0,0,7492,19,0,0,7492,19,0,0,7511,11.9,12367,15.3,7.2,7511,9.3,12372,1242,7,812,4.6,808,4,0,0
Georgia,3981815,37503,49076,2790084,26278,2787918,34361,1689912,15.9,1688120,20.8,1044640,9.8,1044192,12.9,1805115,2067000,109700,0,25197,1524574,1240084,229,565369,453860,25278,133,565308,453534,25217,133,1019362,15.9,1688120,20.8,9.6,1018975,12.6,1689912,927545,61.1,632158,41.7,376849,251814,3413,82
Guam,87860,53002,67951,66607,40181,66563,51480,36979,22.3,36954,28.6,29082,17.5,29065,22.5,48360,38200,1300,0,0,34123,32484,0,14427,14655,0,0,14425,14640,0,0,29082,22.3,36954,28.6,17.5,29065,22.5,36979,11076,39.3,9472,33.6,4137,5335,0,0
Hawaii,681200,48112,61039,538235,38014,537336,48148,333759,23.6,332496,29.8,208017,14.7,207802,18.6,370500,296900,13800,0,793,191703,251979,93760,78006,111160,840,18011,77970,111001,837,17994,207177,23.6,332496,29.8,14.6,206965,18.5,333759,128453,47.9,80923,30.1,38942,40450,124,1407
Iowa,1288785,40848,53075,1145079,36293,1142996,47071,751143,23.8,749797,30.9,423373,13.4,422629,17.4,581685,672000,35100,0,29871,611902,503187,119,215553,177766,30047,7,215543,177040,30039,7,393326,23.8,749797,30.9,12.5,392590,16.2,751143,403187,72.9,199076,36,102317,94313,2444,2
