COVID-19 Vaccinations in the United States
Date generated: Wed Mar 17 2021 15:14:39 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident
Alaska,484795,66270,87895,339647,46429,336080,60932,206403,28.2,204105,37,133907,18.3,132635,24,241995,233700,9100,0,1201,155650,182740,56,58593,74104,1203,7,58541,72888,1199,7,132704,28.2,204105,37,18.1,131436,23.8,206403,63509,69.3,51119,55.8,30005,20961,150,3
Alabama,2004160,40875,52535,1332298,27172,1331515,34903,871536,17.8,870888,22.8,511869,10.4,511718,13.4,957060,992200,54900,0,20722,685737,625839,0,249307,241212,21330,20,249289,241081,21328,20,490539,17.8,870888,22.8,10,490390,12.9,871536,460943,54.2,285615,33.6,151381,125387,8836,11
Arkansas,1332600,44158,57498,897059,29726,896168,38667,589436,19.5,588650,25.4,314915,10.4,314782,13.6,631800,667700,33100,0,8053,454440,434413,153,154979,151726,8176,34,154960,151617,8171,34,306739,19.5,588650,25.4,10.2,306611,13.2,589436,301913,57.6,152776,29.2,89950,60119,2681,26
American Samoa,43210,77592,99477,24300,43635,23637,54417,15378,27.6,14920,34.3,9024,16.2,8820,20.3,30810,12400,0,0,0,5332,18968,0,2127,6895,2,0,2126,6692,2,0,9022,27.6,14920,34.3,16.2,8818,20.3,15378,2022,21.4,1415,14.9,569,845,1,0
Arizona,3137385,43104,55642,2655283,36480,2646770,46941,1655300,22.7,1650116,29.3,939580,12.9,937511,16.6,1576185,1481300,79900,0,18841,1224558,1411124,760,409587,512031,17693,269,409531,510022,17689,269,921887,22.7,1650116,29.3,12.7,919822,16.3,1655300,829835,63.4,481449,36.8,218967,256661,5639,182
Bureau of Prisons,85240,N/A,N/A,81035,N/A,81035,N/A,49808,N/A,49808,N/A,31012,N/A,31012,N/A,49140,35500,600,0,186,32395,48454,0,11654,19172,186,0,11654,19172,186,0,30826,N/A,49808,N/A,0,30826,0,49808,2275,0,1417,0,555,860,2,0
California,17386130,44002,56785,12686451,32108,12663125,41359,8540236,21.6,8520967,27.8,4153287,10.5,4149214,13.6,8500830,8394800,490500,0,96603,6142963,6446572,313,1976027,2081456,95751,53,1975363,2078211,95587,53,4057536,21.6,8520967,27.8,10.3,4053627,13.2,8540236,4049584,69.4,2139976,36.7,1079605,1043970,16361,40
Colorado,2345060,40722,52122,1948333,33833,1945556,43242,1239039,21.5,1236870,27.5,728689,12.7,728032,16.2,1116960,1170100,58000,0,35496,957556,954798,483,339080,354897,34605,107,339022,354341,34562,107,694084,21.5,1236870,27.5,12.1,693470,15.4,1239039,601413,71.4,382276,45.4,189903,187375,4939,59
Connecticut,1749215,49062,61639,1460334,40960,1458233,51385,964706,27.1,963370,33.9,517141,14.5,516494,18.2,904215,801700,43300,0,35408,649965,774841,120,209672,272262,35191,16,209521,271791,35166,16,481950,27.1,963370,33.9,13.5,481328,17,964706,485192,77,274423,43.5,90482,180147,3784,10
District of Columbia,398805,56508,69047,274424,38884,274109,47458,128836,18.3,128548,22.3,67181,9.5,67168,11.6,206505,181500,10800,0,3860,111398,159166,0,30924,31790,4458,9,30923,31778,4458,9,62723,18.3,128548,22.3,8.9,62710,10.9,128836,52036,59.6,30409,34.8,17760,12486,159,4
