COVID-19 Vaccinations in the United States
Date generated: Thu Mar 18 2021 15:14:38 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident
Alaska,499625,68297,90584,345987,47295,342286,62058,210932,28.8,208527,37.8,135810,18.6,134513,24.4,252525,237800,9300,0,1426,158253,186252,56,59096,75283,1424,7,59043,74043,1420,7,134386,28.8,208527,37.8,18.4,133093,24.1,210932,63785,69.6,51622,56.4,30099,21342,178,3
Alabama,2080870,42439,54546,1363987,27818,1363170,35733,893767,18.2,893092,23.4,523649,10.7,523491,13.7,960570,1060200,60100,0,22219,701852,639916,0,254828,245960,22841,20,254810,245822,22839,20,500808,18.2,893092,23.4,10.2,500652,13.1,893767,469479,55.2,292198,34.4,155084,127685,9418,11
Arkansas,1336570,44289,57669,912660,30243,911719,39338,602085,20,601247,25.9,319158,10.6,319022,13.8,632970,670500,33100,0,9182,462179,441140,159,156831,153008,9284,35,156812,152897,9278,35,309874,20,601247,25.9,10.3,309744,13.4,602085,305425,58.3,154929,29.6,91236,60853,2813,27
American Samoa,43210,77592,99477,24300,43635,23637,54417,15379,27.6,14921,34.4,9025,16.2,8821,20.3,30810,12400,0,0,0,5332,18968,0,2127,6895,3,0,2126,6692,3,0,9022,27.6,14921,34.4,16.2,8818,20.3,15379,2022,21.4,1415,14.9,569,845,1,0
Arizona,3299085,45325,58510,2697523,37060,2688872,47688,1682456,23.1,1677228,29.7,955402,13.1,953246,16.9,1587885,1630800,80400,0,21019,1243300,1432376,828,415889,519457,19762,294,415833,517381,19738,294,935640,23.1,1677228,29.7,12.9,933508,16.6,1682456,839066,64.1,491400,37.6,223174,261980,6045,201
Bureau of Prisons,85240,N/A,N/A,81950,N/A,81950,N/A,50170,N/A,50170,N/A,31574,N/A,31574,N/A,49140,35500,600,0,298,32533,49119,0,11754,19522,298,0,11754,19522,298,0,31276,N/A,50170,N/A,0,31276,0,50170,2276,0,1434,0,562,870,2,0
California,17612260,44574,57523,13161027,33309,13135822,42903,8847129,22.4,8826119,28.8,4347379,11,4343119,14.2,8628360,8484100,499800,0,124959,6389739,6645898,431,2058462,2165014,123837,66,2057785,2161645,123623,66,4223542,22.4,8826119,28.8,10.7,4219496,13.8,8847129,4124380,70.6,2264142,38.8,1142660,1100879,20554,49
Colorado,2536780,44051,56383,1987533,34513,1984636,44111,1262328,21.9,1260055,28,746744,13,746068,16.6,1194180,1278300,64300,0,38179,976731,972132,491,347741,361757,37135,111,347681,361190,37086,111,709609,21.9,1260055,28,12.3,708982,15.8,1262328,605151,71.8,391174,46.4,194296,191618,5198,62
Connecticut,1774555,49773,62532,1483587,41612,1481458,52204,977155,27.4,975797,34.4,528525,14.8,527872,18.6,918255,813000,43300,0,35759,660744,786964,120,214495,278449,35565,16,214343,277973,35540,16,492960,27.4,975797,34.4,13.8,492332,17.3,977155,488465,77.5,283885,45,94657,185351,3867,10
District of Columbia,415845,58923,71998,281538,39892,281220,48689,133611,18.9,133318,23.1,68796,9.7,68782,11.9,220545,184500,10800,0,3861,115314,162363,0,31925,32375,4486,10,31924,32362,4486,10,64310,18.9,133318,23.1,9.1,64296,11.1,133611,52810,60.5,31477,36,18505,12807,160,5
