COVID-19 Vaccinations in the United States
Date generated: Sat Mar 20 2021 15:15:27 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,514835,70376,93341,356055,48672,352036,63825,216781,29.6,214185,38.8,140169,19.2,138743,25.2,256035,247100,11700,0,1709,164398,189892,56,61690,76776,1696,7,61634,75412,1690,7,138473,29.6,214185,38.8,18.9,137053,24.8,216781,64166,70.1,52814,57.7,31092,21503,216,3,115468,126073,562121
Alabama,2141210,43670,56128,1426696,29097,1425797,37375,937614,19.1,936863,24.6,547257,11.2,547090,14.3,986310,1093300,61600,0,25317,733958,667421,0,266113,255132,25992,20,266094,254986,25990,20,521265,19.1,936863,24.6,10.6,521100,13.7,937614,484636,57,304424,35.8,162082,131656,10675,11,763359,89824,251955
Arkansas,1407320,46634,60722,952919,31577,951798,41067,635565,21.1,634546,27.4,330804,11,330656,14.3,650520,719300,37500,0,13997,478468,460254,200,159850,156988,13927,39,159831,156872,13914,39,316877,21.1,634546,27.4,10.5,316742,13.7,635565,311773,59.5,160125,30.6,93126,63787,3181,31,467179,89176,268633
American Samoa,43210,77592,99477,24300,43635,23637,54417,15383,27.6,14925,34.4,9026,16.2,8822,20.3,30810,12400,0,0,0,5332,18968,0,2128,6895,3,0,2127,6692,3,0,9023,27.6,14925,34.4,16.2,8819,20.3,15383,2023,21.4,1416,15,570,845,1,0,3383,35735,456428
Arizona,3444465,47322,61089,2760907,37931,2751807,48804,1720172,23.6,1714739,30.4,981650,13.5,979301,17.4,1697865,1662500,84100,0,22841,1273451,1463715,900,429571,530206,21547,326,429513,527942,21520,326,960103,23.6,1714739,30.4,13.2,957781,17,1720172,849600,64.9,507988,38.8,232193,269119,6454,222,1401066,107063,263211
Bureau of Prisons,85240,N/A,N/A,86342,N/A,86342,N/A,52733,N/A,52733,N/A,33436,N/A,33436,N/A,49140,35500,600,0,341,33691,52310,0,12048,21048,340,0,12048,21048,340,0,33096,N/A,52733,N/A,0,33096,0,52733,2365,0,1537,0,620,915,2,0,3926,0,0
California,18487510,46789,60382,13882984,35136,13853317,45246,9302378,23.5,9277306,30.3,4644718,11.8,4639989,15.2,9125610,8852300,509600,0,159886,6729898,6992465,735,2201423,2284796,158396,103,2200709,2281067,158110,103,4486322,23.5,9277306,30.3,11.4,4481879,14.6,9302378,4195926,71.9,2428799,41.6,1245374,1157994,25360,71,6648862,113887,316669
Colorado,2669970,46364,59343,2080284,36124,2077044,46165,1320575,22.9,1317988,29.3,782902,13.6,782193,17.4,1284270,1319700,66000,0,40714,1019894,1019153,523,366025,377132,39620,125,365957,376545,39566,125,743282,22.9,1317988,29.3,12.9,742627,16.5,1320575,616475,73.2,410276,48.7,205153,199471,5577,75,1029195,122172,316943
Connecticut,1884695,52862,66413,1551481,43516,1549282,54594,1014611,28.5,1013197,35.7,559558,15.7,558891,19.7,979095,857200,48400,0,36406,695786,819164,125,229860,293419,36263,16,229704,292933,36238,16,523295,28.5,1013197,35.7,14.7,522653,18.4,1014611,496363,78.8,309942,49.2,107858,198051,4023,10,813181,129026,299042
District of Columbia,443285,62811,76749,291022,41236,290631,50319,139568,19.8,139206,24.1,71181,10.1,71164,12.3,234585,196700,12000,0,3861,118662,168499,0,32949,33706,4515,11,32948,33690,4515,11,66666,19.8,139206,24.1,9.4,66649,11.5,139568,53710,61.5,32787,37.5,19076,13544,161,6,109110,124921,507522
