COVID-19 Vaccinations in the United States
Date generated: Sun Mar 21 2021 15:14:32 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,520685,71176,94402,362698,49580,358504,64998,221157,30.2,218410,39.6,143349,19.6,141896,25.7,261885,247100,11700,0,2651,167983,192008,56,63347,77370,2624,8,63290,75982,2616,8,140725,30.2,218410,39.6,19.2,139280,25.3,221157,64461,70.4,53177,58.1,31325,21552,297,3,116018,126674,568508
Alabama,2177880,44418,57089,1460782,29793,1459842,38267,960539,19.6,959750,25.2,561254,11.4,561082,14.7,1022580,1093300,62000,0,26711,751882,682189,0,273231,260559,27440,24,273211,260409,27438,24,533814,19.6,959750,25.2,10.9,533644,14,960539,492687,58,310645,36.6,165741,133716,11174,14,776752,91400,256270
Arkansas,1466950,48610,63295,974973,32307,973631,42009,653550,21.7,652311,28.1,335958,11.1,335807,14.5,684450,745000,37500,0,15195,488603,470970,205,161501,159410,15005,42,161482,159293,14990,42,320953,21.7,652311,28.1,10.6,320817,13.8,653550,314599,60.1,163222,31.2,94333,65576,3279,34,472971,90282,280015
American Samoa,43210,77592,99477,24300,43635,23637,54417,15384,27.6,14926,34.4,9027,16.2,8823,20.3,30810,12400,0,0,0,5332,18968,0,2129,6895,3,0,2128,6692,3,0,9024,27.6,14926,34.4,16.2,8820,20.3,15384,2023,21.4,1417,15,571,845,1,0,3383,35735,456428
Arizona,3461245,47553,61386,2825939,38825,2816603,49953,1762337,24.2,1756757,31.2,1004408,13.8,1002016,17.8,1714245,1662900,84100,0,24512,1305919,1494531,977,441188,539672,23198,350,441129,537368,23169,350,981210,24.2,1756757,31.2,13.5,978847,17.4,1762337,861651,65.8,522981,40,240141,275708,6893,239,1428809,109183,264493
Bureau of Prisons,86340,N/A,N/A,88006,N/A,88006,N/A,53968,N/A,53968,N/A,33865,N/A,33865,N/A,49140,35500,1700,0,341,34832,52833,0,12435,21090,340,0,12435,21090,340,0,33525,N/A,53968,N/A,0,33525,0,53968,2411,0,1567,0,649,916,2,0,4002,0,0
California,18875980,47773,61651,14276125,36131,14243889,46522,9562989,24.2,9535558,31.1,4792324,12.1,4787363,15.6,9372480,8991700,511800,0,175798,6903754,7195800,773,2253680,2364265,174270,109,2252948,2360343,173963,109,4618054,24.2,9535558,31.1,11.7,4613400,15.1,9562989,4233564,72.5,2501367,42.8,1277132,1197041,27120,74,6757636,115750,323323
Colorado,2684110,46609,59657,2188145,37997,2184583,48555,1378562,23.9,1375718,30.6,838000,14.6,837217,18.6,1298310,1319700,66100,0,46774,1061174,1079665,532,380078,412172,45622,128,380009,411521,45559,128,792378,23.9,1375718,30.6,13.8,791658,17.6,1378562,626622,74.4,438511,52.1,214685,216561,7188,77,1066252,126571,318622
Connecticut,1899395,53275,66931,1586484,44498,1584252,55826,1034439,29,1033000,36.4,574848,16.1,574177,20.2,990795,860200,48400,0,36763,712789,836806,126,236105,302096,36630,17,235949,301606,36605,17,538218,29,1033000,36.4,15.1,537572,18.9,1034439,500502,79.4,322490,51.2,112964,205429,4087,10,829903,131680,301375
District of Columbia,445625,63142,77154,296647,42033,296199,51283,142923,20.3,142507,24.7,72304,10.2,72287,12.5,236925,196700,12000,0,3862,121255,171530,0,33596,34178,4518,12,33595,34162,4518,12,67786,20.3,142507,24.7,9.6,67769,11.7,142923,54231,62.1,33463,38.3,19482,13813,162,6,110607,126635,510201
