COVID-19 Vaccinations in the United States
Date generated: Mon Mar 22 2021 15:15:45 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,520685,71176,94402,372435,50911,367737,66672,228333,31.2,225121,40.8,145975,20,144484,26.2,261885,247100,11700,0,2817,170757,198805,56,64666,78514,2787,8,64602,77096,2778,8,143188,31.2,225121,40.8,19.6,141706,25.7,228333,64801,70.8,53456,58.4,31504,21635,314,3,116586,127294,568508
Alabama,2177880,44418,57089,1472666,30035,1471691,38578,968459,19.8,967637,25.4,566632,11.6,566456,14.8,1022580,1093300,62000,0,26894,757074,688698,0,275654,263274,27681,23,275632,263122,27679,23,538951,19.8,967637,25.4,11,538777,14.1,968459,494763,58.2,313068,36.8,166846,134976,11232,14,780973,91897,256270
Arkansas,1466950,48610,63295,999488,33120,998039,43063,670894,22.2,669543,28.9,345022,11.4,344865,14.9,684450,745000,37500,0,17039,498203,484040,206,163726,164457,16795,44,163706,164339,16776,44,328227,22.2,669543,28.9,10.9,328089,14.2,670894,317246,60.6,169061,32.3,95788,69799,3438,36,481293,91870,280015
American Samoa,43210,77592,99477,24300,43635,23637,54417,15386,27.6,14928,34.4,9028,16.2,8824,20.3,30810,12400,0,0,0,5332,18968,0,2130,6895,3,0,2129,6692,3,0,9025,27.6,14928,34.4,16.2,8821,20.3,15386,2024,21.4,1418,15,572,845,1,0,3383,35735,456428
Arizona,3461245,47553,61386,2893024,39746,2883097,51133,1804760,24.8,1798989,31.9,1029376,14.1,1026617,18.2,1714245,1662900,84100,0,26715,1338766,1526515,1028,452148,551445,25416,367,452088,548778,25384,367,1003960,24.8,1798989,31.9,13.8,1001233,17.8,1804760,872069,66.6,537360,41.1,246481,283119,7508,252,1454315,111132,264493
Bureau of Prisons,86340,N/A,N/A,88862,N/A,88862,N/A,54297,N/A,54297,N/A,34392,N/A,34392,N/A,49140,35500,1700,0,341,35217,53304,0,12621,21431,340,0,12621,21431,340,0,34052,N/A,54297,N/A,0,34052,0,54297,2413,0,1578,0,658,918,2,0,4015,0,0
California,18875980,47773,61651,14708175,37224,14673232,47924,9833939,24.9,9804131,32,4980526,12.6,4975172,16.2,9372480,8991700,511800,0,203791,7085372,7418213,799,2313734,2464589,202089,114,2312985,2460353,201720,114,4778437,24.9,9804131,32,12.1,4773452,15.6,9833939,4271025,73.2,2581598,44.2,1312760,1237633,31127,78,6871671,117704,323323
Colorado,2684110,46609,59657,2250372,39078,2246524,49931,1413334,24.5,1410253,31.3,866707,15.1,865871,19.2,1298310,1319700,66100,0,48265,1087292,1114278,537,389010,430411,47158,128,388941,429711,47091,128,819549,24.5,1410253,31.3,14.2,818780,18.2,1413334,629677,74.7,454289,53.9,219689,227219,7304,77,1085108,128810,318622
Connecticut,1899395,53275,66931,1623090,45525,1620806,57114,1057505,29.7,1056023,37.2,589228,16.5,588544,20.7,990795,860200,48400,0,37649,728133,857182,126,240770,310895,37546,17,240613,310394,37520,17,551682,29.7,1056023,37.2,15.5,551024,19.4,1057505,504784,80.1,333263,52.9,116614,212357,4282,10,844885,134057,301375
District of Columbia,445625,63142,77154,302692,42889,302243,52329,147691,20.9,147272,25.5,73585,10.4,73567,12.7,236925,196700,12000,0,3863,123656,175173,0,34310,34676,4586,13,34309,34659,4586,13,68999,20.9,147272,25.5,9.8,68981,11.9,147691,54964,62.9,34159,39.1,19935,14055,163,6,112255,128522,510201
Dept of Defense,2180890,N/A,N/A,1673652,N/A,1668696,N/A,1051954,N/A,1047741,N/A,584738,N/A,584156,N/A,1174290,960600,46000,0,12912,783107,877234,399,257568,317173,9997,0,257538,316627,9991,0,574741,N/A,1047741,N/A,0,574165,0,1051954,125322,0,70548,0,22647,47484,417,0,200226,0,0
Delaware,486095,49919,63113,382342,39264,381966,49594,246522,25.3,246231,32,131496,13.5,131429,17.1,245895,227900,12300,0,6732,166020,209546,44,60646,63988,6846,16,60634,63933,6846,16,124650,25.3,246231,32,12.8,124583,16.2,246522,141456,74.9,81180,43,39049,37402,4720,9,223244,118177,257321
Florida,10691345,49779,61987,8186888,38118,8176528,47406,5106288,23.8,5097230,29.6,2855811,13.3,2854599,16.6,5345145,5024200,322000,0,154101,4014247,4007670,10870,1346487,1352392,153334,3598,1345908,1351812,153281,3598,2702477,23.8,5097230,29.6,12.6,2701318,15.7,5106288,3213750,71.5,2087105,46.4,1020237,1008792,54986,3090,5589864,124293,237726
Federated States of Micronesia,47400,45734,58633,22217,21436,22212,27476,13578,13.1,13573,16.8,8683,8.4,8683,10.7,0,46600,800,0,0,22217,0,0,8663,19,1,0,8663,19,1,0,8682,13.1,13573,16.8,8.4,8682,10.7,13578,1314,7.5,922,5.2,918,4,0,0,2211,12549,269028
Georgia,4553155,42884,56118,3207887,30213,3203674,39486,1999241,18.8,1995521,24.6,1155439,10.9,1154881,14.2,2135055,2301900,116200,0,47212,1713394,1447042,239,619628,490612,45048,151,619557,490229,44944,151,1110391,18.8,1995521,24.6,10.5,1109937,13.7,1999241,978027,64.5,685005,45.2,407639,271708,5564,94,1719916,113380,300151
Guam,87860,53002,67951,72090,43488,72039,55715,40965,24.7,40934,31.7,30466,18.4,30448,23.5,48360,38200,1300,0,19,35917,36154,0,15180,15267,19,0,15178,15251,19,0,30447,24.7,40934,31.7,18.4,30429,23.5,40965,11526,40.9,9767,34.7,4287,5476,4,0,21462,76158,311770
Hawaii,766730,54152,68703,610517,43120,609252,54592,387067,27.3,385429,34.5,231477,16.3,231227,20.7,416130,332300,18300,0,4640,215634,296483,93760,88101,120637,4720,18019,88057,120456,4712,18002,226757,27.3,385429,34.5,16,226515,20.3,387067,150557,56.1,89679,33.4,43056,43694,1522,1407,237076,88314,285616
Iowa,1482225,46979,61041,1302395,41279,1299930,53534,833700,26.4,832004,34.3,503391,16,502590,20.7,689325,752800,40100,0,34068,690640,577568,119,257167,211938,34272,14,257157,211158,34261,14,469119,26.4,832004,34.3,14.9,468329,19.3,833700,419665,75.9,259881,47,133680,123380,2813,8,676191,122287,268056
Idaho,785375,43948,58660,639606,35791,639578,47770,394331,22.1,394298,29.5,245010,13.7,244994,18.3,379275,384800,21300,0,9907,321517,307967,215,122131,113158,9679,42,122129,113150,9673,42,235331,22.1,394298,29.5,13.2,235321,17.6,394331,197393,67.9,130218,44.8,60431,66526,3238,23,325520,111990,270195
Indian Health Svc,1357325,65168,N/A,845754,40606,834012,N/A,540519,26,531981,N/A,303309,14.6,300152,N/A,545025,787900,24400,0,4967,469243,371544,0,155138,143316,4855,0,155069,140235,4848,0,298454,26,531981,N/A,14.3,295304,0,540519,128955,0,89966,0,49772,39700,494,0,221300,0,0
Illinois,5909425,46634,59970,4960792,39148,4949905,50233,3241285,25.6,3233025,32.8,1768206,14,1765551,17.9,2912325,2839100,158000,0,81846,2409701,2467221,2024,821582,865971,80011,642,821365,863675,79869,642,1688195,25.6,3233025,32.8,13.3,1685682,17.1,3241285,1382584,67.7,795066,38.9,390756,384422,19470,418,2155096,105475,289219
Indiana,2964250,44031,57399,2406866,35751,2405659,46583,1469086,21.8,1468241,28.4,956783,14.2,956406,18.5,1417650,1461600,85000,0,37135,1105468,1260954,3309,436958,481329,37331,1165,436924,480989,37328,1165,919452,21.8,1468241,28.4,13.7,919078,17.8,1469086,754709,69.5,603073,55.5,316366,280944,4903,860,1371192,126291,273016
Kansas,1450815,49799,65557,1072867,36826,1070739,48383,737576,25.3,735911,33.3,388360,13.3,387743,17.5,685815,729300,35700,0,14360,573374,484925,208,204099,169268,14906,87,204078,168678,14900,87,373454,25.3,735911,33.3,12.8,372843,16.8,737576,357010,75.1,190918,40.2,99537,87206,4117,58,522606,109910,305122
Kentucky,2072685,46393,59821,1762745,39456,1759258,50775,1198585,26.8,1196168,34.5,617681,13.8,617261,17.8,1006785,1016200,49700,0,36867,865342,860438,98,287279,295589,34736,77,287261,295202,34721,77,582945,26.8,1196168,34.5,13,582540,16.8,1198585,506403,67.5,287189,38.3,115627,160566,10946,50,765588,102002,276150
Louisiana,2164470,46560,60780,1664443,35804,1662759,46691,1055689,22.7,1054175,29.6,620467,13.3,620304,17.4,1038570,1067900,58000,0,43303,735380,884961,799,233269,344760,42079,359,233252,344637,42057,358,578388,22.7,1054175,29.6,12.4,578247,16.2,1055689,495422,66.9,375160,50.6,160274,204929,9887,70,878461,118547,292093
Massachusetts,3321910,48196,59965,2972826,43131,2966560,53551,1973933,28.6,1969475,35.6,1044985,15.2,1043258,18.8,1586910,1637200,97800,0,70826,1462535,1439416,49,469850,504346,70782,7,469733,502766,70752,7,974203,28.6,1969475,35.6,14.1,972506,17.6,1973933,886380,75.8,489632,41.9,193362,260067,36200,3,1339716,114571,284086
Maryland,2866250,47410,60842,2287975,37845,2283879,48480,1545134,25.6,1541783,32.7,841642,13.9,840879,17.8,1444950,1342600,78700,0,56506,1113074,1116973,1422,380656,405148,55451,387,380613,404439,55440,387,786191,25.6,1541783,32.7,13,785439,16.7,1545134,664059,69.2,364732,38,166248,175963,22342,179,988969,103082,298756
Maine,679570,50555,62040,558351,41537,557858,50929,374074,27.8,373762,34.1,205437,15.3,205241,18.7,313170,345500,20900,0,15488,276898,265929,36,95634,94202,15594,7,95613,94030,15591,7,189843,27.8,373762,34.1,14.1,189650,17.3,374074,213943,75,115900,40.6,46198,61125,8573,4,319180,111889,238224
Marshall Islands,35600,60945,78135,18873,32310,18843,41357,12039,20.6,12011,26.4,6780,11.6,6776,14.9,0,35000,600,0,0,18873,0,0,6776,2,2,0,6772,2,2,0,6778,20.6,12011,26.4,11.6,6774,14.9,12039,818,8.2,504,5.1,502,0,2,0,1322,13313,358510
Michigan,4543010,45490,57925,3681378,36862,3678499,46902,2398995,24,2396788,30.6,1364521,13.7,1363810,17.4,2207010,2210600,125400,0,46112,1745905,1889361,0,583793,733708,46968,52,583733,733082,46943,52,1317553,24,2396788,30.6,13.2,1316867,16.8,2398995,1189699,67.4,728722,41.3,334473,378370,15838,41,1877876,106371,257336
Minnesota,2551740,45247,58844,2306429,40897,2302716,53101,1511191,26.8,1508240,34.8,857358,15.2,856542,19.8,1250340,1236300,65100,0,51463,1075815,1178959,192,364424,441206,51683,45,364389,440440,51668,45,805675,26.8,1508240,34.8,14.3,804874,18.6,1511191,729033,79.2,440959,47.9,179923,232139,28879,18,1125842,122323,277248
Missouri,2849985,46436,59788,2143727,34929,2141372,44922,1371336,22.3,1369544,28.7,736928,12,736457,15.4,1439685,1337100,73200,0,33886,893824,1215731,286,274965,427235,34694,34,274929,426814,34681,33,702234,22.3,1369544,28.7,11.4,701776,14.7,1371336,662987,62.4,370201,34.9,157982,200652,11553,14,1056409,99470,268351
Northern Mariana Islands,44110,77546,99418,24795,43590,24764,55815,14415,25.3,14396,32.4,10380,18.2,10368,23.4,30810,12800,500,0,14,3182,21599,0,1113,9252,15,0,1113,9240,15,0,10365,25.3,14396,32.4,18.2,10353,23.3,14415,2198,22.7,1977,20.4,282,1682,13,0,4164,43061,456153
Mississippi,1418475,47661,62280,996498,33483,995742,43720,652213,21.9,651580,28.6,366074,12.3,365955,16.1,660075,721300,37100,0,21352,519056,455361,729,180997,164340,20725,12,180975,164249,20719,12,345349,21.9,651580,28.6,11.6,345236,15.2,652213,301366,61.9,199111,40.9,104846,87949,6312,4,489173,100510,291452
Montana,551325,51585,65619,443030,41452,441704,52572,282065,26.4,281068,33.5,168240,15.7,167924,20,248625,288200,14500,0,6768,235091,201061,110,87063,74424,6725,28,87045,74129,6722,28,161515,26.4,281068,33.5,15.1,161202,19.2,282065,136397,66.1,90559,43.9,44238,44248,2059,14,223250,108144,267067
North Carolina,4932810,47033,60249,4002867,38166,3993396,48775,2608692,24.9,2600284,31.8,1436129,13.7,1434911,17.5,2491710,2314000,127100,0,101388,1735276,2165874,329,551021,785557,99526,25,550895,784656,99335,25,1336603,24.9,2600284,31.8,12.7,1335576,16.3,2608692,1213009,69.3,897493,51.3,405823,477085,14566,19,2139549,122184,281699
North Dakota,390610,51257,67128,357236,46878,356041,61187,218943,28.7,218048,37.5,128013,16.8,127773,22,182910,197600,10100,0,7144,171983,178109,0,59892,61671,6450,0,59875,61454,6444,0,121563,28.7,218048,37.5,16,121329,20.9,218943,89969,75.1,65808,54.9,32318,32308,1182,0,161124,134444,325929
Nebraska,941420,48667,64554,775509,40090,774042,53077,497565,25.7,496531,34,290474,15,290030,19.9,459420,453100,28900,0,18702,369626,385644,1537,129960,140833,19283,398,129932,140423,19277,398,271191,25.7,496531,34,14,270753,18.6,497565,235337,75.3,145764,46.7,64642,79351,1462,309,383580,122762,301295
New Hampshire,651805,47937,59016,529948,38975,528488,47850,377145,27.7,376042,34,184960,13.6,184615,16.7,300105,332200,19500,0,11838,287941,230142,27,106759,65933,12263,5,106682,65678,12250,5,172697,27.7,376042,34,12.7,172365,15.6,377145,203761,80.3,90157,35.5,48329,33430,8396,2,276016,108726,256754
New Jersey,4147575,46695,59732,3581686,40324,3570215,51417,2475567,27.9,2466736,35.5,1284545,14.5,1281857,18.5,2056275,1982400,108900,0,69023,1793724,1718464,475,601038,614760,68741,6,600953,612176,68722,6,1215804,27.9,2466736,35.5,13.7,1213135,17.5,2475567,951816,64.5,532742,36.1,244975,267790,19973,4,1428059,96782,281090
New Mexico,1183825,56458,73031,1085158,51752,1077354,66463,691431,33,685165,42.3,419226,20,416334,25.7,603525,550500,29800,0,15080,491604,577132,1342,172186,231871,14831,338,172106,229084,14806,338,404395,33,685165,42.3,19.3,401528,24.8,691431,254185,67.3,166266,44,74599,85891,5570,206,409923,108558,313508
Nevada,1348650,43785,56488,1145354,37185,1144244,47926,728878,23.7,728059,30.5,410553,13.3,410291,17.2,649350,663200,36100,0,21295,515229,608830,0,178085,211387,21080,1,178065,211147,21078,1,389473,23.7,728059,30.5,12.6,389213,16.3,728878,326806,65.9,209249,42.2,92789,109391,7069,0,543090,109500,271921
New York State,9586045,49277,62145,7371644,37894,7358659,47705,4980453,25.6,4969371,32.2,2415638,12.4,2413579,15.6,4842045,4497700,246300,0,146163,3529691,3694901,889,1138975,1131547,144969,147,1138818,1129668,144946,147,2270669,25.6,4969371,32.2,11.7,2268633,14.7,4980453,1997890,60.6,1068787,32.4,508025,513285,47389,88,3020162,91627,290826
Ohio,5540795,47401,60814,4364513,37338,4360144,47855,2810887,24,2807862,30.8,1620154,13.9,1618812,17.8,2734095,2654800,151900,0,116988,2164619,2079275,3631,770607,733488,115070,989,770560,732211,115055,986,1505084,24,2807862,30.8,12.9,1503757,16.5,2810887,1405032,68.7,913362,44.6,406395,471561,34739,667,2306982,112738,270769
Oklahoma,2239195,56589,74522,1652639,41765,1646263,54789,1070180,27,1064560,35.4,575499,14.5,574934,19.1,1080495,1102600,56100,0,20335,771500,860794,10,251315,304015,20168,1,251301,303470,20162,1,555331,27,1064560,35.4,14,554772,18.5,1070180,447808,70.5,321371,50.6,167108,149187,5076,0,771964,121544,352556
Oregon,1934665,45870,57731,1560983,37010,1556428,46444,1004599,23.8,1001733,29.9,578990,13.7,577332,17.2,933465,945500,55700,0,30446,763828,765652,1057,266990,281555,30271,174,266827,280072,30259,174,548719,23.8,1001733,29.9,13,547073,16.3,1004599,493816,64.5,213288,27.8,88733,104546,19926,83,681571,88969,252541
Pennsylvania,6257455,48879,61544,4639971,36244,4631243,45550,3130512,24.5,3123899,30.7,1599223,12.5,1597121,15.7,3055455,3034800,167200,0,78164,2253473,2308229,105,768367,750245,80528,83,768202,748313,80524,82,1518695,24.5,3123899,30.7,11.9,1516597,14.9,3130512,1457854,60.9,734421,30.7,380464,342140,11768,49,2184332,91266,261450
Puerto Rico,1650130,51668,66242,886400,27755,885862,35561,567468,17.8,567027,22.8,327489,10.3,327363,13.1,802230,804000,43900,0,5550,369840,510761,249,133088,188743,5651,7,133068,188644,5644,7,321838,17.8,567027,22.8,10.1,321719,12.9,567468,271708,50,136118,25.1,62788,71873,1457,0,403105,74246,303932
Rhode Island,513495,48472,60067,454586,42911,454065,53115,305815,28.9,305432,35.7,157270,14.8,157137,18.4,249795,248800,14900,0,8922,223976,221687,1,79120,69286,8863,1,79116,69157,8863,1,148407,28.9,305432,35.7,14,148274,17.3,305815,150851,80.6,69530,37.2,30322,37719,1489,0,217700,116388,274529
Republic of Palau,14800,82649,105964,11804,65918,11804,84513,8235,46,8235,59,3683,20.6,3683,26.4,0,14600,200,0,0,11803,1,0,3670,13,0,0,3670,13,0,0,3683,46,8235,59,20.6,3683,26.4,8235,1363,44.8,1187,39,1179,8,0,0,2519,82753,486202
South Carolina,2235235,43413,55361,1793297,34830,1790983,44358,1170754,22.7,1168876,29,643124,12.5,642676,15.9,1168635,999400,67200,0,31310,674797,1086166,1024,199894,412263,30763,204,199865,411869,30738,204,612361,22.7,1168876,29,11.9,611938,15.2,1170754,652151,69.6,424358,45.3,151442,266440,6336,140,1070021,114194,238546
South Dakota,520635,58851,77991,424806,48019,423579,63452,267282,30.2,266393,39.9,163402,18.5,163069,24.4,240435,267800,12400,0,5062,212484,207247,13,79184,79098,5116,4,79171,78779,5115,4,158286,30.2,266393,39.9,17.9,157954,23.7,267282,124218,81.8,89013,58.6,42308,45848,856,1,211190,139059,342814
Tennessee,3145950,46066,59144,2198555,32194,2196392,41292,1432648,21,1430680,26.9,752414,11,752184,14.1,1515150,1552100,78700,0,29419,1055924,1110670,2542,328025,394202,29508,679,328009,394033,29464,678,722906,21,1430680,26.9,10.6,722720,13.6,1432648,707640,61.9,427673,37.4,208370,212321,6518,464,1150117,100588,275142
Texas,12613635,43501,58407,9611867,33149,9570694,44317,6320852,21.8,6293099,29.1,3143362,10.8,3129561,14.5,6250335,5969000,394300,0,222261,4521766,4867496,344,1449616,1475028,218518,200,1443251,1468552,217559,199,2925162,21.8,6293099,29.1,10.1,2912319,13.5,6320852,2602927,69.7,1413256,37.8,651747,663173,98246,90,3790925,101518,337784
Utah,1321750,41228,58105,1137351,35476,1133779,49841,696065,21.7,693359,30.5,306280,9.6,305702,13.4,625950,660700,35100,0,27893,533154,576304,0,136869,142922,26489,0,136816,142419,26467,0,279791,21.7,693359,30.5,8.7,279235,12.3,696065,263642,72.1,125957,34.4,47427,72815,5715,0,439439,120107,361260
Virginia,3820055,44755,57232,3309153,38769,3301513,49463,2174085,25.5,2168200,32.5,1201899,14.1,1200165,18,1873755,1847700,98600,0,81364,1523408,1703832,549,525770,595087,80890,152,525538,593708,80767,152,1121009,25.5,2168200,32.5,13.1,1119398,16.8,2174085,926649,68.2,516861,38,229960,258158,28635,108,1415040,104131,281113
Veterans Health,3952565,N/A,N/A,3450713,N/A,3450581,N/A,2108070,N/A,2107990,N/A,1383672,N/A,1383618,N/A,1748565,2121700,82300,0,42681,1863194,1544837,1,719861,621150,42661,0,719844,621115,42659,0,1341011,N/A,2107990,N/A,0,1340959,0,2108070,1288300,0,961430,0,522368,422767,16295,0,2233818,0,0
Virgin Islands,46800,44708,57318,32170,30732,31989,39178,20698,19.8,20551,25.2,10285,9.8,10274,12.6,27300,19100,400,0,0,13552,18618,0,5374,4905,6,0,5369,4899,6,0,10279,19.8,20551,25.2,9.8,10268,12.6,20698,7532,42.3,4523,25.4,2599,1919,5,0,12146,68251,262980
Vermont,342960,54963,67249,274187,43941,273786,53685,177451,28.4,177183,34.7,93226,14.9,93090,18.3,161460,172400,9100,0,2851,137255,133852,229,44998,45348,2816,64,44987,45226,2813,64,90410,28.4,177183,34.7,14.5,90277,17.7,177451,101349,81.1,44115,35.3,18948,25069,56,42,149196,119320,274282
Washington,3586880,47103,60265,2972560,39036,2967218,49854,1915110,25.1,1910879,32.1,1093139,14.4,1092028,18.3,1736280,1760300,90300,0,55062,1419591,1495510,2397,540667,496618,55428,426,540606,495573,55423,426,1037711,25.1,1910879,32.1,13.6,1036605,17.4,1915110,898021,74.2,584515,48.3,294970,267385,21840,320,1473124,121774,296504
Wisconsin,2614965,44912,57398,2422908,41613,2418503,53086,1542799,26.5,1539294,33.8,893242,15.3,892400,19.6,1268865,1273800,72300,0,36790,1129531,1256386,201,394365,463082,35740,55,394336,462297,35712,55,857502,26.5,1539294,33.8,14.7,856688,18.8,1542799,783109,77,518343,51,254417,260417,3479,30,1320370,129799,257064
West Virginia,939515,52424,65582,763619,42609,762137,53200,473087,26.4,471910,32.9,285846,15.9,285568,19.9,416715,498200,24600,0,3515,383353,376751,0,137356,144412,4062,16,137302,144192,4058,16,281784,26.4,471910,32.9,15.7,281510,19.7,473087,230995,62.9,158699,43.2,77233,80416,1040,10,392405,106919,255991
Wyoming,314015,54257,70561,221336,38243,221032,49667,134703,23.3,134455,30.2,85508,14.8,85449,19.2,143715,162100,8200,0,2178,113244,105841,73,42898,40480,2118,12,42895,40425,2117,12,83390,23.3,134455,30.2,14.4,83332,18.7,134703,64817,65.4,49739,50.2,25488,23771,472,8,114679,115628,316614
