COVID-19 Vaccinations in the United States
Date generated: Tue Mar 23 2021 15:15:53 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,520685,71176,94402,375590,51342,370833,67233,230614,31.5,227350,41.2,146903,20.1,145407,26.4,261885,247100,11700,0,2890,171914,200730,56,64959,79074,2862,8,64895,77651,2853,8,144041,31.5,227350,41.2,19.7,142554,25.8,230614,64959,70.9,53588,58.5,31548,21712,325,3,116836,127567,568508
Alabama,2177880,44418,57089,1479271,30170,1478282,38750,972986,19.8,972149,25.5,569127,11.6,568950,14.9,1022580,1093300,62000,0,26918,759251,693102,0,276383,264998,27722,24,276361,264845,27720,24,541405,19.8,972149,25.5,11,541230,14.2,972986,495715,58.3,314224,37,167118,135852,11240,14,782954,92130,256270
Arkansas,1466950,48610,63295,1008575,33421,1007098,43453,677806,22.5,676423,29.2,348589,11.6,348428,15,684450,745000,37500,0,18349,502687,487333,206,165047,165470,18029,43,165027,165348,18010,43,330560,22.5,676423,29.2,11,330418,14.3,677806,318692,60.8,170905,32.6,96766,70443,3661,35,484430,92469,280015
American Samoa,43210,77592,99477,27015,48510,26228,60382,16916,30.4,16403,37.8,10196,18.3,9924,22.8,30810,12400,0,0,0,5888,21127,0,2200,7993,3,0,2199,7722,3,0,10193,30.4,16403,37.8,18.3,9921,22.8,16916,2134,22.5,1502,15.9,584,917,1,0,3580,37816,456428
Arizona,3461245,47553,61386,2942907,40432,2932711,52012,1835039,25.2,1829129,32.4,1049219,14.4,1046398,18.6,1714245,1662900,84100,0,28307,1360133,1553435,1032,461777,560154,26922,366,461716,557428,26888,366,1022297,25.2,1829129,32.4,14,1019510,18.1,1835039,879526,67.2,548550,41.9,251576,288857,7866,251,1473588,112605,264493
Bureau of Prisons,86340,N/A,N/A,89052,N/A,89052,N/A,54486,N/A,54486,N/A,34393,N/A,34393,N/A,49140,35500,1700,0,341,35217,53494,0,12621,21432,340,0,12621,21432,340,0,34053,N/A,54486,N/A,0,34053,0,54486,2415,0,1578,0,658,918,2,0,4017,0,0
California,18875980,47773,61651,15050673,38091,15013151,49034,10070870,25.5,10038786,32.8,5102480,12.9,5096771,16.6,9372480,8991700,511800,0,221520,7237957,7590393,803,2349800,2532857,219708,115,2349033,2528335,219288,115,4882772,25.5,10038786,32.8,12.4,4877483,15.9,10070870,4301066,73.7,2633312,45.1,1334653,1265141,33440,78,6951476,119071,323323
Colorado,2684110,46609,59657,2276660,39534,2272718,50514,1428551,24.8,1425394,31.7,878386,15.3,877531,19.5,1298310,1319700,66100,0,48876,1100640,1126604,540,392818,437610,47828,130,392746,436894,47761,130,830558,24.8,1425394,31.7,14.4,829770,18.4,1428551,631019,74.9,460202,54.6,221187,231542,7395,78,1092310,129665,318622
Connecticut,1899395,53275,66931,1658338,46513,1655994,58354,1079370,30.3,1077838,38,603624,16.9,602923,21.2,990795,860200,48400,0,38727,743722,875763,126,247652,317302,38653,17,247495,316787,38624,17,564971,30.3,1077838,38,15.8,564299,19.9,1079370,507419,80.5,344381,54.6,122794,217137,4440,10,858577,136229,301375
District of Columbia,445625,63142,77154,306996,43499,306546,53074,150379,21.3,149954,26,74461,10.6,74443,12.9,236925,196700,12000,0,3864,125578,177554,0,34788,35037,4623,13,34787,35020,4623,13,69838,21.3,149954,26,9.9,69820,12.1,150379,55403,63.4,34636,39.7,20226,14234,170,6,113366,129794,510201
Dept of Defense,2180890,N/A,N/A,1679133,N/A,1674172,N/A,1056044,N/A,1051826,N/A,587443,N/A,586860,N/A,1174290,960600,46000,0,14228,785196,879310,399,258409,317721,11313,0,258379,317175,11306,0,576130,N/A,1051826,N/A,0,575554,0,1056044,125418,0,70763,0,22649,47696,418,0,200534,0,0
Delaware,486095,49919,63113,389157,39964,388770,50477,251478,25.8,251176,32.6,133398,13.7,133331,17.3,245895,227900,12300,0,6753,168996,213364,44,61330,65021,7032,15,61318,64966,7032,15,126366,25.8,251176,32.6,13,126299,16.4,251478,141981,75.2,82362,43.6,39614,38006,4733,9,225061,119139,257321
Florida,10691345,49779,61987,8191294,38139,8180934,47432,5109346,23.8,5100281,29.6,2859122,13.3,2857907,16.6,5345145,5024200,322000,0,155166,4015761,4009497,10870,1347505,1353614,154405,3598,1346926,1353031,154352,3598,2704717,23.8,5100281,29.6,12.6,2703555,15.7,5109346,3214318,71.5,2088582,46.4,1020625,1009549,55318,3090,5591318,124325,237726
Federated States of Micronesia,47400,45734,58633,22255,21473,22250,27523,13608,13.1,13603,16.8,8693,8.4,8693,10.8,0,46600,800,0,0,22255,0,0,8673,19,1,0,8673,19,1,0,8692,13.1,13603,16.8,8.4,8692,10.8,13608,1314,7.5,924,5.2,920,4,0,0,2213,12560,269028
Georgia,4553155,42884,56118,3280952,30902,3276261,40380,2058969,19.4,2054791,25.3,1171886,11,1171304,14.4,2135055,2301900,116200,0,51096,1733352,1496260,244,621995,500801,48939,151,621923,500395,48835,151,1122947,19.4,2054791,25.3,10.6,1122469,13.8,2058969,985925,65,692489,45.6,409076,277330,5989,94,1735363,114398,300151
Guam,87860,53002,67951,73973,44624,73922,57171,42544,25.7,42513,32.9,30724,18.5,30706,23.7,48360,38200,1300,0,24,36270,37679,0,15292,15408,24,0,15290,15392,24,0,30700,25.7,42513,32.9,18.5,30682,23.7,42544,11661,41.4,9826,34.9,4314,5506,6,0,21657,76850,311770
Hawaii,766730,54152,68703,614208,43380,612934,54922,390305,27.6,388658,34.8,232428,16.4,232178,20.8,416130,332300,18300,0,5024,218096,297328,93760,88521,120783,5105,18019,88477,120602,5097,18002,227323,27.6,388658,34.8,16.1,227081,20.3,390305,152005,56.6,90023,33.5,43261,43718,1637,1407,238730,88930,285616
Iowa,1482225,46979,61041,1324891,41992,1322334,54457,846801,26.8,845015,34.8,513482,16.3,512671,21.1,689325,752800,40100,0,34463,698310,591999,119,260567,218177,34724,14,260557,217387,34713,14,478758,26.8,845015,34.8,15.2,477958,19.7,846801,421553,76.2,266429,48.2,135503,128085,2833,8,684824,123848,268056
Idaho,785375,43948,58660,650437,36397,650409,48579,400267,22.4,400234,29.9,250274,14,250258,18.7,379275,384800,21300,0,10492,325290,314440,215,123998,115967,10267,42,123996,115959,10261,42,240007,22.4,400234,29.9,13.4,239997,17.9,400267,198316,68.2,134072,46.1,62020,68680,3349,23,330177,113592,270195
Indian Health Svc,1357325,65168,N/A,857036,41148,844974,N/A,544676,26.2,535931,N/A,310490,14.9,307220,N/A,545025,787900,24400,0,5032,476966,375038,0,160352,145219,4919,0,160281,142027,4912,0,305571,26.2,535931,N/A,14.7,302308,0,544676,129287,0,90815,0,50409,39909,497,0,222481,0,0
Illinois,5909425,46634,59970,5051382,39863,5039901,51146,3307733,26.1,3298959,33.5,1797959,14.2,1795201,18.2,2912325,2839100,158000,0,88256,2440085,2520998,2043,830958,880363,85988,650,830735,877984,85833,649,1711971,26.1,3298959,33.5,13.5,1709368,17.3,3307733,1395559,68.3,805289,39.4,394190,390601,20074,424,2177327,106563,289219
Indiana,2964250,44031,57399,2437519,36207,2436267,47176,1489440,22.1,1488559,28.8,969665,14.4,969279,18.8,1417650,1461600,85000,0,39841,1119265,1275094,3319,442277,486160,40060,1168,442243,485811,40057,1168,929605,22.1,1488559,28.8,13.8,929222,18,1489440,757266,69.7,609459,56.1,320123,283082,5391,863,1379953,127098,273016
Kansas,1450815,49799,65557,1081274,37115,1079115,48761,742985,25.5,741279,33.5,393220,13.5,392599,17.7,685815,729300,35700,0,14426,577156,489484,208,205018,173098,15017,87,204997,172505,15010,87,378203,25.5,741279,33.5,13,377589,17.1,742985,357816,75.3,195171,41,100303,90672,4138,58,526654,110761,305122
Kentucky,2072685,46393,59821,1797605,40236,1793853,51774,1220786,27.3,1218137,35.2,630399,14.1,629946,18.2,1006785,1016200,49700,0,37700,873140,886667,98,289970,304797,35556,76,289952,304377,35541,76,594843,27.3,1218137,35.2,13.3,594405,17.2,1220786,509934,67.9,292733,39,116858,164700,11125,50,774729,103220,276150
Louisiana,2164470,46560,60780,1688633,36324,1686727,47364,1072631,23.1,1070897,30.1,628583,13.5,628417,17.6,1038570,1067900,58000,0,44695,742955,900182,801,234524,350262,43437,360,234507,350137,43414,359,585146,23.1,1070897,30.1,12.6,585003,16.4,1072631,497534,67.1,377953,51,161034,206765,10083,71,883262,119195,292093
Massachusetts,3321910,48196,59965,3032996,44004,3026389,54631,2008501,29.1,2003850,36.2,1069066,15.5,1067236,19.3,1586910,1637200,97800,0,73183,1491073,1468691,49,479485,516425,73149,7,479368,514746,73115,7,995917,29.1,2003850,36.2,14.4,994121,17.9,2008501,893816,76.4,503247,43,199573,267153,36518,3,1361402,116426,284086
Maryland,2866250,47410,60842,2320073,38376,2315789,49157,1567725,25.9,1564214,33.2,852814,14.1,852025,18.1,1444950,1342600,78700,0,57602,1124405,1136644,1422,385186,410693,56548,387,385142,409960,56536,387,796266,25.9,1564214,33.2,13.2,795489,16.9,1567725,669699,69.8,370996,38.7,169167,178872,22778,179,1000231,104256,298756
Maine,679570,50555,62040,595845,44327,595321,54349,398960,29.7,398624,36.4,220075,16.4,219874,20.1,313170,345500,20900,0,17766,293424,284617,38,102070,100136,17861,8,102049,99960,17857,8,202214,29.7,398624,36.4,15,202017,18.4,398960,222994,78.2,127880,44.8,51968,66384,9524,4,339399,118977,238224
Marshall Islands,35600,60945,78135,18873,32310,18843,41357,12042,20.6,12014,26.4,6780,11.6,6776,14.9,0,35000,600,0,0,18873,0,0,6776,2,2,0,6772,2,2,0,6778,20.6,12014,26.4,11.6,6774,14.9,12042,818,8.2,504,5.1,502,0,2,0,1322,13313,358510
Michigan,4543010,45490,57925,3747788,37527,3744712,47746,2442742,24.5,2440355,31.1,1392828,13.9,1392097,17.7,2207010,2210600,125400,0,51089,1780865,1915834,0,594573,746266,51937,52,594512,745623,51910,52,1340891,24.5,2440355,31.1,13.4,1340187,17.1,2442742,1197300,67.8,747084,42.3,342282,387673,17088,41,1902599,107771,257336
Minnesota,2551740,45247,58844,2340900,41508,2337016,53892,1534133,27.2,1531012,35.3,869465,15.4,868648,20,1250340,1236300,65100,0,51627,1091660,1197421,192,368975,448542,51903,45,368940,447776,51887,45,817562,27.2,1531012,35.3,14.5,816761,18.8,1534133,731455,79.5,448072,48.7,181764,237384,28906,18,1135183,123338,277248
Missouri,2849985,46436,59788,2174546,35431,2172096,45567,1387811,22.6,1385956,29.1,751322,12.2,750825,15.8,1439685,1337100,73200,0,34620,902880,1236760,286,279111,436421,35756,34,279075,435974,35743,33,715566,22.6,1385956,29.1,11.7,715082,15,1387811,667967,62.9,378733,35.7,160402,206548,11769,14,1070721,100818,268351
Northern Mariana Islands,44110,77546,99418,24895,43766,24864,56040,14511,25.5,14492,32.7,10384,18.3,10372,23.4,30810,12800,500,0,14,3282,21599,0,1117,9252,15,0,1117,9240,15,0,10369,25.5,14492,32.7,18.2,10357,23.3,14511,2203,22.8,1977,20.4,282,1682,13,0,4169,43113,456153
Mississippi,1418475,47661,62280,1002292,33677,1001506,43973,655574,22,654922,28.8,368968,12.4,368839,16.2,660075,721300,37100,0,21777,520202,459584,729,181352,166449,21155,12,181330,166348,21149,12,347813,22,654922,28.8,11.7,347690,15.3,655574,302197,62.1,200398,41.2,105043,88896,6455,4,491141,100914,291452
Montana,551325,51585,65619,447675,41887,446315,53121,284626,26.6,283600,33.8,170526,16,170204,20.3,248625,288200,14500,0,6911,237240,203414,110,87643,75981,6874,28,87624,75681,6871,28,163652,26.6,283600,33.8,15.3,163333,19.4,284626,137042,66.4,92022,44.6,44694,45192,2122,14,225248,109112,267067
North Carolina,4932810,47033,60249,4064069,38749,4053882,49514,2649588,25.3,2640505,32.3,1460412,13.9,1459152,17.8,2491710,2314000,127100,0,105576,1747405,2210759,329,553430,803332,103625,25,553304,802396,103427,25,1356787,25.3,2640505,32.3,12.9,1355725,16.6,2649588,1217394,69.5,903472,51.6,407514,480888,15051,19,2149535,122754,281699
North Dakota,390610,51257,67128,360501,47306,359288,61745,220711,29,219798,37.8,129480,17,129240,22.2,182910,197600,10100,0,7154,172131,181216,0,59936,63081,6463,0,59919,62864,6457,0,123017,29,219798,37.8,16.1,122783,21.1,220711,90085,75.2,66289,55.3,32335,32765,1189,0,161690,134916,325929
Nebraska,941420,48667,64554,797409,41222,795764,54567,515361,26.6,514149,35.3,295006,15.3,294560,20.2,459420,453100,28900,0,19370,372682,403818,1539,130789,143911,19907,399,130761,143499,19901,399,275099,26.6,514149,35.3,14.2,274659,18.8,515361,236600,75.7,148102,47.4,65064,81245,1484,309,387162,123908,301295
New Hampshire,651805,47937,59016,537577,39536,536101,48540,380950,28,379832,34.4,190473,14,190123,17.2,300105,332200,19500,0,13162,291607,232781,27,108759,68100,13609,5,108682,67841,13595,5,176864,28,379832,34.4,13,176528,16,380950,204177,80.4,93200,36.7,50009,34772,8417,2,279398,110058,256754
