COVID-19 Vaccinations in the United States
Date generated: Wed Mar 31 2021 15:15:24 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,572905,78314,103870,404339,55272,398551,72259,247097,33.8,243025,44.1,161504,22.1,159765,29,292305,263900,16700,0,5307,184748,214228,56,70401,85912,5182,9,70323,84278,5155,9,156322,33.8,243025,44.1,21.4,154610,28,247097,66127,72.2,54866,59.9,32100,22194,569,3,118845,129760,625524
Alabama,2722700,55529,71371,1697641,34623,1695786,44452,1134739,23.1,1133072,29.7,643450,13.1,643202,16.9,1345500,1279200,98000,0,38494,846686,812461,0,303226,300673,39522,29,303198,300462,39513,29,603928,23.1,1133072,29.7,12.3,603689,15.8,1134739,532936,62.7,349199,41.1,182781,151589,14809,20,850146,100036,320379
Arkansas,1744560,57809,75273,1159108,38409,1156567,49903,772457,25.6,770034,33.2,410003,13.6,409784,17.7,851760,832500,60300,0,25486,567744,565634,244,193398,191817,24738,50,193371,191659,24704,50,385265,25.6,770034,33.2,12.8,385080,16.6,772457,335436,64,211035,40.3,118143,88429,4424,39,540914,103251,333006
American Samoa,43810,78669,100859,29079,52217,28206,64935,17718,31.8,17178,39.5,11460,20.6,11130,25.6,30810,12400,600,0,0,6173,22906,0,2308,9148,4,0,2307,8819,4,0,11456,31.8,17178,39.5,20.6,11126,25.6,17718,2211,23.4,1584,16.7,611,972,1,0,3733,39432,462765
Arizona,4153635,57065,73666,3399399,46703,3382242,59985,2125696,29.2,2113971,37.5,1220787,16.8,1217016,21.6,2131935,1871700,150000,0,44938,1545419,1807618,1424,527409,649525,43366,487,527333,645876,43320,487,1177421,29.2,2113971,37.5,16.2,1173696,20.8,2125696,933945,71.4,631568,48.3,288942,330491,11803,332,1613607,123305,317403
Bureau of Prisons,108010,N/A,N/A,101891,N/A,101891,N/A,61016,N/A,61016,N/A,40656,N/A,40656,N/A,62010,44300,1700,0,365,40219,61307,0,15314,24978,364,0,15314,24978,364,0,40292,N/A,61016,N/A,0,40292,0,61016,2595,0,1827,0,790,1035,2,0,4448,0,0
California,23117480,58507,75504,17922091,45358,17855323,58317,11929476,30.2,11872329,38.8,6228491,15.8,6218329,20.3,11724180,10609400,783900,0,345922,8434439,9140278,1452,2713429,3171336,343498,228,2712494,3162835,342773,227,5884993,30.2,11872329,38.8,14.9,5875556,19.2,11929476,4527172,77.5,3029704,51.9,1540002,1441625,47931,146,7564404,129569,395975
Colorado,3217170,55866,71505,2645306,45936,2637368,58618,1692343,29.4,1685431,37.5,991243,17.2,990119,22,1611870,1502500,102800,0,59241,1275188,1310204,673,440384,492456,58253,150,440293,491520,58156,150,932990,29.4,1685431,37.5,16.2,931963,20.7,1692343,651211,77.3,515163,61.2,247141,259737,8194,91,1167660,138609,381900
Connecticut,2322415,65140,81837,1924605,53982,1921790,67720,1244384,34.9,1242436,43.8,713132,20,712354,25.1,1220115,1025500,76800,0,47049,841680,1035739,137,286326,379830,46957,19,286158,379253,46924,19,666175,34.9,1242436,43.8,18.7,665430,23.4,1244384,524269,83.2,405776,64.4,152788,247407,5569,12,936456,148586,368495
District of Columbia,501985,71128,86912,359065,50877,358494,62068,185928,26.3,185343,32.1,93350,13.2,93327,16.2,269685,214600,17700,0,7580,144962,206523,0,40700,44416,8218,16,40699,44395,8217,16,85132,26.3,185343,32.1,12.1,85110,14.7,185928,59488,68.1,39919,45.7,23054,16164,694,7,123382,141261,574728
