COVID-19 Vaccinations in the United States
Date generated: Fri Apr 02 2021 15:15:02 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,615825,84181,111651,411529,56255,405536,73525,250378,34.2,246157,44.6,165325,22.6,163530,29.6,311025,281500,23300,0,5827,187560,218086,56,71943,87679,5693,10,71863,85992,5665,10,159632,34.2,246157,44.6,21.8,157865,28.6,250378,66399,72.5,55227,60.3,32313,22276,634,4,119391,130357,672386
Alabama,2839540,57912,74433,1771979,36139,1769781,46392,1184284,24.2,1182292,31,673773,13.7,673498,17.7,1359540,1369500,110500,0,41981,876672,853326,0,314533,316247,42958,35,314503,316013,42947,35,630815,24.2,1182292,31,12.9,630551,16.5,1184284,543725,64,363605,42.8,189317,158576,15688,24,873963,102839,334128
Arkansas,1814280,60119,78281,1209965,40094,1206997,52079,803744,26.6,800917,34.6,432735,14.3,432387,18.7,870480,871000,72800,0,28295,591811,589592,267,204413,200767,27498,57,204383,200582,27365,57,405237,26.6,800917,34.6,13.4,405022,17.5,803744,342375,65.4,223201,42.6,125649,92667,4841,44,559566,106811,346315
American Samoa,43810,78669,100859,31167,55966,30221,69574,17856,32.1,17307,39.8,13406,24.1,13012,30,30810,12400,600,0,0,6649,24518,0,2775,10627,4,0,2774,10234,4,0,13402,32.1,17307,39.8,24.1,13008,29.9,17856,2222,23.5,1875,19.8,712,1162,1,0,4036,42632,462765
Arizona,4365955,59982,77431,3512579,48258,3492420,61939,2194105,30.1,2179551,38.7,1267484,17.4,1263617,22.4,2138955,2050800,176200,0,50001,1585629,1875410,1539,543865,674790,48303,526,543788,671049,48254,526,1219181,30.1,2179551,38.7,16.7,1215363,21.6,2194105,941050,71.9,650620,49.7,298209,339213,12841,357,1640188,125336,333627
Bureau of Prisons,108010,N/A,N/A,107497,N/A,107496,N/A,63178,N/A,63177,N/A,44151,N/A,44151,N/A,62010,44300,1700,0,432,42960,64105,0,17050,26670,431,0,17050,26670,431,0,43720,N/A,63177,N/A,0,43720,0,63178,2648,0,1999,0,908,1087,4,0,4672,0,0
California,24288100,61470,79327,18604164,47085,18527267,60512,12376871,31.3,12310991,40.2,6485628,16.4,6473998,21.1,12093900,11129900,1064300,0,370501,8730014,9502013,1636,2823850,3293464,368034,280,2822842,3283649,367228,279,6117594,31.3,12310991,40.2,15.5,6106770,19.9,12376871,4575486,78.4,3107828,53.2,1592282,1464338,51025,183,7689213,131707,416026
Colorado,3459750,60078,76897,2746030,47685,2736772,60828,1756207,30.5,1748175,38.9,1028324,17.9,1026998,22.8,1698450,1634800,126500,0,60395,1324789,1360132,714,462046,506587,59517,174,461938,505470,59416,174,968807,30.5,1748175,38.9,16.8,967582,21.5,1756207,654842,77.7,530716,63,258758,263531,8331,96,1187181,140926,410696
Connecticut,2484595,69688,87552,1992899,55897,1989968,70122,1284258,36,1282198,45.2,743564,20.9,742772,26.2,1283295,1105600,95700,0,49448,870204,1073106,141,299759,394434,49351,20,299589,393848,49315,20,694213,36,1282198,45.2,19.5,693457,24.4,1284258,528839,83.9,418511,66.4,159214,253234,6050,13,953370,151270,394227
District of Columbia,525585,74472,90998,381345,54034,380759,65923,198018,28.1,197393,34.2,100548,14.2,100524,17.4,281385,223200,21000,0,8153,148806,224386,0,42083,49561,8888,16,42082,49539,8887,16,91660,28.1,197393,34.2,13,91637,15.9,198018,60783,69.6,41629,47.7,23479,17370,773,7,129170,147888,601748
