COVID-19 Vaccinations in the United States
Date generated: Sat Apr 03 2021 15:18:37 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,629315,86025,114097,415690,56824,409577,74258,252586,34.5,248279,45,167561,22.9,165729,30,319215,283700,26400,0,6229,188840,220565,56,72694,88782,6075,10,72613,87062,6044,10,161486,34.5,248279,45,22.1,159685,29,252586,66583,72.7,55478,60.6,32427,22360,687,4,119743,130741,687115
Alabama,2872410,58583,75295,1813462,36985,1811031,47473,1211424,24.7,1209215,31.7,691082,14.1,690784,18.1,1384110,1371000,117300,0,43535,893161,876766,0,321482,325018,44545,37,321449,324766,44532,37,646537,24.7,1209215,31.7,13.2,646252,16.9,1211424,549253,64.6,371251,43.7,193082,161999,16144,26,886401,104302,337995
Arkansas,1838220,60913,79314,1244076,41225,1240756,53535,822604,27.3,819446,35.4,449549,14.9,449162,19.4,884520,880900,72800,0,30103,606254,607449,270,211413,208806,29271,59,211383,208588,29132,59,420278,27.3,819446,35.4,13.9,420030,18.1,822604,346338,66.1,230812,44.1,130340,95381,5045,46,571056,109005,350884
American Samoa,43810,78669,100859,31761,57033,30782,70866,18097,32.5,17528,40.4,13754,24.7,13347,30.7,30810,12400,600,0,0,6737,25024,0,2837,10913,4,0,2835,10508,4,0,13750,32.5,17528,40.4,24.7,13343,30.7,18097,2234,23.6,1894,20,714,1179,1,0,4067,42960,462765
Arizona,4518235,62075,80132,3581448,49204,3559601,63130,2235527,30.7,2219386,39.4,1298327,17.8,1294387,23,2272335,2063600,182300,0,55278,1613264,1911327,1579,555309,689016,53460,542,555229,685208,53408,542,1244867,30.7,2219386,39.4,17.1,1240979,22,2235527,945942,72.3,662601,50.6,305134,343534,13567,366,1657369,126649,345264
Bureau of Prisons,108010,N/A,N/A,110979,N/A,110978,N/A,64308,N/A,64307,N/A,46504,N/A,46504,N/A,62010,44300,1700,0,435,44332,66212,0,17945,28125,434,0,17945,28125,434,0,46070,N/A,64307,N/A,0,46070,0,64308,2673,0,2099,0,957,1138,4,0,4798,0,0
California,24873840,62952,81240,18985902,48051,18903224,61740,12625303,32,12554373,41,6637438,16.8,6625015,21.6,12552540,11203500,1117800,0,389990,8894952,9699259,1701,2887838,3361791,387511,298,2886761,3351307,386650,297,6249927,32,12554373,41,15.8,6238365,20.4,12625303,4602088,78.8,3150701,54,1619008,1478309,53188,196,7757149,132871,426059
Colorado,3517390,61079,78178,2803981,48691,2794074,62101,1792685,31.1,1784105,39.7,1051000,18.3,1049567,23.3,1747590,1635800,134000,0,62358,1352252,1388628,743,473795,515559,61468,178,473682,514350,61357,178,989532,31.1,1784105,39.7,17.2,988210,22,1792685,657006,78,537675,63.8,264335,264751,8491,98,1196322,142012,417538
Connecticut,2560585,71820,90230,2035542,57093,2032521,71622,1307704,36.7,1305564,46,765639,21.5,764828,27,1349985,1111900,98700,0,51535,891158,1092704,145,311607,402538,51472,22,311432,401940,51434,22,714167,36.7,1305564,46,20,713394,25.1,1307704,531779,84.4,425168,67.5,162700,255999,6456,13,962451,152711,406285
District of Columbia,542795,76910,93977,388617,55064,387849,67151,202602,28.7,201921,35,103882,14.7,103723,18,296595,224200,22000,0,8636,151292,228689,0,42938,51492,9436,16,42937,51337,9433,16,94446,28.7,201921,35,13.4,94290,16.3,202602,61090,69.9,42226,48.3,23853,17538,828,7,130135,148993,621452
