COVID-19 Vaccinations in the United States
Date generated: Sun Apr 04 2021 15:14:24 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,636665,87030,115429,420238,57445,413954,75051,254263,34.8,249850,45.3,170747,23.3,168841,30.6,325065,284900,26700,0,6623,190835,222723,57,74102,90209,6426,10,74020,88419,6392,10,164321,34.8,249850,45.3,22.5,162449,29.5,254263,66734,72.9,55682,60.8,32539,22417,722,4,120045,131071,695140
Alabama,2891780,58978,75803,1847243,37674,1844583,48352,1234131,25.2,1231689,32.3,705197,14.4,704881,18.5,1396980,1372700,122100,0,45255,907926,894062,0,327688,331171,46300,38,327651,330906,46286,38,658897,25.2,1231689,32.3,13.4,658595,17.3,1234131,554113,65.2,377177,44.4,196032,164510,16608,27,896486,105489,340275
Arkansas,1908100,63228,82329,1305535,43261,1241660,53574,855314,28.3,818875,35.3,481056,15.9,451244,19.5,924300,910200,73600,0,34413,632579,638255,288,223933,223674,33389,60,212357,209580,29247,60,447667,28.3,818875,35.3,14.8,421997,18.2,855314,345743,66,231759,44.2,130855,95774,5083,47,571354,109062,364223
American Samoa,43810,78669,100859,31761,57033,30782,70866,18097,32.5,17528,40.4,13755,24.7,13348,30.7,30810,12400,600,0,0,6737,25024,0,2838,10913,4,0,2836,10508,4,0,13751,32.5,17528,40.4,24.7,13344,30.7,18097,2234,23.6,1895,20,715,1179,1,0,4067,42960,462765
Arizona,4538885,62358,80498,3653578,50195,3630041,64380,2276832,31.3,2259127,40.1,1332012,18.3,1327949,23.6,2289885,2066400,182600,0,60062,1644423,1947463,1630,569773,703548,58134,557,569690,699624,58078,557,1273878,31.3,2259127,40.1,17.5,1269871,22.5,2276832,950883,72.7,676521,51.7,314135,347637,14370,379,1676330,128098,346842
Bureau of Prisons,108010,N/A,N/A,111766,N/A,111765,N/A,64749,N/A,64748,N/A,46850,N/A,46850,N/A,62010,44300,1700,0,438,44725,66603,0,18077,28336,437,0,18077,28336,437,0,46413,N/A,64748,N/A,0,46413,0,64749,2686,0,2118,0,965,1148,5,0,4829,0,0
California,25338590,64128,82758,19449615,49224,19360155,63232,12935569,32.7,12858916,42,6817086,17.3,6803447,22.2,12792390,11341500,1204700,0,417099,9086512,9944228,1776,2953079,3449134,414564,309,2951950,3437566,413623,308,6402522,32.7,12858916,42,16.2,6389824,20.9,12935569,4634254,79.4,3188306,54.6,1641416,1490997,55692,201,7825014,134033,434020
Colorado,3527450,61254,78401,2878136,49979,2867397,63731,1837148,31.9,1827922,40.6,1081615,18.8,1079970,24,1756950,1635800,134700,0,64065,1387173,1426039,859,488073,530163,63154,225,487945,528766,63034,225,1018461,31.9,1827922,40.6,17.7,1016936,22.6,1837148,659308,78.3,544885,64.7,270052,266103,8627,103,1205895,143148,418732
Connecticut,2577515,72295,90826,2092230,58683,2088814,73606,1338982,37.6,1336440,47.1,795034,22.3,794196,28,1360515,1115600,101400,0,55533,916846,1119705,146,327048,412499,55465,22,326867,411883,55424,22,739569,37.6,1336440,47.1,20.7,738772,26,1338982,534494,84.8,432391,68.6,166146,259374,6858,13,971986,154224,408971
District of Columbia,542795,76910,93977,396885,56236,396114,68582,208953,29.6,207306,35.9,107122,15.2,106532,18.4,296595,224200,22000,0,8963,154251,233671,0,44107,53014,9985,16,44001,52649,9866,16,97137,29.6,207306,35.9,13.8,96666,16.7,208953,61464,70.4,42672,48.9,24054,17750,861,7,131056,150048,621452
