COVID-19 Vaccinations in the United States
Date generated: Mon Apr 05 2021 15:15:01 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,636665,87030,115429,428556,58582,413976,75055,257375,35.2,249850,45.3,176825,24.2,168864,30.6,325065,284900,26700,0,7463,194810,226226,57,76545,93009,7261,10,74036,88423,6395,10,169564,35.2,249850,45.3,23.2,162469,29.5,257375,66741,72.9,55682,60.8,32539,22416,723,4,120053,131079,695140
Alabama,2892950,59001,75833,1858833,37911,1845254,48370,1242706,25.3,1231851,32.3,709849,14.5,705414,18.5,1398150,1372700,122100,0,45860,911770,901203,0,329335,333539,46937,38,327907,331166,46303,38,662912,25.3,1231851,32.3,13.5,659111,17.3,1242706,554146,65.2,377294,44.4,196122,164535,16610,27,896632,105506,340412
Arkansas,1908100,63228,82329,1306811,43303,1242526,53611,856162,28.4,819241,35.3,482062,16,451832,19.5,924300,910200,73600,0,34471,633400,638652,288,224660,223884,33455,63,212746,209724,29303,59,448607,28.4,819241,35.3,14.9,422529,18.2,856162,345861,66,232019,44.3,131043,95821,5109,46,571703,109128,364223
American Samoa,43810,78669,100859,31775,57058,30782,70866,18099,32.5,17528,40.4,13755,24.7,13348,30.7,30810,12400,600,0,0,6751,25024,0,2838,10913,4,0,2836,10508,4,0,13751,32.5,17528,40.4,24.7,13344,30.7,18099,2234,23.6,1895,20,715,1179,1,0,4067,42960,462765
Arizona,4538885,62358,80498,3720230,51111,3634069,64451,2312278,31.8,2261049,40.1,1366330,18.8,1330503,23.6,2289885,2066400,182600,0,64482,1670676,1983322,1750,582366,720917,62472,575,570752,700934,58260,557,1303858,31.8,2261049,40.1,17.9,1272243,22.6,2312278,951060,72.7,677002,51.7,314353,347864,14407,378,1676923,128143,346842
Bureau of Prisons,108010,N/A,N/A,112202,N/A,111765,N/A,65102,N/A,64746,N/A,46986,N/A,46852,N/A,62010,44300,1700,0,491,44913,66798,0,18124,28372,490,0,18079,28336,437,0,46496,N/A,64746,N/A,0,46415,0,65102,2686,0,2118,0,965,1148,5,0,4829,0,0
California,25338590,64128,82758,19962420,50522,19367453,63256,13292476,33.6,12859683,42,7020160,17.8,6809791,22.2,12792390,11341500,1204700,0,463857,9297433,10199290,1840,3025367,3533198,461261,334,2954902,3440763,413818,308,6558899,33.6,12859683,42,16.6,6395973,20.9,13292476,4634126,79.4,3189969,54.6,1642442,1491554,55772,201,7826588,134060,434020
Colorado,3527450,61254,78401,2954206,51300,2868600,63758,1889755,32.8,1828483,40.6,1108570,19.3,1080632,24,1756950,1635800,134700,0,67339,1419571,1466416,880,503268,538613,66445,244,488128,529205,63073,226,1042125,32.8,1828483,40.6,18.1,1017559,22.6,1889755,659348,78.3,544977,64.7,270077,266161,8635,104,1206024,143163,418732
Connecticut,2577515,72295,90826,2138503,59981,2089303,73623,1365965,38.3,1336750,47.1,816983,22.9,794360,28,1360515,1115600,101400,0,58137,932256,1147962,148,336178,422703,58080,22,326880,412031,55427,22,758903,38.3,1336750,47.1,21.3,738933,26,1365965,534519,84.8,432430,68.6,166154,259404,6859,13,972063,154236,408971
District of Columbia,542795,76910,93977,403560,57182,396809,68702,214219,30.4,207866,36,109897,15.6,106654,18.5,296595,224200,22000,0,9194,156923,237443,0,45211,54337,10333,16,43999,52772,9867,16,99564,30.4,207866,36,14.1,96787,16.8,214219,61504,70.4,42672,48.9,24052,17752,861,7,131101,150099,621452
