COVID-19 Vaccinations in the United States
Date generated: Wed Apr 07 2021 15:15:31 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,658125,89964,119320,432690,59147,426101,77254,258884,35.4,254333,46.1,179359,24.5,177289,32.1,334425,291300,32400,0,8180,196291,228162,57,77370,94352,7627,10,77279,92411,7589,10,171732,35.4,254333,46.1,23.5,169700,30.8,258884,67120,73.3,56301,61.5,32778,22643,876,4,120896,132000,718571
Alabama,3106870,63364,81441,1896920,38688,1893795,49642,1267859,25.9,1264985,33.2,725270,14.8,724923,19,1498770,1412000,196100,0,47936,925296,923688,0,333982,342215,49035,38,333947,341917,49021,38,676235,25.9,1264985,33.2,13.8,675902,17.7,1267859,560262,65.9,385004,45.3,199102,168671,17204,27,909808,107057,365584
Arkansas,1977830,65539,85338,1325141,43911,1320296,56967,867707,28.8,863138,37.2,489479,16.2,488954,21.1,981630,914800,81400,0,35472,639121,650260,288,227069,227913,34436,61,227035,227579,34279,61,455043,28.8,863138,37.2,15.1,454675,19.6,867707,353741,67.5,246675,47.1,140437,100424,5769,45,593895,113364,377533
American Samoa,43810,78669,100859,31775,57058,30796,70898,18100,32.5,17531,40.4,13755,24.7,13348,30.7,30810,12400,600,0,0,6751,25024,0,2838,10913,4,0,2836,10508,4,0,13751,32.5,17531,40.4,24.7,13344,30.7,18100,2234,23.6,1895,20,715,1179,1,0,4068,42970,462765
Arizona,4762745,65434,84469,3809075,52332,3781579,67067,2353075,32.3,2331846,41.4,1399810,19.2,1395496,24.7,2392845,2069700,300200,0,67780,1696593,2042908,1794,592489,741634,65108,579,592407,737462,65048,579,1334702,32.3,2331846,41.4,18.3,1330448,23.6,2353075,958322,73.2,696640,53.2,325008,356038,15202,392,1710538,130712,363948
Bureau of Prisons,123170,N/A,N/A,112317,N/A,112316,N/A,65127,N/A,65126,N/A,47075,N/A,47075,N/A,71370,48500,3300,0,494,44961,66862,0,18159,28424,492,0,18159,28424,492,0,46583,N/A,65126,N/A,0,46583,0,65127,2693,0,2120,0,966,1149,5,0,4838,0,0
California,26977640,68277,88112,20485651,51846,20380837,66566,13636653,34.5,13547336,44.2,7249897,18.3,7233267,23.6,13418340,11762000,1797300,0,520656,9501672,10461476,1847,3104772,3626929,517861,335,3103465,3612907,516561,334,6732036,34.5,13547336,44.2,17,6716706,21.9,13636653,4693784,80.4,3261777,55.9,1685077,1513060,63425,215,7952818,136222,462095
Colorado,3720990,64615,82703,3017904,52406,3004251,66773,1934660,33.6,1922706,42.7,1131482,19.6,1129641,25.1,1841190,1686400,193400,0,72372,1448351,1496291,890,517181,542612,71443,246,517034,541060,71301,246,1060039,33.6,1922706,42.7,18.4,1058340,23.5,1934660,663111,78.7,555204,65.9,278241,267695,9159,109,1219861,144806,441707
Connecticut,2805115,78679,98847,2186180,61318,2180927,76851,1389383,39,1385085,48.8,843076,23.6,842187,29.7,1465815,1168800,170500,0,60614,950898,1174520,148,348250,434215,60589,22,348062,433560,60543,22,782487,39,1385085,48.8,21.9,781644,27.5,1389383,537365,85.3,440845,69.9,168806,264736,7290,13,983054,155980,445084
District of Columbia,562645,79723,97414,412388,58433,411581,71259,218769,31,218010,37.7,113268,16,113102,19.6,302445,225100,35100,0,9399,160202,242787,0,46387,56178,10687,16,46386,56016,10684,16,102581,31,218010,37.7,14.5,102418,17.7,218769,61967,70.9,43373,49.7,24425,18013,928,7,132841,152091,644179
