COVID-19 Vaccinations in the United States
Date generated: Thu Apr 08 2021 15:14:52 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,684095,93514,124029,436681,59693,429909,77944,260622,35.6,255960,46.4,181924,24.9,179782,32.6,347295,300800,36000,0,8702,197680,230242,57,78308,95545,8060,11,78216,93534,8021,11,173864,35.6,255960,46.4,23.8,171761,31.1,260622,67243,73.4,56485,61.7,32865,22688,928,4,121145,132272,746926
Alabama,3149910,64242,82569,1935221,39469,1931798,50639,1291487,26.3,1288341,33.8,744961,15.2,744584,19.5,1501110,1446800,202000,0,51797,941846,941578,0,341605,350394,52923,39,341569,350071,52905,39,692038,26.3,1288341,33.8,14.1,691679,18.1,1291487,565091,66.5,392943,46.2,203156,171584,18175,28,921378,108418,370649
Arkansas,2024830,67096,87366,1351223,44775,1345828,58069,881099,29.2,876060,37.8,503310,16.7,502702,21.7,981630,917400,125800,0,36700,649102,665127,294,232225,235348,35671,66,232188,234939,35510,65,467639,29.2,876060,37.8,15.5,467192,20.2,881099,355858,67.9,251426,48,143289,102139,5949,49,600631,114650,386505
American Samoa,43810,78669,100859,32856,58999,31831,73281,18598,33.4,18010,41.5,14337,25.7,13903,32,30810,12400,600,0,0,6855,26001,0,2890,11442,5,0,2888,11010,5,0,14332,33.4,18010,41.5,25.7,13898,32,18598,2258,23.9,1911,20.2,718,1192,1,0,4109,43403,462765
Arizona,4911345,67475,87104,3855073,52964,3826501,67864,2378505,32.7,2356258,41.8,1421780,19.5,1417418,25.1,2392845,2217400,301100,0,70844,1713308,2069057,1864,599987,753237,67956,600,599905,749018,67895,600,1353824,32.7,2356258,41.8,18.6,1349523,23.9,2378505,961724,73.5,703391,53.8,329062,358365,15558,406,1720979,131510,375303
Bureau of Prisons,123170,N/A,N/A,113400,N/A,113399,N/A,65779,N/A,65778,N/A,47560,N/A,47560,N/A,71370,48500,3300,0,561,45256,67583,0,18371,28635,554,0,18371,28635,554,0,47006,N/A,65778,N/A,0,47006,0,65779,2703,0,2132,0,977,1150,5,0,4860,0,0
California,27370670,69271,89395,20865892,52809,20755161,67788,13880287,35.1,13786159,45,7422738,18.8,7404858,24.2,13545870,11986900,1837900,0,558196,9652663,10653091,1942,3165950,3701154,555271,363,3164574,3686086,553836,362,6867467,35.1,13786159,45,17.4,6851022,22.4,13880287,4713198,80.7,3290561,56.4,1702454,1521099,66773,235,7998151,136999,468827
Colorado,3837040,66630,85282,3079255,53471,3063799,68096,1978286,34.4,1964591,43.7,1156758,20.1,1154830,25.7,1847040,1763600,226400,0,80803,1473927,1523626,899,528552,548200,79761,245,528394,546607,79584,245,1076997,34.4,1964591,43.7,18.7,1075246,23.9,1978286,665137,79,558801,66.3,280762,268346,9585,108,1225251,145446,455483
Connecticut,2813985,78927,99159,2227005,62464,2220847,78258,1414139,39.7,1408975,49.6,862554,24.2,861638,30.4,1466985,1175900,171100,0,63748,963527,1199575,155,354601,444129,63800,24,354408,443453,63753,24,798754,39.7,1408975,49.6,22.4,797885,28.1,1414139,538910,85.5,445282,70.7,170127,267597,7544,14,988788,156890,446491
District of Columbia,579035,82045,100252,413125,58537,412318,71387,220702,31.3,219927,38.1,114192,16.2,114025,19.7,310635,233300,35100,0,9400,160387,243338,0,46508,56688,10980,16,46507,56525,10977,16,103212,31.3,219927,38.1,14.6,103048,17.8,220702,62021,71,43468,49.8,24438,18086,937,7,132911,152171,662944
