COVID-19 Vaccinations in the United States
Date generated: Sun Apr 11 2021 15:14:37 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,706185,96533,128034,455719,62295,447827,81193,268587,36.7,263362,47.7,194814,26.6,192107,34.8,355485,308600,42100,0,10586,203873,241200,60,82757,102141,9905,11,82648,99590,9858,11,184909,36.7,263362,47.7,25.3,182249,33,268587,67847,74.1,57331,62.6,33239,22945,1143,4,122300,133533,771045
Alabama,3278980,66874,85952,2065327,42122,2060248,54006,1371201,28,1366479,35.8,811323,16.5,810836,21.3,1572480,1467400,239100,0,64452,999586,1001289,0,369361,376135,65784,43,369319,375718,65756,43,745539,28,1366479,35.8,15.2,745080,19.5,1371201,580257,68.3,416373,49,215979,179281,21082,31,956383,112537,385836
Arkansas,2138430,70860,92267,1440169,47722,1432709,61817,929582,30.8,922795,39.8,551699,18.3,550718,23.8,1028430,956300,153700,0,44476,684106,711257,330,250431,257753,43441,74,250382,257032,43231,73,508258,30.8,922795,39.8,16.8,507487,21.9,929582,363080,69.3,265446,50.7,151809,106459,7125,53,620618,118465,408189
American Samoa,43810,78669,100859,33545,60236,32483,74782,18895,33.9,18287,42.1,14737,26.5,14286,32.9,30810,12400,600,0,0,6969,26576,0,2910,11821,6,0,2908,11372,6,0,14731,33.9,18287,42.1,26.5,14280,32.9,18895,2296,24.3,1928,20.4,720,1207,1,0,4160,43942,462765
Arizona,5161045,70906,91533,4054007,55697,4022027,71332,2494850,34.3,2469561,43.8,1540110,21.2,1535368,27.2,2556645,2257800,346600,0,97623,1790309,2164029,2046,638986,806120,94336,668,638901,801530,94269,668,1445774,34.3,2469561,43.8,19.9,1441099,25.6,2494850,977545,74.7,735854,56.2,345689,370335,19378,452,1761519,134608,394384
Bureau of Prisons,123570,N/A,N/A,125929,N/A,125928,N/A,73538,N/A,73537,N/A,53095,N/A,53095,N/A,71370,48500,3700,0,1351,49017,75561,0,20148,31606,1341,0,20148,31606,1341,0,51754,N/A,73537,N/A,0,51754,0,73538,2804,0,2296,0,1100,1179,17,0,5114,0,0
California,29034050,73481,94828,22281619,56392,22145613,72330,14803675,37.5,14688810,48,8110488,20.5,8087318,26.4,14474850,12470200,2089000,0,757013,10164343,11358047,2216,3388362,3968012,753689,425,3386651,3948712,751531,424,7356799,37.5,14688810,48,18.6,7335787,24,14803675,4785487,82,3401620,58.3,1765315,1551531,84509,265,8164403,139847,497319
Colorado,4090550,71032,90917,3266193,56717,3246002,72146,2099453,36.5,2081436,46.3,1249516,21.7,1247032,27.7,1979250,1832100,279200,0,110310,1551134,1603817,932,561234,579187,108838,257,561044,577228,108503,257,1140678,36.5,2081436,46.3,19.8,1138529,25.3,2099453,670523,79.6,567991,67.4,285698,271444,10739,110,1238803,147054,485576
Connecticut,2991235,83899,105405,2391842,67087,2381163,83907,1519748,42.6,1510157,53.2,944060,26.5,943066,33.2,1554735,1234600,201900,0,85500,1025934,1280241,167,387021,471102,85911,26,386816,470377,85847,26,858149,42.6,1510157,53.2,24.1,857219,30.2,1519748,544031,86.3,461311,73.2,177103,275429,8765,14,1008643,160040,474615
District of Columbia,610475,86500,105695,445289,63095,444107,76891,244653,34.7,243669,42.2,130670,18.5,130306,22.6,324675,246400,39400,0,13014,169431,262844,0,49675,65263,15712,20,49674,64908,15704,20,114958,34.7,243669,42.2,16.3,114602,19.8,244653,63341,72.5,45265,51.8,25068,19012,1177,8,135376,154994,698940
