COVID-19 Vaccinations in the United States
Date generated: Mon Apr 12 2021 15:17:43 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,706185,96533,128034,461286,63056,453155,82158,270838,37,265491,48.1,198792,27.2,195966,35.5,355485,308600,42100,0,11276,206693,243255,62,84708,103490,10582,12,84590,100832,10532,12,188210,37,265491,48.1,25.7,185434,33.6,270838,68032,74.3,57633,62.9,33381,23004,1243,5,122672,133939,771045
Alabama,3278980,66874,85952,2082605,42475,2077106,54447,1382951,28.2,1377822,36.1,819550,16.7,819043,21.5,1572480,1467400,239100,0,66187,1006760,1009658,0,373013,378892,67602,43,372971,378457,67572,43,751948,28.2,1377822,36.1,15.3,751471,19.7,1382951,581917,68.5,418851,49.3,217503,179901,21416,31,960037,112967,385836
Arkansas,2138430,70860,92267,1469291,48687,1461244,63049,944947,31.3,937659,40.5,567249,18.8,566165,24.4,1028430,956300,153700,0,46405,696646,725907,333,257340,264496,45338,75,257288,263687,45116,74,521911,31.3,937659,40.5,17.3,521049,22.5,944947,365778,69.8,269380,51.4,154317,107566,7443,54,626977,119679,408189
American Samoa,43810,78669,100859,34165,61350,33082,76161,19406,34.8,18777,43.2,14846,26.7,14395,33.1,30810,12400,600,0,0,7041,27124,0,2951,11889,6,0,2949,11440,6,0,14840,34.8,18777,43.2,26.6,14389,33.1,19406,2312,24.4,1947,20.6,733,1213,1,0,4195,44312,462765
Arizona,5161045,70906,91533,4125010,56672,4091682,72567,2533121,34.8,2506624,44.5,1579065,21.7,1574199,27.9,2556645,2257800,346600,0,105989,1818298,2198627,2096,653103,822948,102327,687,653013,818241,102258,687,1476738,34.8,2506624,44.5,20.3,1471941,26.1,2533121,982684,75.1,746261,57,351335,373774,20691,461,1776347,135741,394384
Bureau of Prisons,123570,N/A,N/A,126905,N/A,126904,N/A,74459,N/A,74458,N/A,53264,N/A,53264,N/A,71370,48500,3700,0,1470,49287,76148,0,20193,31612,1459,0,20193,31612,1459,0,51805,N/A,74458,N/A,0,51805,0,74459,2819,0,2297,0,1101,1179,17,0,5130,0,0
California,29034050,73481,94828,22754163,57588,22608357,73841,15123816,38.3,15000631,49,8332396,21.1,8307417,27.1,14474850,12470200,2089000,0,828191,10333068,11590642,2262,3467114,4040251,824595,436,3465300,4019566,822116,435,7507801,38.3,15000631,49,19,7485301,24.4,15123816,4808049,82.4,3432453,58.8,1782389,1559033,90760,271,8212130,140664,497319
Colorado,4090550,71032,90917,3336248,57934,3313687,73650,2143097,37.2,2122824,47.2,1285768,22.3,1283079,28.5,1979250,1832100,279200,0,119536,1579380,1636390,942,575199,592157,118152,260,574995,590057,117767,260,1167616,37.2,2122824,47.2,20.3,1165312,25.9,2143097,672400,79.8,571138,67.8,287284,272575,11168,111,1243413,147602,485576
Connecticut,2991235,83899,105405,2451693,68766,2438870,85941,1555580,43.6,1543886,54.4,974687,27.3,973654,34.3,1554735,1234600,201900,0,92321,1046302,1312893,177,399918,481937,92804,28,399707,481185,92734,28,881883,43.6,1543886,54.4,24.7,880920,31,1555580,545781,86.6,466393,74,179382,277718,9278,15,1014966,161043,474615
District of Columbia,610475,86500,105695,454034,64334,452838,78403,250917,35.6,249892,43.3,135412,19.2,135044,23.4,324675,246400,39400,0,14271,173216,266547,0,51418,66833,17141,20,51416,66475,17133,20,118271,35.6,249892,43.3,16.8,117911,20.4,250917,63597,72.8,45684,52.3,25315,19134,1227,8,136033,155746,698940
Dept of Defense,3009640,N/A,N/A,2309348,N/A,2299505,N/A,1468618,N/A,1460499,N/A,812924,N/A,811502,N/A,1601340,1252200,156100,0,45125,1043523,1220301,399,341425,429289,42210,0,341389,427915,42198,0,770714,N/A,1460499,N/A,0,769304,0,1468618,148525,0,96750,0,32912,61685,2153,0,251173,0,0
Delaware,729185,74883,94676,576112,59163,573526,74465,369664,38,367654,47.7,209192,21.5,209021,27.1,371085,310500,47600,0,19226,237374,319340,172,78486,111553,19079,74,78471,111411,19065,74,190113,38,367654,47.7,19.5,189956,24.7,369664,157358,83.3,120023,63.5,49613,64656,5710,44,279199,147798,386004
Florida,15878475,73930,92061,11912259,55463,11880159,68879,7367260,34.3,7339020,42.6,4525445,21.1,4521728,26.2,8023275,6771800,1083400,0,443708,5402069,6048958,17524,1919178,2160824,439741,5702,1918580,2157912,439534,5702,4085704,34.3,7339020,42.6,19,4082194,23.7,7367260,3593423,79.9,2804099,62.4,1393548,1293871,111946,4734,6671534,148344,353064
Federated States of Micronesia,63200,60979,78177,27360,26398,27346,33826,16745,16.2,16731,20.7,10665,10.3,10665,13.2,0,61600,1600,0,10,27350,0,0,10633,20,12,0,10633,20,12,0,10653,16.2,16731,20.7,10.3,10653,13.2,16745,1555,8.8,1112,6.3,1103,5,4,0,2638,14972,358704
Georgia,7197345,67788,88708,4667495,43961,4639493,57182,3060628,28.8,3033940,37.4,1594354,15,1592905,19.6,3629145,3144000,424200,0,102545,2223954,2340716,280,768457,724960,100757,180,768368,723766,100591,180,1493597,28.8,3033940,37.4,14.1,1492314,18.4,3060628,1089623,71.8,837414,55.2,477743,346124,13437,110,1983942,130785,474460
Guam,129900,78363,100465,100199,60445,98877,76472,64054,38.6,62762,48.5,36210,21.8,36182,28,74100,53200,2600,0,852,42440,56907,0,16811,18544,855,0,16809,18518,855,0,35355,38.6,62762,48.5,21.3,35327,27.3,64054,12926,45.9,10534,37.4,4534,5929,71,0,23557,83592,460949
Hawaii,1140130,80525,102162,834817,58961,831583,74514,510152,36,506973,45.4,345487,24.4,344796,30.9,615030,461100,64000,0,15583,295758,429716,93760,118833,192682,15930,18042,118771,192122,15878,18025,329557,36,506973,45.4,23.3,328918,29.5,510152,178066,66.3,134895,50.2,53566,76138,3782,1409,307322,114481,424712
