COVID-19 Vaccinations in the United States
Date generated: Thu Apr 15 2021 15:14:45 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,722835,98809,131052,499742,68313,490742,88973,284110,38.8,278374,50.5,225131,30.8,221822,40.2,361335,309900,51600,0,13401,223667,262602,72,95745,116753,12619,14,95596,113653,12559,14,212512,38.8,278374,50.5,29,209263,37.9,284110,69687,76.1,63791,69.6,36696,25655,1434,6,130461,142443,789225
Alabama,3493380,71247,91572,2168891,44234,2162033,56674,1426530,29.1,1420201,37.2,868550,17.7,867870,22.7,1736280,1513100,244000,0,70705,1041038,1057148,0,391060,405167,72280,43,391017,404564,72246,43,796270,29.1,1420201,37.2,16.2,795624,20.9,1426530,589146,69.3,433147,51,225188,185579,22349,31,980442,115368,411065
Arkansas,2243300,74336,96792,1508295,49980,1499248,64688,965352,32,957231,41.3,590188,19.6,588919,25.4,1088100,997300,157900,0,50848,711225,745875,347,265848,274542,49717,81,265792,273562,49485,80,540471,32,957231,41.3,17.9,539434,23.3,965352,368360,70.3,274076,52.3,157397,108617,8003,59,633743,120971,428207
American Samoa,43810,78669,100859,34786,62465,33696,77574,19632,35.3,19003,43.7,15239,27.4,14781,34,30810,12400,600,0,0,7661,27125,0,3343,11890,6,0,3334,11441,6,0,15233,35.3,19003,43.7,27.4,14775,34,19632,2333,24.6,2018,21.3,803,1214,1,0,4290,45315,462765
Arizona,5444665,74803,96563,4250790,58400,4214067,74738,2604648,35.8,2575152,45.7,1643434,22.6,1638234,29.1,2668965,2402900,372800,0,120217,1857421,2270961,2191,670674,855975,116072,713,670581,850937,116003,713,1527362,35.8,2575152,45.7,21,1522231,27,2604648,991327,75.8,761815,58.2,358798,379887,22652,478,1799851,137537,416057
Bureau of Prisons,137790,N/A,N/A,128487,N/A,128486,N/A,75510,N/A,75509,N/A,54008,N/A,54008,N/A,78390,52800,6600,0,1700,49572,77215,0,20256,32064,1688,0,20256,32064,1688,0,52320,N/A,75509,N/A,0,52320,0,75510,2850,0,2311,0,1101,1185,25,0,5167,0,0
California,30837670,78046,100719,23721226,60035,23555543,76935,15797249,40,15657869,51.1,8696655,22,8668145,28.3,15417870,13160600,2259200,0,943137,10650523,12125214,2352,3591676,4168925,935608,446,3589646,4145430,932624,445,7761047,40,15657869,51.1,19.6,7735521,25.3,15797249,4901942,84,3481703,59.6,1805568,1575551,100310,274,8351311,143048,528213
Colorado,4308370,74815,95758,3527781,61260,3499030,77770,2276754,39.5,2251366,50,1358993,23.6,1355144,30.1,2091570,1926600,290200,0,137248,1634260,1755292,981,590884,632238,135599,272,590644,629121,135107,272,1223394,39.5,2251366,50,21.2,1220037,27.1,2276754,677873,80.5,577506,68.6,289262,276011,12116,117,1254613,148931,511433
Connecticut,3201205,89788,112804,2572005,72140,2554384,90011,1629882,45.7,1613516,56.9,1040433,29.2,1039315,36.6,1684605,1296800,219800,0,112609,1078588,1380619,189,417960,509529,112909,35,417745,508708,112827,35,927524,45.7,1613516,56.9,26,926488,32.6,1629882,549408,87.2,474486,75.3,182444,281351,10675,16,1025301,162683,507931
District of Columbia,653655,92619,113171,471911,66867,470784,81510,263823,37.4,262734,45.5,147799,20.9,147492,25.5,341055,268100,44500,0,17414,179316,275181,0,54061,72201,21514,23,54058,71908,21504,22,126285,37.4,262734,45.5,17.9,125988,21.8,263823,64262,73.6,46837,53.6,25693,19664,1471,9,137635,157580,748377
Dept of Defense,3112880,N/A,N/A,2378801,N/A,2368021,N/A,1508083,N/A,1499188,N/A,848793,N/A,847222,N/A,1673880,1274600,164400,0,53543,1071925,1252934,399,353831,444334,50628,0,353795,442812,50615,0,798165,N/A,1499188,N/A,0,796607,0,1508083,150696,0,98851,0,33497,62735,2619,0,255304,0,0
Delaware,761005,78151,98807,599682,61584,596351,77429,382813,39.3,380214,49.4,222121,22.8,221900,28.8,389805,320600,50600,0,22180,243486,333840,176,81186,119041,21818,76,81171,118851,21802,76,200303,39.3,380214,49.4,20.6,200098,26,382813,158712,84,123880,65.6,50623,67183,6027,47,284300,150498,402849
Florida,16827365,78348,97562,12302529,57280,12261595,71091,7633413,35.5,7596931,44,4705146,21.9,4700975,27.3,8370765,7112800,1343800,0,509203,5463479,6311938,17909,1939237,2255312,504752,5845,1938634,2251974,504522,5845,4200394,35.5,7596931,44,19.6,4196453,24.3,7633413,3623392,80.6,2836060,63.1,1400923,1308886,121423,4828,6726137,149558,374163
Federated States of Micronesia,63200,60979,78177,28337,27341,28320,35031,17383,16.8,17367,21.5,11082,10.7,11081,13.7,0,61600,1600,0,90,28247,0,0,10970,20,92,0,10969,20,92,0,10990,16.8,17367,21.5,10.6,10989,13.6,17383,1605,9.1,1160,6.6,1130,5,25,0,2715,15410,358704
Georgia,7539135,71007,92920,5061522,47672,5024660,61929,3290515,31,3256016,40.1,1782385,16.8,1779949,21.9,3777735,3263500,497900,0,133475,2351721,2576037,289,832859,817900,131443,183,832753,815767,131246,183,1650942,31,3256016,40.1,15.5,1648703,20.3,3290515,1111273,73.3,869232,57.3,493554,358395,17173,110,2035489,134183,496992
Guam,140740,84902,108848,105497,63641,104002,80435,66748,40.3,65294,50.5,39053,23.6,39014,30.2,76440,53200,11100,0,1093,43433,60971,0,17142,20813,1098,0,17140,20776,1098,0,37955,40.3,65294,50.5,22.9,37916,29.3,66748,13115,46.5,10746,38.1,4564,6094,88,0,23941,84954,499414
Hawaii,1202300,84916,107733,881413,62252,877700,78647,533673,37.7,530132,47.5,372339,26.3,371521,33.3,639600,492800,69900,0,18945,311039,457669,93760,126997,207939,19360,18043,126929,207273,19293,18026,352979,37.7,530132,47.5,24.9,352228,31.6,533673,182509,68,144323,53.8,57736,80884,4294,1409,320663,119451,447871
Iowa,2331755,73905,96027,1970222,62446,1959370,80691,1227309,38.9,1218058,50.2,821589,26,819980,33.8,1121055,1048300,162400,0,86367,942468,941268,119,384614,351754,85184,37,384595,350201,85147,37,736405,38.9,1218058,50.2,23.3,734833,30.3,1227309,458497,82.9,397979,72,213361,177530,7060,28,852733,154214,421691
Idaho,1214365,67953,90701,917256,51328,917220,68507,552313,30.9,552248,41.2,378008,21.2,377984,28.2,598065,533200,83100,0,28924,416433,471513,386,164459,184567,28865,117,164456,184556,28855,117,349143,30.9,552248,41.2,19.5,349129,26.1,552313,215882,74.3,189244,65.1,87911,94870,6416,47,402750,138559,417781
Indian Health Svc,1642125,78842,N/A,1111526,53367,1090308,N/A,666415,32,652722,N/A,455913,21.9,448426,N/A,685425,883700,73000,0,18181,621191,472154,0,240410,197467,18036,0,240285,190131,18010,0,437877,32,652722,N/A,21,430416,0,666415,140403,0,107237,0,60860,44481,1896,0,248693,0,0
Illinois,9692575,76489,98362,7582133,59835,7539387,76511,4964094,39.2,4926429,50,2875073,22.7,2867394,29.1,4883775,4099600,709200,0,284292,3338570,3955477,3794,1205628,1383081,285079,1285,1205003,1377102,284006,1283,2589994,39.2,4926429,50,20.4,2583388,26.2,4964094,1635090,80,1158729,56.7,536672,577138,44105,814,2749395,134561,474375
Indiana,4640750,68933,89863,3443028,51143,3430519,66428,2109358,31.3,2098813,40.6,1419782,21.1,1418981,27.5,2318550,1984900,337300,0,120314,1469617,1847410,5687,572124,726555,119192,1911,572081,725858,119131,1911,1300590,31.3,2098813,40.6,19.3,1299850,25.2,2109358,822590,75.8,727324,67,368189,343106,14720,1309,1556920,143397,427426
Kansas,2225795,76401,100575,1688602,57962,1678305,75836,1115228,38.3,1105096,49.9,689812,23.7,688226,31.1,1064895,1017800,143100,0,51420,802483,834217,482,319469,318210,51999,134,319433,316693,51966,134,637813,38.3,1105096,49.9,21.9,636260,28.8,1115228,405331,85.2,318271,66.9,154918,153543,9733,77,693876,145930,468108
Kentucky,3298245,73825,95193,2653617,59396,2639998,76195,1656702,37.1,1645760,47.5,1111018,24.9,1108900,32,1659645,1417100,221500,0,103204,1203231,1346945,237,473929,536194,100729,166,473886,534169,100680,165,1010289,37.1,1645760,47.5,22.6,1008220,29.1,1656702,582175,77.6,464277,61.9,205785,234037,24350,105,1005540,133971,439436
Louisiana,3421430,73598,96076,2355526,50670,2345669,65868,1397631,30.1,1389369,39,991200,21.3,989707,27.8,1714830,1484200,222400,0,86930,1060133,1207520,943,394647,512642,83451,460,394600,511260,83388,459,907749,30.1,1389369,39,19.5,906319,25.5,1397631,538338,72.6,466219,62.9,211375,239395,15359,90,1010557,136373,461718
Massachusetts,5610090,81394,101271,4800301,69645,4769891,86104,3124643,45.3,3098484,55.9,1849210,26.8,1844494,33.3,2796690,2437400,376000,0,198033,2157249,2444951,68,801671,848870,198656,13,801421,844943,198117,13,1650554,45.3,3098484,55.9,23.9,1646377,29.7,3124643,1027508,87.9,806724,69,368074,387187,51454,9,1782388,152428,479769
Maryland,4640710,76761,98508,3765018,62276,3743116,79455,2427307,40.1,2408894,51.1,1534499,25.4,1531231,32.5,2366910,1962200,311600,0,179635,1657980,1925110,2293,632502,727558,173802,637,632434,724439,173721,637,1360697,40.1,2408894,51.1,22.5,1357510,28.8,2427307,774319,80.7,625637,65.2,299327,288011,37997,302,1346281,140326,483712
Maine,1074270,79918,98074,947441,70483,944831,86257,616642,45.9,614272,56.1,404943,30.1,404661,36.9,512070,482000,80200,0,66415,421579,459364,83,164175,174299,66447,22,164151,174063,66425,22,338496,45.9,614272,56.1,25.2,338236,30.9,616642,252248,88.4,213923,75,92657,104155,17102,9,446741,156606,376587
Marshall Islands,51300,87823,112594,23445,40137,23402,51363,13451,23,13415,29.4,9952,17,9943,21.8,0,40500,10800,0,3,23442,0,0,9944,2,6,0,9935,2,6,0,9946,23,13415,29.4,17,9937,21.8,13451,875,8.8,665,6.7,663,0,2,0,1540,15509,516616
Michigan,7643000,76531,97451,5697977,57055,5667371,72261,3609519,36.1,3580403,45.7,2369798,23.7,2367519,30.2,3841500,3280800,520700,0,215407,2528600,2952745,1225,1000655,1149106,219573,464,1000545,1147051,219459,464,2150225,36.1,3580403,45.7,21.5,2148060,27.4,3609519,1331044,75.4,1146933,65,571156,532087,43370,320,2408117,136406,432933
Minnesota,4033140,71514,93005,3543372,62830,3523826,81260,2254554,40,2237608,51.6,1496432,26.5,1493508,34.4,2034240,1731300,267600,0,185923,1547261,1809968,220,596452,711691,188233,56,596385,708957,188110,56,1308199,40,2237608,51.6,23.2,1305398,30.1,2254554,782135,85,687941,74.7,290295,360318,37305,23,1415979,153847,438203
Missouri,4443455,72399,93216,3263224,53169,3249913,68177,1976497,32.2,1965940,41.2,1295767,21.1,1294078,27.1,2283255,1884100,276100,0,105323,1316509,1841058,334,497961,691524,106233,49,497889,689988,106153,48,1189534,32.2,1965940,41.2,19.4,1187925,24.9,1976497,761960,71.7,613692,57.8,280663,310152,22856,21,1391539,131025,418390
Northern Mariana Islands,62910,110597,141791,33791,59405,33439,75367,19445,34.2,19123,43.1,14384,25.3,14354,32.4,42510,17800,2600,0,43,4370,29378,0,1931,12406,47,0,1931,12376,47,0,14337,34.2,19123,43.1,25.2,14307,32.2,19445,2324,24,2206,22.8,329,1838,39,0,4493,46463,650569
Mississippi,2119115,71203,93043,1392708,46796,1388317,60956,844054,28.4,840259,36.9,588887,19.8,588271,25.8,1013415,954700,151000,0,43051,680829,667972,856,279898,266872,42098,19,279865,266319,42068,19,546789,28.4,840259,36.9,18.4,546203,24,844054,337974,69.4,274184,56.3,145284,117276,11619,5,595351,122326,435411
Montana,856275,80117,101914,643288,60189,638658,76014,392616,36.7,388918,46.3,269683,25.2,268772,32,406575,388600,61100,0,20215,313867,309048,158,127659,122058,19919,47,127623,121193,19909,47,249764,36.7,388918,46.3,23.4,248863,29.6,392616,155362,75.3,129666,62.8,62669,62072,4898,27,278788,135047,414788
North Carolina,7783060,74209,95062,5844600,55726,5803679,70886,3642553,34.7,3608355,44.1,2355104,22.5,2347839,28.7,3983460,3255700,543900,0,226914,2468564,3148793,329,912667,1218939,223471,27,912257,1212841,222714,27,2131633,34.7,3608355,44.1,20.3,2125125,26,3642553,1307657,74.7,1105615,63.1,520136,561065,24393,21,2435562,139088,444468
