COVID-19 Vaccinations in the United States
Date generated: Fri Apr 16 2021 15:15:08 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,729305,99694,132225,499815,68323,490815,88986,284193,38.8,278455,50.5,225221,30.8,221912,40.2,362505,315200,51600,0,13403,223723,262617,72,95800,116780,12627,14,95651,113680,12567,14,212594,38.8,278455,50.5,29.1,209345,38,284193,69695,76.1,63805,69.7,36702,25661,1436,6,130466,142449,796289
Alabama,3516420,71717,92176,2207392,45020,2200031,57670,1442051,29.4,1435345,37.6,893002,18.2,892187,23.4,1738620,1533800,244000,0,71063,1057002,1079327,0,399647,420657,72655,43,399602,419920,72622,43,820347,29.4,1435345,37.6,16.7,819565,21.5,1442051,591916,69.7,439484,51.7,228811,188229,22413,31,989344,116416,413776
Arkansas,2251270,74600,97136,1535135,50869,1525507,65821,978137,32.4,969532,41.8,606113,20.1,604732,26.1,1089270,1004100,157900,0,52739,722263,759770,363,272643,281818,51567,85,272582,280744,51322,84,554546,32.4,969532,41.8,18.4,553410,23.9,978137,370448,70.7,278819,53.2,159598,110829,8330,62,640311,122224,429728
American Samoa,43810,78669,100859,34786,62465,33696,77574,19633,35.3,19004,43.8,15239,27.4,14781,34,30810,12400,600,0,0,7661,27125,0,3343,11890,6,0,3334,11441,6,0,15233,35.3,19004,43.8,27.4,14775,34,19633,2333,24.6,2018,21.3,803,1214,1,0,4290,45315,462765
Arizona,5476875,75245,97134,4306602,59167,4268565,75704,2635334,36.2,2604837,46.2,1670496,23,1665014,29.5,2672475,2431600,372800,0,123541,1879896,2300920,2245,681096,869344,119324,732,681002,864026,119254,732,1551172,36.2,2604837,46.2,21.3,1545760,27.4,2635334,995686,76.1,768351,58.7,362496,382083,23282,490,1810649,138362,418519
Bureau of Prisons,137790,N/A,N/A,128630,N/A,128629,N/A,75587,N/A,75586,N/A,54074,N/A,54074,N/A,78390,52800,6600,0,1700,49645,77285,0,20278,32108,1688,0,20278,32108,1688,0,52386,N/A,75586,N/A,0,52386,0,75587,2850,0,2311,0,1101,1185,25,0,5167,0,0
California,31427050,79538,102644,24242205,61354,24062818,78592,16125197,40.8,15975063,52.2,8959332,22.7,8927488,29.2,15715050,13452800,2259200,0,1014933,10821688,12403172,2412,3670826,4281191,1006850,465,3668656,4254890,1003478,464,7952482,40.8,15975063,52.2,20.1,7924010,25.9,16125197,4921967,84.3,3506971,60.1,1818123,1583971,104600,277,8392707,143757,538308
Colorado,4417200,76704,98177,3583563,62228,3551749,78941,2312508,40.2,2284609,50.8,1379177,23.9,1374764,30.6,2184000,1943000,290200,0,137811,1656177,1788569,1006,599211,643476,136205,285,598953,639816,135710,285,1242972,40.2,2284609,50.8,21.6,1239054,27.5,2312508,679240,80.6,579624,68.8,290529,276814,12159,122,1258136,149349,524352
Connecticut,3247275,91080,114427,2612551,73277,2593463,91388,1654786,46.4,1636976,57.7,1058759,29.7,1057621,37.3,1685775,1341700,219800,0,115348,1092230,1404777,196,424392,518720,115610,37,424173,517885,115526,37,943149,46.4,1636976,57.7,26.5,942095,33.2,1654786,550763,87.4,476976,75.7,183504,282575,10880,17,1028933,163259,515241
District of Columbia,662395,93857,114684,481913,68284,480638,83216,270051,38.3,268861,46.5,153091,21.7,152723,26.4,343395,274500,44500,0,18651,182106,281156,0,55116,75237,22715,23,55113,74884,22704,22,130376,38.3,268861,46.5,18.5,130019,22.5,270051,64508,73.9,47345,54.2,25832,19978,1526,9,138378,158431,758384
