COVID-19 Vaccinations in the United States
Date generated: Wed Apr 21 2021 15:15:06 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,746805,102086,135398,519030,70950,508808,92249,291921,39.9,285593,51.8,236706,32.4,232768,42.2,374205,321000,51600,0,13601,232482,272875,72,101770,122127,12795,14,101587,118432,12735,14,223911,39.9,285593,51.8,30.6,220033,39.9,291921,70235,76.7,64663,70.6,37216,25995,1446,6,131787,143891,815396
Alabama,3761730,76720,98607,2327764,47475,2319010,60789,1494421,30.5,1486650,39,966251,19.7,965053,25.3,1894230,1623500,244000,0,72132,1111444,1144188,0,429613,462817,73775,46,429560,461705,73742,46,892476,30.5,1486650,39,18.2,891311,23.4,1494421,600741,70.7,457214,53.8,239396,194997,22789,32,1014918,119425,442641
Arkansas,2402760,79619,103672,1624969,53846,1613178,69604,1015859,33.7,1005619,43.4,658933,21.8,657018,28.3,1179360,1065500,157900,0,53821,765752,805013,383,299292,306934,52618,89,299202,305361,52368,87,606315,33.7,1005619,43.4,20.1,604650,26.1,1015859,375691,71.7,287950,55,166030,113332,8527,61,654675,124966,458645
American Samoa,43810,78669,100859,35972,64594,34845,80220,20255,36.4,19601,45.1,15811,28.4,15341,35.3,30810,12400,600,0,0,8019,27953,0,3534,12271,6,0,3525,11810,6,0,15805,36.4,19601,45.1,28.4,15335,35.3,20255,2358,24.9,2050,21.7,814,1235,1,0,4344,45886,462765
Arizona,5872195,80676,104145,4581441,62943,4535331,80435,2758177,37.9,2723341,48.3,1822140,25,1812989,32.2,3018795,2480600,372800,0,128513,2005263,2445239,2426,746568,950627,124146,799,746460,941658,124072,799,1697994,37.9,2723341,48.3,23.3,1688917,30,2758177,1010076,77.2,799398,61.1,383802,391233,23832,531,1857762,141962,448727
Bureau of Prisons,147740,N/A,N/A,133391,N/A,133390,N/A,78321,N/A,78320,N/A,56129,N/A,56129,N/A,84240,56900,6600,0,1737,51742,79912,0,21183,33221,1725,0,21183,33221,1725,0,54404,N/A,78320,N/A,0,54404,0,78321,2912,0,2372,0,1129,1213,30,0,5286,0,0
California,33776490,85484,110317,26689222,67547,26421826,86296,17416579,44.1,17194219,56.2,10155836,25.7,10108098,33,17343690,14173500,2259300,0,1064778,11850070,13771632,2742,4222048,4877186,1056048,554,4218872,4836217,1052456,553,9099788,44.1,17194219,56.2,23,9055642,29.6,17416579,4997566,85.6,3708199,63.5,1929441,1668471,109973,314,8666603,148449,578551
Colorado,4679750,81263,104013,3890828,67564,3847536,85516,2466259,42.8,2428789,54,1535815,26.7,1529458,34,2377050,2012500,290200,0,142825,1777207,1969750,1046,664368,730091,141064,292,663980,724663,140523,292,1394751,42.8,2428789,54,24.2,1388935,30.9,2466259,686398,81.5,591723,70.2,297459,281619,12521,124,1277262,151620,555518
Connecticut,3500125,98172,123337,2834601,79506,2807380,98926,1776427,49.8,1750710,61.7,1159600,32.5,1158298,40.8,1867125,1413200,219800,0,116716,1182219,1535450,216,466748,575856,116951,45,466513,574875,116865,45,1042649,49.8,1750710,61.7,29.2,1041433,36.7,1776427,557072,88.4,489801,77.7,190626,288190,10968,17,1048066,166295,555360
District of Columbia,715305,101354,123845,525165,74412,523681,90668,297607,42.2,296116,51.3,170538,24.2,170138,29.5,382005,288800,44500,0,19874,200738,304551,2,61109,85563,23838,28,61104,85184,23823,27,146700,42.2,296116,51.3,20.8,146315,25.3,297607,65684,75.2,49118,56.2,26800,20736,1573,9,141469,161969,818961
Dept of Defense,3295730,N/A,N/A,2585082,N/A,2570935,N/A,1626059,N/A,1614384,N/A,943158,N/A,941006,N/A,1749930,1381400,164400,0,61928,1158084,1364671,399,391402,492743,59013,0,391364,490645,58997,0,884145,N/A,1614384,N/A,0,882009,0,1626059,156099,0,104185,0,36003,65342,2840,0,265948,0,0
Delaware,841985,86467,109321,662401,68025,657221,85332,411326,42.2,407581,52.9,256292,26.3,255616,33.2,441285,350100,50600,0,25007,265117,372094,183,91900,139750,24562,80,91884,139109,24543,80,231730,42.2,407581,52.9,23.8,231073,30,411326,161843,85.7,131041,69.4,53440,71182,6369,50,294477,155885,445716
Florida,18488235,86081,107192,13486553,62793,13423364,77826,8254998,38.4,8198064,47.5,5255230,24.5,5249482,30.4,9518535,7625900,1343800,0,527015,5918921,7020541,20076,2153808,2572953,521913,6556,2153191,2568074,521661,6556,4733317,38.4,8198064,47.5,22,4727821,27.4,8254998,3694378,82.1,2960582,65.8,1471016,1359212,125020,5334,6928160,154050,411093
Federated States of Micronesia,63200,60979,78177,30250,29187,30233,37398,18759,18.1,18743,23.2,11641,11.2,11640,14.4,0,61600,1600,0,95,30155,0,0,11522,21,98,0,11521,21,98,0,11543,18.1,18743,23.2,11.1,11542,14.3,18759,1703,9.7,1192,6.8,1160,5,27,0,2842,16130,358704
Georgia,8266105,77854,101880,5583537,52588,5536121,68233,3485265,32.8,3443774,42.4,2101212,19.8,2095194,25.8,4246905,3521300,497900,0,137267,2549634,2896336,300,958745,1007465,134799,203,958612,1001777,134602,203,1966413,32.8,3443774,42.4,18.5,1960592,24.2,3485265,1130655,74.5,906854,59.8,513145,376047,17539,123,2098846,138359,544915
Guam,140740,84902,108848,114836,69275,112835,87267,70588,42.6,68851,53.2,44660,26.9,44397,34.3,76440,53200,11100,0,1194,45425,68217,0,18176,25285,1199,0,18174,25024,1199,0,43461,42.6,68851,53.2,26.2,43198,33.4,70588,13334,47.3,11180,39.7,4728,6356,96,0,24580,87222,499414
Hawaii,1301260,91905,116600,1075745,75978,1069758,95856,658218,46.5,652839,58.5,440199,31.1,438983,39.3,707460,523800,70000,0,19395,367909,594681,93760,147904,254404,19832,18059,147812,253364,19765,18042,420367,46.5,652839,58.5,29.7,419218,37.6,658218,219582,81.8,171122,63.7,67941,97415,4357,1409,385011,143421,484734
Iowa,2538095,80445,104525,2132028,67575,2117521,87204,1301823,41.3,1289550,53.1,910781,28.9,908594,37.4,1263795,1111900,162400,0,89887,1005518,1036504,119,421475,400595,88670,41,421439,398485,88629,41,822111,41.3,1289550,53.1,26.1,819965,33.8,1301823,463872,83.9,413874,74.8,222772,183784,7287,31,874232,158102,459007
Idaho,1327455,74281,99148,984868,55111,984831,73557,576960,32.3,576882,43.1,420663,23.5,420637,31.4,676455,567900,83100,0,29886,442972,511588,422,181575,209147,29808,133,181572,209134,29798,133,390855,32.3,576882,43.1,21.9,390839,29.2,576960,218482,75.2,195470,67.2,91148,97728,6537,57,412165,141798,456688
Indian Health Svc,1657885,79598,N/A,1164071,55889,1140361,N/A,686822,33,671901,N/A,488886,23.5,480134,N/A,694785,890100,73000,0,19089,649726,495256,0,259697,210245,18944,0,259562,201657,18915,0,469942,33,671901,N/A,22.6,461219,0,686822,142250,0,110416,0,62984,45419,2013,0,253612,0,0
Illinois,10494045,82814,106496,8371979,66068,8301223,84243,5378495,42.4,5315002,53.9,3275474,25.8,3264346,33.1,5434845,4350000,709200,0,300434,3638029,4429312,4204,1358871,1614011,301177,1415,1357961,1604986,299986,1413,2974297,42.4,5315002,53.9,23.5,2964360,30.1,5378495,1672157,81.8,1249054,61.1,581386,621234,45544,890,2875749,140745,513600
Indiana,4962550,73713,96094,3726846,55358,3707808,71798,2256735,33.5,2240789,43.4,1552343,23.1,1551266,30,2552550,2072700,337300,0,123817,1587863,2008671,6495,626304,801278,122607,2154,626255,800315,122543,2153,1429736,33.5,2240789,43.4,21.2,1428723,27.7,2256735,833879,76.8,748752,69,377393,354850,15050,1459,1590336,146474,457065
Kansas,2370335,81362,107106,1831938,62882,1819038,82195,1177349,40.4,1164906,52.6,782301,26.9,779903,35.2,1160835,1066400,143100,0,56042,857629,917782,485,354648,370925,56593,135,354608,368602,56558,135,725708,40.4,1164906,52.6,24.9,723345,32.7,1177349,411403,86.5,331973,69.8,161899,159667,10330,77,713445,150045,498507
Kentucky,3587075,80290,103529,2877497,64407,2858657,82506,1741879,39,1727113,49.8,1249544,28,1245999,36,1833975,1531600,221500,0,105577,1305177,1466477,266,538424,607909,103019,192,538365,604473,102970,191,1146525,39,1727113,49.8,25.7,1143029,33,1741879,592506,78.9,492728,65.6,221586,246213,24811,118,1044185,139120,477917
Louisiana,3543970,76234,99517,2517042,54144,2504598,70331,1445842,31.1,1436319,40.3,1102477,23.7,1099669,30.9,1799070,1522500,222400,0,89283,1146820,1279987,952,456041,560326,85645,465,455979,557650,85576,464,1016832,31.1,1436319,40.3,21.9,1014093,28.5,1445842,544277,73.4,484444,65.4,223783,244902,15667,92,1034984,139670,478254
