COVID-19 Vaccinations in the United States
Date generated: Sat Apr 24 2021 15:14:42 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,756585,103423,137171,533546,72934,522504,94732,298047,40.7,291288,52.8,244728,33.5,240404,43.6,378885,326100,51600,0,13741,238752,280978,75,105991,125891,12830,16,105784,121834,12770,16,231898,40.7,291288,52.8,31.7,227634,41.3,298047,70676,77.2,65237,71.2,37532,26249,1449,7,132791,144987,826074
Alabama,3898820,79516,102200,2429629,49552,2419653,63427,1531741,31.2,1523168,39.9,1033996,21.1,1032363,27.1,1949220,1705600,244000,0,72509,1157043,1200077,0,458296,501463,74189,48,458238,499922,74155,48,959807,31.2,1523168,39.9,19.6,958208,25.1,1531741,607452,71.5,472480,55.6,248095,201496,22855,34,1036470,121961,458773
Arkansas,2552980,84597,110154,1688238,55943,1674102,72233,1039897,34.5,1027885,44.4,698740,23.2,696253,30,1268280,1126800,157900,0,54441,795123,838245,429,317590,327890,53155,105,317459,325785,52906,103,645585,34.5,1027885,44.4,21.4,643347,27.8,1039897,379277,72.4,296034,56.5,170183,117178,8600,73,666415,127207,487320
American Samoa,47010,84415,108226,37231,66855,36020,82925,20901,37.5,20202,46.5,16454,29.5,15945,36.7,30810,15600,600,0,22,8448,28761,0,3748,12678,28,0,3738,12179,28,0,16426,37.5,20202,46.5,29.5,15917,36.6,20901,2422,25.6,2131,22.5,866,1259,6,0,4481,47333,496567
Arizona,6236505,85681,110606,4750108,65260,4697744,83316,2832476,38.9,2795028,49.6,1918341,26.4,1905629,33.8,3151005,2712700,372800,0,132494,2078852,2536128,2634,785651,1003808,128015,867,785523,991305,127934,867,1790326,38.9,2795028,49.6,24.6,1777695,31.5,2832476,1019218,77.9,813683,62.2,394340,394420,24346,577,1881682,143790,476566
Bureau of Prisons,147940,N/A,N/A,139857,N/A,139856,N/A,81663,N/A,81662,N/A,59234,N/A,59234,N/A,84240,57100,6600,0,1739,54734,83384,0,22541,34966,1727,0,22541,34966,1727,0,57507,N/A,81662,N/A,0,57507,0,81663,2960,0,2475,0,1187,1258,30,0,5437,0,0
California,35512950,89878,115989,27727113,70174,27412777,89533,17946815,45.4,17686931,57.8,10667085,27,10609875,34.7,18148650,15105000,2259300,0,1069097,12311691,14343357,2968,4480045,5126043,1060374,623,4476200,5076305,1056748,622,9606711,45.4,17686931,57.8,24.3,9553127,31.2,17946815,5024173,86.1,3759997,64.4,1958666,1690593,110394,344,8745530,149801,608295
Colorado,4923030,85488,109420,4068389,70647,4019211,89331,2541410,44.1,2499548,55.6,1636956,28.4,1629119,36.2,2487030,2145800,290200,0,143196,1861913,2062196,1084,716349,778879,141422,306,715848,772086,140879,306,1495534,44.1,2499548,55.6,26,1488240,33.1,2541410,690844,82,597671,70.9,300922,284071,12549,129,1287920,152885,584397
Connecticut,3686495,103400,129905,2957181,82944,2926437,103122,1835971,51.5,1806953,63.7,1223146,34.3,1221667,43,1950195,1516500,219800,0,118515,1230876,1607554,236,491815,612620,118658,53,491570,611482,118562,53,1104488,51.5,1806953,63.7,31,1103105,38.9,1835971,560837,89,497454,78.9,194439,291916,11081,18,1059399,168093,584931
District of Columbia,777625,110184,134635,548808,77762,547153,94732,310555,44,308857,53.5,182609,25.9,182118,31.5,424125,309000,44500,0,20230,211250,317326,2,65273,93191,24117,28,65268,92721,24102,27,158492,44,308857,53.5,22.5,158016,27.4,310555,66200,75.8,50303,57.6,27591,21092,1611,9,143252,164011,890312
