COVID-19 Vaccinations in the United States
Date generated: Tue Apr 27 2021 15:15:38 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,759125,103770,137632,540565,73894,529135,95934,300706,41.1,293755,53.3,249036,34,244517,44.3,381225,326300,51600,0,13780,242544,284164,77,108610,127538,12872,16,108384,123305,12812,16,236164,41.1,293755,53.3,32.3,231705,42,300706,70926,77.4,65599,71.6,37753,26381,1457,8,133377,145627,828848
Alabama,3960530,80775,103818,2478227,50543,2467417,64679,1549782,31.6,1540681,40.4,1066659,21.8,1064703,27.9,1976130,1740400,244000,0,72551,1179422,1226254,0,472322,520042,74243,52,472256,518186,74209,52,992416,31.6,1540681,40.4,20.2,990494,26,1549782,610129,71.8,479207,56.4,251905,204392,22876,34,1045566,123031,466034
Arkansas,2586420,85705,111597,1734405,57472,1718499,74148,1053861,34.9,1041200,44.9,730955,24.2,727353,31.4,1282320,1146200,157900,0,54579,815100,864294,432,331474,346124,53251,106,331312,342935,53002,104,677704,34.9,1041200,44.9,22.5,674351,29.1,1053861,380982,72.7,300533,57.4,172842,119000,8617,74,672663,128400,493703
American Samoa,47010,84415,108226,37590,67500,36362,83712,21165,38,20453,47.1,16557,29.7,16044,36.9,30810,15600,600,0,22,8581,28987,0,3776,12753,28,0,3766,12250,28,0,16529,38,20453,47.1,29.7,16016,36.9,21165,2427,25.6,2133,22.5,867,1260,6,0,4489,47417,496567
Arizona,6285415,86353,111474,4912269,67488,4852926,86068,2900707,39.9,2860362,50.7,2009937,27.6,1993234,35.4,3177915,2734700,372800,0,133141,2150385,2625986,2757,823606,1056804,128618,909,823463,1040328,128534,909,1881319,39.9,2860362,50.7,25.8,1864700,33.1,2900707,1026929,78.5,824665,63,402215,397356,24489,605,1901094,145273,480304
Bureau of Prisons,147940,N/A,N/A,142526,N/A,142525,N/A,83085,N/A,83084,N/A,60470,N/A,60470,N/A,84240,57100,6600,0,1739,56066,84721,0,23240,35503,1727,0,23240,35503,1727,0,58743,N/A,83084,N/A,0,58743,0,83085,2988,0,2528,0,1236,1262,30,0,5518,0,0
California,36101260,91367,117910,29151065,73777,28770751,93968,18667924,47.2,18356860,60,11373056,28.8,11301224,36.9,18526560,15315400,2259300,0,1080021,12896049,15171808,3187,4781862,5519409,1071095,690,4777148,5455956,1067431,689,10301961,47.2,18356860,60,26.1,10233793,33.4,18667924,5060901,86.7,3823135,65.5,1992733,1718675,111366,361,8845806,151518,618372
Colorado,4968480,86277,110430,4241020,73645,4186366,93047,2604683,45.2,2559342,56.9,1745232,30.3,1735404,38.6,2516280,2162000,290200,0,143441,1933956,2162515,1108,762637,840647,141632,316,762025,831976,141087,316,1603600,45.2,2559342,56.9,27.8,1594317,35.4,2604683,694332,82.4,602388,71.5,303250,286445,12557,136,1296207,153869,589792
Connecticut,3716115,104230,130948,3094177,86786,3056741,107713,1897401,53.2,1863315,65.7,1298869,36.4,1295891,45.7,1968915,1527400,219800,0,119771,1283845,1690314,247,520186,658743,119886,54,519928,656121,119788,54,1178983,53.2,1863315,65.7,33.1,1176103,41.4,1897401,564457,89.6,503695,79.9,197528,294924,11225,18,1069186,169646,589631
District of Columbia,780595,110605,135149,576507,81687,574446,99457,324137,45.9,322127,55.8,196859,27.9,196182,34,425295,310800,44500,0,20410,223722,332351,24,71368,101234,24228,29,71360,100581,24213,28,172631,45.9,322127,55.8,24.5,171969,29.8,324137,66758,76.4,51275,58.7,28224,21416,1626,9,144881,165876,893712
