COVID-19 Vaccinations in the United States
Date generated: Tue May 04 2021 15:11:40 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,769205,105148,139459,562875,76943,549952,99708,308656,42.2,301220,54.6,263603,36,258075,46.8,385905,330100,53200,0,14879,251742,296177,77,114532,135253,13799,19,114273,130047,13736,19,249804,42.2,301220,54.6,34.1,244339,44.3,308656,71536,78.1,66563,72.7,38197,26795,1561,10,134838,147222,839853
Alabama,4130550,84242,108275,2627322,53584,2613542,68509,1603454,32.7,1593049,41.8,1168235,23.8,1164570,30.5,2065050,1815200,250300,0,75014,1254720,1297588,0,520934,570476,76765,60,520843,566938,76729,60,1091470,32.7,1593049,41.8,22.3,1087841,28.5,1603454,620001,73,502457,59.1,265233,213660,23525,39,1077701,126813,486040
Arkansas,2644650,87635,114109,1829914,60637,1810156,78103,1083702,35.9,1069551,46.1,792348,26.3,786390,33.9,1316250,1168200,160200,0,55522,863725,910213,454,360666,377355,54220,107,360408,371914,53963,105,738128,35.9,1069551,46.1,24.5,732427,31.6,1083702,385044,73.5,309907,59.2,178466,122577,8790,74,688004,131328,504818
American Samoa,54030,97021,124387,38743,69570,37454,86226,21732,39,20984,48.3,17142,30.8,16604,38.2,37830,15600,600,0,22,8710,30011,0,3808,13305,29,0,3798,12777,29,0,17113,39,20984,48.3,30.7,16575,38.2,21732,2456,25.9,2163,22.8,867,1290,6,0,4548,48041,570719
Arizona,6652295,91394,117980,5176775,71122,5106032,90557,3004111,41.3,2959389,52.5,2171573,29.8,2147963,38.1,3358095,2912700,381500,0,139122,2269556,2764992,3105,890849,1145450,134250,1024,890691,1122087,134162,1023,2037323,41.3,2959389,52.5,28,2013801,35.7,3004111,1039575,79.4,844592,64.5,413921,404349,25649,673,1933976,147786,508339
Bureau of Prisons,158890,N/A,N/A,154081,N/A,154080,N/A,87100,N/A,87099,N/A,69013,N/A,69013,N/A,90090,61500,7300,0,2786,59987,91308,0,25019,41222,2772,0,25019,41222,2772,0,66241,N/A,87099,N/A,0,66241,0,87100,3033,0,2674,0,1281,1352,41,0,5699,0,0
California,39630080,100298,129436,31382140,79424,30895161,100907,19673364,49.8,19289877,63,12626301,32,12519941,40.9,20545980,16706600,2377500,0,1114572,13804150,16459849,3569,5316673,6203726,1105090,812,5310319,6107611,1101201,810,11521211,49.8,19289877,63,29.2,11418740,37.3,19673364,5122896,87.7,3917851,67.1,2043689,1758650,115113,399,9001279,154181,678816
Colorado,5425720,94217,120593,4571001,79375,4500263,100023,2714585,47.1,2662628,59.2,1948978,33.8,1929691,42.9,2799420,2333800,292500,0,147192,2059539,2363082,1188,843453,959893,145296,336,842563,942068,144726,334,1803682,47.1,2662628,59.2,31.3,1784965,39.7,2714585,701618,83.3,612339,72.7,308036,291071,13085,147,1322881,157035,644070
Connecticut,3915915,109834,137989,3321709,93168,3269562,115213,1990235,55.8,1948157,68.6,1437969,40.3,1428645,50.3,2074215,1611700,230000,0,125668,1359415,1836367,259,563798,748381,125732,58,563526,739436,125625,58,1312237,55.8,1948157,68.6,36.8,1303020,45.9,1990235,571358,90.7,513689,81.5,202296,299363,12010,20,1085405,172220,621333
District of Columbia,864815,122539,149731,620186,87876,617633,106934,346567,49.1,344079,59.6,219876,31.2,219083,37.9,479115,339600,46100,0,20920,242063,357166,37,79539,115608,24698,31,79529,114842,24683,29,195178,49.1,344079,59.6,27.7,194400,33.7,346567,67919,77.8,52612,60.2,28916,22042,1645,9,147556,168939,990137
