COVID-19 Vaccinations in the United States
Date generated: Fri May 07 2021 15:11:20 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,776005,106078,140692,567031,77511,553872,100419,310415,42.4,302911,54.9,265869,36.3,260171,47.2,385905,335600,54500,0,15262,253628,298062,79,115495,136269,14086,19,115234,130898,14020,19,251783,42.4,302911,54.9,34.4,246151,44.6,310415,71684,78.3,66733,72.9,38268,26857,1598,10,135113,147523,847278
Alabama,4225140,86171,110754,2673181,54519,2658349,69684,1619783,33,1609043,42.2,1201303,24.5,1196913,31.4,2080260,1883680,261200,0,76854,1278849,1317478,0,537922,584657,78660,64,537818,580407,78624,64,1122643,33,1609043,42.2,22.9,1118289,29.3,1619783,623086,73.3,509173,59.9,269254,215910,23968,41,1086952,127901,497171
Arkansas,2659090,88113,114732,1860521,61651,1839191,79356,1094338,36.3,1079580,46.6,813144,26.9,806234,34.8,1316250,1180240,162600,0,56502,876693,926853,473,369663,388181,55189,111,369329,381870,54926,109,757955,36.3,1079580,46.6,25.1,751308,32.4,1094338,386450,73.8,312488,59.6,179917,123585,8910,76,691939,132079,507574
American Samoa,54030,97021,124387,39268,70513,37947,87361,22002,39.5,21235,48.9,17399,31.2,16848,38.8,37830,15600,600,0,22,8878,30368,0,3860,13510,29,0,3850,12969,29,0,17370,39.5,21235,48.9,31.2,16819,38.7,22002,2470,26.1,2178,23,874,1298,6,0,4577,48347,570719
Arizona,6970425,95764,123622,5259733,72262,5185677,91969,3037050,41.7,2991032,53,2222457,30.5,2196850,39,3567525,3000100,402800,0,141937,2308604,2805936,3256,914483,1169967,136932,1075,914315,1144620,136841,1074,2085525,41.7,2991032,53,28.7,2060009,36.5,3037050,1043851,79.8,851633,65.1,418211,406445,26280,697,1945344,148655,532649
Bureau of Prisons,169240,N/A,N/A,158313,N/A,158312,N/A,89447,N/A,89446,N/A,71067,N/A,71067,N/A,95940,65900,7400,0,2964,61301,94048,0,25683,42434,2950,0,25683,42434,2950,0,68117,N/A,89446,N/A,0,68117,0,89447,3073,0,2701,0,1286,1372,43,0,5765,0,0
California,41020990,103818,133979,31997303,80981,31479388,102815,19913673,50.4,19513737,63.7,13017480,32.9,12896511,42.1,21300630,17269560,2450800,0,1131506,14020123,16841957,3717,5456675,6437988,1121948,869,5449861,6327815,1117970,865,11895532,50.4,19513737,63.7,30.1,11778541,38.5,19913673,5139668,88,3943396,67.5,2055188,1770652,117134,422,9042241,154883,702641
Colorado,5772220,100234,128294,4711738,81819,4633524,102985,2760181,47.9,2704671,60.1,2045903,35.5,2022702,45,2998320,2465800,308100,0,151391,2107291,2451816,1240,875648,1020505,149401,349,874601,998951,148806,344,1896502,47.9,2704671,60.1,32.9,1873896,41.6,2760181,704809,83.7,617287,73.3,310123,293545,13467,152,1330986,157997,685202
Connecticut,4021155,112786,141697,3398443,95320,3341073,117733,2014587,56.5,1970827,69.4,1493571,41.9,1480762,52.2,2144415,1644140,232600,0,128988,1380322,1888864,269,577458,787002,129051,60,577185,774575,128943,59,1364520,56.5,1970827,69.4,38.3,1351819,47.6,2014587,573583,91,517422,82.1,203338,301418,12646,20,1090799,173076,638031
District of Columbia,904745,128196,156644,631309,89452,628675,108846,350697,49.7,348138,60.3,227589,32.2,226747,39.3,494325,361120,49300,0,21084,247572,362614,39,82669,119971,24918,31,82658,119157,24903,29,202671,49.7,348138,60.3,28.7,201844,34.9,350697,68297,78.2,53059,60.7,29151,22224,1675,9,148452,169964,1035850
