COVID-19 Vaccinations in the United States
Date generated: Sat May 08 2021 15:11:09 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,777445,106274,140953,569040,77786,555778,100764,311397,42.6,303853,55.1,266960,36.5,261198,47.4,385905,337040,54500,0,15449,254391,299117,83,115899,136787,14253,21,115635,131356,14186,21,252707,42.6,303853,55.1,34.5,247012,44.8,311397,71772,78.4,66835,73,38314,26890,1619,12,135246,147668,848850
Alabama,4241420,86503,111181,2726356,55604,2710039,71039,1636710,33.4,1625574,42.6,1240335,25.3,1234847,32.4,2080260,1899660,261500,0,78557,1304459,1343340,0,555697,604149,80424,65,555573,598821,80388,65,1159911,33.4,1625574,42.6,23.7,1154459,30.3,1636710,626303,73.7,517263,60.9,273978,218886,24357,42,1097799,129178,499086
Arkansas,2666140,88347,115036,1872359,62044,1850590,79848,1098559,36.4,1083619,46.8,820992,27.2,813821,35.1,1317420,1186120,162600,0,56797,883188,931891,483,374181,391208,55490,113,373827,384657,55226,111,765502,36.4,1083619,46.8,25.4,758595,32.7,1098559,387047,73.9,313747,59.9,180783,123915,8971,78,693772,132429,508920
American Samoa,54030,97021,124387,39666,71228,38321,88222,22119,39.7,21346,49.1,17694,31.8,17125,39.4,37830,15600,600,0,22,9004,30640,0,3911,13754,29,0,3900,13196,29,0,17665,39.7,21346,49.1,31.7,17096,39.4,22119,2486,26.3,2199,23.2,878,1315,6,0,4599,48579,570719
Arizona,7029325,96574,124667,5301083,72830,5225445,92675,3053333,41.9,3006675,53.3,2248015,30.9,2221492,39.4,3583905,3041020,404400,0,144577,2329713,2823470,3323,926639,1180829,139446,1101,926464,1154574,139354,1100,2108569,41.9,3006675,53.3,29,2082138,36.9,3053333,1046062,79.9,855205,65.4,420231,407444,26823,707,1951082,149093,537150
Bureau of Prisons,169240,N/A,N/A,161200,N/A,161199,N/A,90948,N/A,90947,N/A,72847,N/A,72847,N/A,95940,65900,7400,0,3361,62680,95159,0,26577,42923,3347,0,26577,42923,3347,0,69500,N/A,90947,N/A,0,69500,0,90948,3103,0,2714,0,1292,1375,47,0,5804,0,0
California,41640640,105387,136002,32367810,81918,31829639,103959,20047379,50.7,19638072,64.1,13269518,33.6,13137533,42.9,21769800,17401040,2469800,0,1144583,14147803,17071658,3766,5540046,6593545,1135042,885,5532911,6472764,1130978,880,12134476,50.7,19638072,64.1,30.7,12006555,39.2,20047379,5150316,88.2,3959546,67.8,2061828,1778760,118531,427,9067308,155312,713255
Colorado,5822000,101099,129400,4768105,82798,4686173,104155,2774918,48.2,2718527,60.4,2088505,36.3,2062470,45.8,3031080,2481520,309400,0,152830,2126487,2487537,1251,890164,1047128,150858,355,889028,1022837,150255,350,1937647,48.2,2718527,60.4,33.6,1912215,42.5,2774918,705859,83.8,619491,73.5,311142,294553,13641,155,1334147,158372,691111
Connecticut,4034395,113158,142164,3437201,96407,3377425,119014,2025677,56.8,1981247,69.8,1522810,42.7,1508281,53.1,2146755,1652940,234700,0,130412,1395095,1911423,271,587924,804348,130478,60,587647,790204,130371,59,1392332,56.8,1981247,69.8,39.1,1377910,48.6,2025677,574674,91.2,519155,82.4,203997,302265,12873,20,1093385,173486,640132
District of Columbia,916875,129915,158744,637854,90380,635111,109961,354000,50.2,351363,60.8,231572,32.8,230690,39.9,504855,362520,49500,0,21191,249934,366690,39,84406,122048,25086,32,84393,121196,25071,30,206486,50.2,351363,60.8,29.3,205619,35.6,354000,68516,78.4,53263,61,29243,22321,1689,10,148843,170412,1049740
Dept of Defense,3975410,N/A,N/A,3077035,N/A,3052854,N/A,1867186,N/A,1849173,N/A,1209269,N/A,1203432,N/A,2129010,1671400,175000,0,80415,1356938,1639283,399,493168,638601,77500,0,493118,632837,77477,0,1131769,N/A,1849173,N/A,0,1125955,0,1867186,165412,0,115638,0,40520,71656,3462,0,286184,0,0
Delaware,1052635,108100,136672,810270,83210,800115,103885,473436,48.6,466720,60.6,348871,35.8,346610,45,545415,449920,57300,0,35751,326749,447520,250,128303,185329,35122,117,128264,183132,35097,117,313749,48.6,466720,60.6,32.2,311513,40.4,473436,167859,88.9,142398,75.4,57984,77168,7170,76,311147,164710,557227
Florida,21941005,102157,127210,16084479,74889,15961106,92540,9332355,43.5,9239746,53.6,6792148,31.6,6762372,39.2,11344905,9078200,1517900,0,599614,6948737,8509177,26951,2765163,3425886,592316,8783,2764483,3397081,592027,8781,6199832,43.5,9239746,53.6,28.9,6170345,35.8,9332355,3827024,85.1,3178625,70.7,1595610,1439507,136727,6781,7287143,162032,487867
Federated States of Micronesia,63200,60979,78177,36322,35045,36301,44904,21447,20.7,21430,26.5,15260,14.7,15256,18.9,0,61600,1600,0,394,35928,0,0,14839,27,394,0,14835,27,394,0,14866,20.7,21430,26.5,14.3,14862,18.4,21447,1890,10.7,1505,8.5,1425,5,75,0,3303,18747,358704
Georgia,9913265,93368,122182,6680976,62925,6602536,81377,3830155,36.1,3776854,46.6,2850374,26.8,2825147,34.8,5152485,4212780,548000,0,151663,3004577,3524253,483,1258007,1443371,148718,278,1257758,1418608,148506,275,2701656,36.1,3776854,46.6,25.4,2676641,33,3830155,1167742,77,979103,64.5,551477,408187,19290,149,2216859,146139,653498
Guam,173470,104646,134162,139132,83932,135481,104781,79570,48,77233,59.7,60231,36.3,58920,45.6,98670,63700,11100,0,1456,54915,82761,0,21932,36836,1463,0,21928,35529,1463,0,58768,48,77233,59.7,35.5,57457,44.4,79570,13917,49.4,12050,42.8,5078,6853,119,0,26006,92282,615557
Hawaii,1564690,110511,140205,1369473,96723,1352957,121232,824696,58.2,810448,72.6,568637,40.2,565757,50.7,860730,630460,73500,0,25795,498162,751756,93760,202695,321838,26033,18071,202515,319235,25953,18054,542604,58.2,810448,72.6,38.3,539804,48.4,824696,253623,94.5,207731,77.4,86565,113299,6458,1409,455251,169586,582865
Iowa,2955125,93663,121699,2517783,79801,2489538,102525,1427971,45.3,1408932,58,1169842,37.1,1160897,47.8,1510665,1274760,169700,0,97118,1140218,1280325,122,516204,558204,95379,55,516129,549384,95329,55,1074463,45.3,1408932,58,34.1,1065568,43.9,1427971,474648,85.8,442340,80,238178,195986,8136,40,913772,165253,534425
Idaho,1488765,83308,111196,1125117,62959,1125075,84032,623037,34.9,622915,46.5,514436,28.8,514392,38.4,764205,633360,91200,0,32492,500148,591917,560,219583,262347,32338,168,219576,262320,32328,168,482098,34.9,622915,46.5,27,482064,36,623037,223957,77,205672,70.8,96555,102075,6969,73,428410,147387,512184
Indian Health Svc,1687115,81002,N/A,1281706,61537,1251228,N/A,728110,35,709579,N/A,566077,27.2,554174,N/A,705315,908100,73700,0,20271,719594,541841,0,307621,238344,20112,0,307443,226650,20081,0,545965,35,709579,N/A,26.2,534093,0,728110,146027,0,118193,0,68059,48005,2129,0,265102,0,0
Illinois,12784035,100886,129735,9961799,78614,9818746,99643,6112154,48.2,5997052,60.9,4166511,32.9,4132578,41.9,6718335,5287600,778100,0,324958,4217400,5413732,5709,1667043,2172118,325419,1931,1665190,2141405,324059,1924,3841092,48.2,5997052,60.9,30.3,3808519,38.6,6112154,1737273,85,1364462,66.8,636202,677796,49303,1161,3057130,149622,625677
Indiana,5696710,84619,110311,4421161,65672,4375715,84731,2522544,37.5,2490535,48.2,1978478,29.4,1968340,38.1,2994810,2332700,369200,0,141565,1830093,2440332,9171,785923,1049643,139904,3008,785843,1039668,139823,3006,1838574,37.5,2490535,48.2,27.3,1828517,35.4,2522544,857244,79,794739,73.2,398042,377712,17084,1901,1661761,153053,524683
Kansas,2808805,96413,126919,2115612,72619,2092619,94558,1266656,43.5,1249843,56.5,994177,34.1,984978,44.5,1398345,1254960,155500,0,61159,967246,1086657,550,432411,500273,61320,173,432329,491194,61283,172,932857,43.5,1249843,56.5,32,923695,41.7,1266656,421235,88.6,351453,73.9,171165,168874,11317,97,742779,156214,590722
Kentucky,4082135,91370,117817,3263399,73045,3230915,93250,1877172,42,1855608,53.6,1503235,33.6,1492629,43.1,2074995,1766740,240400,0,112614,1465019,1685440,326,638448,754677,109844,266,638367,744210,109787,265,1393391,42,1855608,53.6,31.2,1382842,39.9,1877172,610422,81.3,531997,70.9,241651,263897,26287,162,1100916,146678,543876
Louisiana,3727300,80178,104665,2830235,60881,2809755,78900,1541192,33.2,1528536,42.9,1314693,28.3,1307055,36.7,1879800,1617000,230500,0,94052,1325028,1410157,998,583835,640154,90202,502,583717,632708,90130,500,1224491,33.2,1528536,42.9,26.3,1216925,34.2,1541192,556711,75.1,516561,69.7,245806,254448,16204,103,1080275,145782,502995
Massachusetts,7921710,114932,142999,6690804,97074,6585948,118886,4081217,59.2,4000345,72.2,2808123,40.7,2783350,50.2,4233450,3283460,404800,0,224345,2829008,3637346,105,1117843,1465074,225184,22,1116741,1442079,224508,22,2582939,59.2,4000345,72.2,37.5,2558842,46.2,4081217,1079385,92.3,926495,79.2,423493,447734,55257,11,1950115,166772,677456
Maryland,6524920,107927,138504,5106380,84463,5031964,106813,3055421,50.5,2999327,63.7,2253129,37.3,2235631,47.5,3526380,2636640,361900,0,199433,2153848,2749601,3498,901155,1157922,193024,1028,901030,1140649,192926,1026,2060105,50.5,2999327,63.7,34.1,2042705,43.4,3055421,821615,85.6,728756,76,357356,330156,40832,412,1496798,156015,680107
Maine,1487690,110674,135816,1263442,93991,1250515,114164,763790,56.8,753444,68.8,586959,43.7,584327,53.3,746070,648620,93000,0,79444,554476,629354,168,232359,275257,79287,56,232332,272687,79257,51,507672,56.8,753444,68.8,37.8,505070,46.1,763790,260799,91.4,241870,84.8,110286,113062,18508,14,482010,168969,521512
Marshall Islands,51300,87823,112594,27154,46486,27100,59479,14825,25.4,14785,32.5,12334,21.1,12320,27,0,40500,10800,0,35,27119,0,0,12291,4,39,0,12277,4,39,0,12295,25.4,14785,32.5,21,12281,27,14825,920,9.3,773,7.8,770,0,3,0,1690,17019,516616
Michigan,9994590,100077,127434,7536559,75465,7438699,94846,4393499,44,4323862,55.1,3475474,34.8,3445787,43.9,5188170,4208620,597800,0,243484,3232212,4059580,1283,1425402,1801456,248075,541,1425147,1772149,247952,539,3227399,44,4323862,55.1,32.3,3197835,40.8,4393499,1418418,80.3,1284497,72.8,647061,589100,47971,365,2628095,148867,566137
Minnesota,5311180,94176,122477,4577431,81165,4513374,104079,2736645,48.5,2687053,62,2066477,36.6,2051491,47.3,2815800,2206680,288700,0,200810,1928476,2447906,239,828824,1034472,203121,60,828669,1019770,202992,60,1863356,48.5,2687053,62,33,1848499,42.6,2736645,809999,88,739163,80.3,313392,387263,38483,25,1494856,162417,577063
