COVID-19 Vaccinations in the United States
Date generated: Sun May 09 2021 15:11:08 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,777945,106343,141044,571320,78098,557906,101150,312475,42.7,304879,55.3,268319,36.7,262451,47.6,385905,337540,54500,0,15680,254946,300611,83,116190,137636,14472,21,115926,132100,14404,21,253847,42.7,304879,55.3,34.7,248047,45,312475,71883,78.5,66960,73.1,38344,26956,1648,12,135457,147898,849396
Alabama,4277330,87236,112122,2758021,56250,2741041,71851,1649688,33.6,1638295,42.9,1263965,25.8,1258054,33,2111850,1903780,261700,0,83018,1319294,1355709,0,566254,612815,84827,69,566127,607071,84787,69,1179138,33.6,1638295,42.9,24,1173267,30.8,1649688,629380,74.1,522911,61.5,276565,220564,25738,44,1105163,130044,503312
Arkansas,2677170,88713,115512,1885668,62485,1863212,80392,1102155,36.5,1087025,46.9,831032,27.5,823361,35.5,1327950,1186520,162700,0,57106,889968,938110,484,379229,395883,55807,113,378843,388866,55541,111,775225,36.5,1087025,46.9,25.7,767820,33.1,1102155,387683,74,315479,60.2,181988,124372,9040,79,696082,132870,511025
American Samoa,54030,97021,124387,39666,71228,38321,88222,22122,39.7,21349,49.1,17694,31.8,17125,39.4,37830,15600,600,0,22,9004,30640,0,3911,13754,29,0,3900,13196,29,0,17665,39.7,21349,49.1,31.7,17096,39.4,22122,2486,26.3,2199,23.2,878,1315,6,0,4599,48579,570719
Arizona,7081205,97286,125587,5337459,73330,5260392,93294,3065521,42.1,3018332,53.5,2273527,31.2,2246110,39.8,3628365,3048040,404800,0,146630,2347308,2840125,3396,938910,1192062,141437,1118,938729,1164920,141345,1116,2132090,42.1,3018332,53.5,29.3,2104765,37.3,3065521,1047628,80.1,858303,65.6,421856,408490,27242,715,1955584,149437,541115
Bureau of Prisons,169240,N/A,N/A,161237,N/A,161236,N/A,90964,N/A,90963,N/A,72868,N/A,72868,N/A,95940,65900,7400,0,3363,62692,95182,0,26579,42941,3348,0,26579,42941,3348,0,69520,N/A,90963,N/A,0,69520,0,90964,3103,0,2714,0,1292,1375,47,0,5804,0,0
California,42020680,106349,137244,32759885,82911,32199355,105166,20172726,51.1,19756044,64.5,13547291,34.3,13400273,43.8,22008480,17539300,2472900,0,1157068,14272395,17326576,3846,5620113,6778836,1147429,913,5612715,6643369,1143283,906,12399862,51.1,19756044,64.5,31.4,12256990,40,20172726,5159869,88.4,3974963,68.1,2068283,1786221,120026,433,9091135,155720,719765
Colorado,5861710,101788,130283,4818646,83675,4734119,105221,2788171,48.4,2731090,60.7,2126931,36.9,2098991,46.7,3069690,2482620,309400,0,154496,2145933,2516955,1262,905295,1068757,152518,361,904067,1042668,151900,356,1974413,48.4,2731090,60.7,34.3,1947091,43.3,2788171,706771,83.9,621349,73.8,311965,295417,13809,158,1336832,158691,695825
Connecticut,4077035,114354,143666,3475019,97468,3413476,120284,2034240,57.1,1989426,70.1,1553340,43.6,1537427,54.2,2174835,1667400,234800,0,131805,1408510,1934428,276,598174,823217,131887,62,597895,807692,131779,61,1421453,57.1,1989426,70.1,39.9,1405648,49.5,2034240,575531,91.3,520695,82.6,204461,303106,13108,20,1095595,173837,646898
District of Columbia,918975,130213,159108,647628,91765,644748,111629,357991,50.7,355270,61.5,236805,33.6,235881,40.8,504855,364620,49500,0,21462,253747,372380,39,86498,124955,25319,33,86483,124063,25304,31,211486,50.7,355270,61.5,30,210577,36.5,357991,68801,78.8,53587,61.4,29395,22463,1719,10,149499,171163,1052150
