COVID-19 Vaccinations in the United States
Date generated: Mon May 10 2021 15:12:14 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,777945,106343,141044,571368,78104,557954,101159,312535,42.7,304936,55.3,268405,36.7,262535,47.6,385905,337540,54500,0,15683,254986,300616,83,116247,137655,14481,22,115983,132117,14413,22,253924,42.7,304936,55.3,34.7,248122,45,312535,71892,78.5,66976,73.1,38353,26962,1648,13,135464,147906,849396
Alabama,4277330,87236,112122,2768204,56457,2750978,72112,1654267,33.7,1642745,43.1,1270858,25.9,1264812,33.2,2111850,1903780,261700,0,83874,1324729,1359601,0,569804,615320,85664,70,569674,609444,85624,70,1185194,33.7,1642745,43.1,24.2,1179188,30.9,1654267,630073,74.1,524186,61.7,277251,220946,25944,45,1106891,130247,503312
Arkansas,2677170,88713,115512,1900002,62960,1876928,80984,1107515,36.7,1092135,47.1,840192,27.8,832149,35.9,1327950,1186520,162700,0,57388,897882,944248,484,384229,399751,56095,117,383821,392388,55825,115,784097,36.7,1092135,47.1,26,776324,33.5,1107515,388333,74.1,316815,60.5,182903,124728,9103,81,698022,133240,511025
American Samoa,54030,97021,124387,39666,71228,38321,88222,22122,39.7,21349,49.1,17695,31.8,17126,39.4,37830,15600,600,0,22,9004,30640,0,3911,13755,29,0,3900,13197,29,0,17666,39.7,21349,49.1,31.7,17097,39.4,22122,2485,26.2,2200,23.2,879,1315,6,0,4599,48579,570719
Arizona,7081205,97286,125587,5372605,73813,5293973,93890,3077983,42.3,3030154,53.7,2297078,31.6,2268753,40.2,3628365,3048040,404800,0,148251,2363541,2857369,3444,949641,1203326,142974,1137,949458,1175280,142880,1135,2154104,42.3,3030154,53.7,29.6,2125873,37.7,3077983,1049267,80.2,861023,65.8,423286,409409,27604,724,1959790,149759,541115
Bureau of Prisons,169240,N/A,N/A,163752,N/A,163751,N/A,92403,N/A,92402,N/A,74088,N/A,74088,N/A,95940,65900,7400,0,3518,64091,96143,0,27258,43328,3502,0,27258,43328,3502,0,70586,N/A,92402,N/A,0,70586,0,92403,3123,0,2731,0,1302,1381,48,0,5841,0,0
California,42020680,106349,137244,33109680,83796,32527368,106238,20284982,51.3,19861235,64.9,13796992,34.9,13635182,44.5,22008480,17539300,2472900,0,1169720,14382056,17554006,3898,5690875,6945178,1160000,939,5683161,6795312,1155777,932,12636992,51.3,19861235,64.9,32,12479405,40.8,20284982,5168385,88.5,3988167,68.3,2073179,1793166,121382,440,9111760,156074,719765
Colorado,5861710,101788,130283,4880920,84757,4792608,106521,2804920,48.7,2746738,61,2172481,37.7,2141858,47.6,3069690,2482620,309400,0,155900,2171194,2552560,1266,924864,1093331,153924,362,923508,1064694,153299,357,2018557,48.7,2746738,61,35.1,1988559,44.2,2804920,707878,84,623356,74,312867,296367,13965,157,1340030,159071,695825
Connecticut,4077035,114354,143666,3512139,98509,3448188,121507,2043434,57.3,1998039,70.4,1581885,44.4,1564194,55.1,2174835,1667400,234800,0,132800,1419397,1959666,276,605632,843300,132891,62,605352,825997,132784,61,1448994,57.3,1998039,70.4,40.6,1431410,50.4,2043434,576371,91.5,522111,82.8,204810,304005,13276,20,1097701,174171,646898
District of Columbia,918975,130213,159108,655560,92889,652587,112986,360914,51.1,358134,62,241630,34.2,240652,41.7,504855,364620,49500,0,21612,256284,377612,52,88188,127967,25438,37,88173,127021,25423,35,216192,51.1,358134,62,30.6,215229,37.3,360914,68978,79,53795,61.6,29503,22552,1729,11,149923,171649,1052150
Dept of Defense,3975510,N/A,N/A,3150155,N/A,3124574,N/A,1898107,N/A,1879566,N/A,1257471,N/A,1250762,N/A,2129010,1671500,175000,0,86609,1386176,1676971,399,511449,662328,83694,0,511399,655694,83669,0,1173777,N/A,1879566,N/A,0,1167093,0,1898107,166575,0,117203,0,41188,72401,3614,0,288773,0,0
Delaware,1057915,108642,137357,825352,84759,814540,105758,478333,49.1,471382,61.2,358385,36.8,355743,46.2,550095,450320,57500,0,36115,333098,455881,258,132053,190697,35515,120,132007,188126,35490,120,322870,49.1,471382,61.2,33.2,320253,41.6,478333,168428,89.2,143539,76,58537,77684,7241,77,312838,165605,560022
Florida,22007995,102469,127599,16431037,76503,16297546,94491,9460421,44,9364704,54.3,7018269,32.7,6981559,40.5,11395215,9088880,1523900,0,614988,7084311,8703821,27917,2842663,3559338,607170,9098,2841966,3523624,606874,9095,6411099,44,9364704,54.3,29.8,6374685,37,9460421,3842755,85.4,3201956,71.2,1604994,1451051,138943,6968,7326262,162902,489356
Federated States of Micronesia,65800,63487,81393,37135,35830,37113,45908,21834,21.1,21816,27,15772,15.2,15768,19.5,0,62600,3200,0,478,36657,0,0,15265,28,479,0,15261,28,479,0,15293,21.1,21816,27,14.8,15289,18.9,21834,1921,10.9,1555,8.8,1457,5,93,0,3366,19104,373460
Georgia,9921025,93441,122277,6799470,64041,6717745,82797,3869064,36.4,3814484,47,2929987,27.6,2902740,35.8,5157165,4215660,548200,0,155972,3055444,3587556,498,1290829,1486226,152647,285,1290552,1459478,152429,281,2777340,36.4,3814484,47,26.2,2750311,33.9,3869064,1171726,77.2,987350,65.1,555965,411444,19788,153,2231202,147084,654010
Guam,173470,104646,134162,140972,85042,137261,106158,80657,48.7,78304,60.6,61187,36.9,59832,46.3,98670,63700,11100,0,1653,55795,83524,0,22208,37318,1661,0,22203,35968,1661,0,59526,48.7,78304,60.6,35.9,58171,45,80657,13988,49.6,12109,43,5101,6879,129,0,26124,92701,615557
Hawaii,1565860,110593,140310,1386097,97897,1368790,122651,832725,58.8,817973,73.3,577610,40.8,574442,51.5,861900,630460,73500,0,26147,503966,762224,93760,205651,327492,26396,18071,205458,324614,26316,18054,551214,58.8,817973,73.3,38.9,548126,49.1,832725,254707,94.9,209054,77.9,87183,113940,6522,1409,457594,170459,583301
Iowa,2973685,94251,122463,2564630,81286,2534633,104382,1440023,45.6,1420332,58.5,1204970,38.2,1194954,49.2,1520025,1280260,173400,0,98774,1158777,1306957,122,531166,576766,96980,58,531086,566880,96930,58,1107990,45.6,1420332,58.5,35.1,1098024,45.2,1440023,475836,86.1,445201,80.5,239748,197022,8389,42,917700,165963,537782
Idaho,1490225,83390,111305,1132383,63366,1132341,84575,626090,35,625961,46.8,519112,29,519062,38.8,764205,634620,91400,0,32842,503746,595229,566,221627,264617,32699,169,221619,264585,32689,169,486413,35,625961,46.8,27.2,486373,36.3,626090,224378,77.2,206288,71,96859,102308,7048,73,429408,147730,512686
Indian Health Svc,1689455,81114,N/A,1291824,62023,1260613,N/A,731658,35.1,712803,N/A,572865,27.5,560553,N/A,707655,908100,73700,0,20517,724656,546651,0,311172,241336,20357,0,310990,229237,20326,0,552508,35.1,712803,N/A,26.5,540227,0,731658,146351,0,118809,0,68454,48193,2162,0,266011,0,0
Illinois,12855545,101450,130461,10146731,80073,9991358,101394,6184414,48.8,6064424,61.5,4287939,33.8,4246350,43.1,6780345,5292500,782700,0,332672,4272539,5535554,5966,1696606,2256191,333119,2023,1694624,2218000,331712,2014,3954820,48.8,6064424,61.5,31.2,3914638,39.7,6184414,1744753,85.4,1375647,67.3,640045,683846,50554,1202,3075319,150512,629177
Indiana,5727410,85075,110905,4506166,66934,4457010,86305,2553033,37.9,2519432,48.8,2032376,30.2,2020273,39.1,3013530,2343780,370100,0,144183,1858910,2493564,9509,804126,1082683,142447,3120,804042,1070749,142364,3118,1889929,37.9,2519432,48.8,28.1,1877909,36.4,2553033,860097,79.2,799307,73.6,399940,379942,17477,1948,1669215,153739,527511
Kansas,2826985,97037,127741,2146247,73670,2121908,95881,1275039,43.8,1257575,56.8,1017851,34.9,1007931,45.5,1414725,1256560,155700,0,62107,980137,1103453,550,442250,513123,62304,174,442165,503326,62267,173,955547,43.8,1257575,56.8,32.8,945664,42.7,1275039,422343,88.8,353671,74.4,172222,169848,11503,98,745968,156885,594545
Kentucky,4092275,91597,118110,3309482,74076,3275081,94524,1893307,42.4,1871028,54,1535295,34.4,1523451,44,2077335,1774140,240800,0,115414,1486353,1707383,332,652582,769865,112565,283,652493,758169,112507,282,1422730,42.4,1871028,54,31.8,1410944,40.7,1893307,612646,81.6,536213,71.4,243882,265374,26783,174,1107011,147491,545227
Louisiana,3754030,80753,105416,2861659,61557,2840390,79760,1553840,33.4,1540812,43.3,1333541,28.7,1325486,37.2,1902030,1620100,231900,0,95096,1341842,1423717,1004,593800,648045,91191,505,593669,640196,91118,503,1242350,33.4,1540812,43.3,26.7,1234368,34.7,1553840,558404,75.4,519165,70.1,247291,255454,16316,104,1084560,146360,506602
Massachusetts,8068900,117068,145656,6858691,99509,6745862,121773,4141658,60.1,4056214,73.2,2919358,42.4,2891179,52.2,4293120,3364480,411300,0,228808,2882953,3746815,115,1150835,1538729,229768,26,1149584,1512503,229066,26,2689590,60.1,4056214,73.2,39,2662113,48.1,4141658,1083593,92.7,932843,79.8,425758,451114,55959,12,1959885,167607,690044
Maryland,6647830,109960,141113,5221259,86363,5140689,109121,3094920,51.2,3036618,64.5,2332002,38.6,2310566,49,3555630,2698700,393500,0,203806,2191405,2822466,3582,925798,1207885,197264,1055,925659,1186700,197156,1051,2134738,51.2,3036618,64.5,35.3,2113410,44.9,3094920,825109,86,734488,76.6,359738,332876,41456,418,1505459,156917,692918
Maine,1520230,113095,138787,1276858,94989,1263276,115329,768255,57.2,757719,69.2,597383,44.4,594283,54.3,760110,664520,95600,0,80822,559756,636107,173,236283,280384,80658,58,236256,277346,80628,53,516725,57.2,757719,69.2,38.4,513655,46.9,768255,261219,91.6,242452,85,110546,113210,18681,15,482857,169266,532919
Marshall Islands,51300,87823,112594,28404,48626,28347,62216,15490,26.5,15448,33.9,12976,22.2,12961,28.4,0,40500,10800,0,95,28309,0,0,12874,4,98,0,12859,4,98,0,12878,26.5,15448,33.9,22,12863,28.2,15490,949,9.6,800,8.1,791,0,9,0,1740,17523,516616
Michigan,10065270,100785,128336,7688179,76983,7582414,96678,4438313,44.4,4366767,55.7,3588702,35.9,3552959,45.3,5253690,4213080,598500,0,248508,3277850,4160534,1287,1453768,1881205,253182,547,1453493,1845865,253056,545,3335520,44.4,4366767,55.7,33.4,3299903,42.1,4438313,1424420,80.7,1296379,73.4,651294,595762,48953,370,2644985,149823,570141
Minnesota,5348340,94835,123334,4721950,83728,4649779,107225,2788250,49.4,2735154,63.1,2164502,38.4,2144915,49.5,2850900,2208440,289000,0,207003,1976818,2537843,286,862477,1092731,209203,91,862315,1073440,209071,89,1955299,49.4,2735154,63.1,34.7,1935844,44.6,2788250,814081,88.5,745120,81,315559,390282,39254,25,1504533,163468,581100
Missouri,5508655,89755,115562,4243742,69145,4201264,88135,2388865,38.9,2361364,49.5,1863242,30.4,1850869,38.8,2950155,2267300,291200,0,128407,1670671,2444303,361,711686,1022540,128957,59,711534,1010435,128843,57,1734285,38.9,2361364,49.5,28.3,1722026,36.1,2388865,816073,76.8,707953,66.7,323689,358175,26065,24,1537529,144772,518688
