COVID-19 Vaccinations in the United States
Date generated: Wed May 12 2021 15:13:26 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,781245,106794,141642,576062,78746,562391,101963,314577,43,306899,55.6,271486,37.1,265433,48.1,385905,340140,55200,0,16374,256771,302832,85,117196,139119,15148,23,116923,133410,15077,23,256338,43,306899,55.6,35,250356,45.4,314577,72080,78.7,67227,73.4,38424,27058,1731,14,135849,148326,852999
Alabama,4295160,87599,112590,2773902,56573,2756480,72256,1658191,33.8,1646563,43.2,1273999,26,1267842,33.2,2115360,1918100,261700,0,84254,1327449,1362199,0,570940,616780,86209,70,570810,610794,86168,70,1187790,33.8,1646563,43.2,24.2,1181674,31,1658191,630505,74.2,524556,61.7,277431,221076,26004,45,1107555,130326,505410
Arkansas,2697960,89401,116409,1909885,63287,1886361,81391,1112883,36.9,1097343,47.3,846788,28.1,838446,36.2,1329120,1196440,172400,0,59669,901898,947834,484,386754,401660,58261,113,386326,394026,57983,111,788527,36.9,1097343,47.3,26.1,780463,33.7,1112883,389010,74.3,317608,60.6,183198,124921,9411,78,699215,133468,514994
American Samoa,54030,97021,124387,39666,71228,38321,88222,22122,39.7,21349,49.1,17697,31.8,17128,39.4,37830,15600,600,0,22,9004,30640,0,3913,13755,29,0,3902,13197,29,0,17668,39.7,21349,49.1,31.7,17099,39.4,22122,2485,26.2,2202,23.3,881,1315,6,0,4599,48579,570719
Arizona,7105815,97625,126024,5450531,74883,5368518,95212,3116726,42.8,3067710,54.4,2349371,32.3,2318884,41.1,3634215,3066000,405600,0,163445,2386712,2896918,3456,960597,1230252,157378,1144,960413,1200047,157282,1142,2191993,42.8,3067710,54.4,30.1,2161602,38.3,3116726,1054225,80.6,867205,66.3,424842,411837,29797,729,1968965,150460,542995
Bureau of Prisons,173450,N/A,N/A,163788,N/A,163787,N/A,92435,N/A,92434,N/A,74103,N/A,74103,N/A,99450,65900,8100,0,3529,64097,96162,0,27258,43332,3513,0,27258,43332,3513,0,70590,N/A,92434,N/A,0,70590,0,92435,3123,0,2731,0,1302,1381,48,0,5841,0,0
California,43009640,108851,140474,33632769,85120,33012661,107823,20468459,51.8,20032222,65.4,14158881,35.8,13971618,45.6,22708140,17801400,2500100,0,1193183,14545164,17890514,3908,5792331,7182160,1183451,939,5784174,7007431,1179081,932,12975430,51.8,20032222,65.4,32.8,12792537,41.8,20468459,5180075,88.7,4004333,68.6,2078911,1801320,123662,440,9137510,156515,736704
Colorado,6040220,104888,134250,4959078,86114,4865803,108148,2831594,49.2,2772110,61.6,2230840,38.7,2196526,48.8,3183180,2539340,317700,0,163641,2196125,2598029,1283,943295,1125534,161643,368,941821,1093359,160983,363,2069197,49.2,2772110,61.6,35.9,2035543,45.2,2831594,709567,84.2,626057,74.3,313742,297590,14566,159,1343910,159531,717015
Connecticut,4098555,114957,144425,3566107,100023,3497051,123229,2060086,57.8,2013639,71,1620658,45.5,1598983,56.3,2193555,1670200,234800,0,134583,1436190,1995058,276,616469,869338,134789,62,616185,848057,134680,61,1485869,57.8,2013639,71,41.7,1464303,51.6,2060086,577620,91.7,523616,83.1,205125,304946,13525,20,1100191,174566,650312
District of Columbia,926085,131220,160339,671959,95212,668749,115784,366484,51.9,363564,62.9,252382,35.8,251274,43.5,508365,366220,51500,0,21916,261390,388598,55,91341,135116,25888,37,91325,134043,25871,35,226494,51.9,363564,62.9,32.1,225403,39,366484,69253,79.3,54245,62.1,29677,22803,1754,11,150620,172447,1060290
