COVID-19 Vaccinations in the United States
Date generated: Thu May 13 2021 15:13:50 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,790295,108031,143283,577317,78917,563599,102182,315132,43.1,307440,55.7,272256,37.2,266170,48.3,391755,343040,55500,0,16491,257359,303381,86,117572,139401,15260,23,117294,133664,15189,23,256996,43.1,307440,55.7,35.1,250981,45.5,315132,72127,78.8,67286,73.5,38454,27079,1739,14,135951,148438,862881
Alabama,4311320,87929,113013,2791631,56935,2773725,72708,1664353,33.9,1652551,43.3,1286565,26.2,1280095,33.6,2124720,1924300,262300,0,84897,1336856,1369878,0,577392,622211,86891,71,577259,615915,86850,71,1199674,33.9,1652551,43.3,24.5,1193245,31.3,1664353,631481,74.3,526691,62,278729,221800,26117,45,1110485,130670,507311
Arkansas,2701850,89530,116577,1919251,63598,1895129,81769,1116295,37,1100437,47.5,852811,28.3,844193,36.4,1332630,1196720,172500,0,59927,906446,952390,488,389801,404369,58525,116,389355,396477,58247,114,794286,37,1100437,47.5,26.3,785946,33.9,1116295,389444,74.3,318425,60.8,183700,125186,9459,80,700445,133703,515736
American Samoa,54030,97021,124387,39666,71228,38321,88222,22122,39.7,21349,49.1,17698,31.8,17129,39.4,37830,15600,600,0,22,9004,30640,0,3913,13756,29,0,3902,13198,29,0,17669,39.7,21349,49.1,31.7,17100,39.4,22122,2486,26.3,2202,23.3,881,1315,6,0,4599,48579,570719
Arizona,7329395,100696,129989,5471165,75167,5388274,95563,3124285,42.9,3074945,54.5,2362912,32.5,2331878,41.4,3854175,3069120,406100,0,164555,2396888,2906179,3543,967412,1235884,158445,1171,967224,1205138,158347,1169,2204467,42.9,3074945,54.5,30.3,2173531,38.5,3124285,1055210,80.6,868975,66.4,425905,412346,29982,742,1971794,150676,560080
Bureau of Prisons,177850,N/A,N/A,164243,N/A,164242,N/A,92526,N/A,92525,N/A,74534,N/A,74534,N/A,99450,70300,8100,0,3599,64128,96516,0,27267,43684,3583,0,27267,43684,3583,0,70951,N/A,92525,N/A,0,70951,0,92526,3125,0,2734,0,1302,1383,49,0,5845,0,0
California,43174930,109270,141014,33817290,85587,33184401,108383,20534647,52,20093856,65.6,14283807,36.2,14088266,46,22847370,17826760,2500800,0,1200553,14612219,18000555,3963,5836972,7255164,1190711,960,5828563,7072458,1186297,948,13093096,52,20093856,65.6,33.1,12901969,42.1,20534647,5184987,88.8,4011801,68.7,2082581,1804374,124397,449,9149456,156719,739535
Colorado,6172420,107184,137189,4984769,86560,4890158,108689,2838073,49.3,2778164,61.7,2250378,39.1,2215167,49.2,3194880,2658240,319300,0,164519,2207174,2611781,1295,951920,1135582,162505,371,950393,1102570,161838,366,2087873,49.3,2778164,61.7,36.3,2053329,45.6,2838073,710101,84.3,627144,74.4,314206,298083,14697,158,1345467,159716,732708
Connecticut,4123395,115654,145300,3587180,100614,3517047,123934,2065427,57.9,2018731,71.1,1636981,45.9,1614492,56.9,2216955,1671640,234800,0,135301,1442743,2008859,277,621130,880249,135540,62,620845,858154,135432,61,1501441,57.9,2018731,71.1,42.1,1479060,52.1,2065427,578089,91.7,524645,83.2,205484,305509,13632,20,1101631,174794,654254
District of Columbia,940325,133238,162804,681780,96604,678449,117464,369925,52.4,366946,63.5,258321,36.6,257147,44.5,510705,378020,51600,0,22438,263692,395590,60,92714,139316,26250,41,92698,138177,26233,39,232071,52.4,366946,63.5,32.9,230914,40,369925,69440,79.5,54486,62.4,29763,22943,1768,12,151049,172938,1076590
Dept of Defense,4054870,N/A,N/A,3196815,N/A,3169466,N/A,1919807,N/A,1900633,N/A,1286552,N/A,1278708,N/A,2161770,1713500,179600,0,90873,1403346,1702197,399,521038,677556,87958,0,520988,669787,87933,0,1198594,N/A,1900633,N/A,0,1190775,0,1919807,167710,0,118564,0,41696,73031,3837,0,291058,0,0
Delaware,1080765,110988,140324,841297,86396,829490,107699,484079,49.7,476826,61.9,368580,37.9,365343,47.4,565305,456260,59200,0,36501,339850,464688,258,135867,196640,35950,123,135815,193480,35925,123,332630,49.7,476826,61.9,34.2,329418,42.8,484079,169009,89.5,144510,76.5,58931,78189,7313,77,314340,166400,572118
Florida,22293525,103798,129254,16801374,78227,16652687,96550,9608209,44.7,9506709,55.1,7264532,33.8,7218613,41.9,11585925,9176800,1530800,0,648424,7177401,8946974,28575,2902570,3712952,639695,9315,2901854,3668057,639390,9312,6624837,44.7,9506709,55.1,30.8,6579223,38.1,9608209,3858422,85.8,3225219,71.7,1611620,1463354,143153,7092,7362544,163709,495705
Federated States of Micronesia,77800,75065,96237,38249,36905,38225,47284,22376,21.6,22356,27.7,16497,15.9,16493,20.4,0,67600,10200,0,633,37616,0,0,15834,29,634,0,15830,29,634,0,15863,21.6,22356,27.7,15.3,15859,19.6,22376,1953,11.1,1603,9.1,1488,5,110,0,3431,19473,441569
Georgia,10047675,94634,123838,6909908,65081,6825021,84119,3917176,36.9,3861422,47.6,3003804,28.3,2974479,36.7,5219175,4279500,549000,0,167381,3106470,3635549,508,1318773,1520552,164191,288,1318491,1491736,163968,284,2839613,36.9,3861422,47.6,26.7,2810511,34.6,3917176,1176158,77.5,994408,65.6,559023,414004,21227,154,2242299,147816,662359
