COVID-19 Vaccinations in the United States
Date generated: Fri May 14 2021 15:13:34 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Alaska,790995,108127,143410,578970,79143,565142,102462,315883,43.2,308116,55.9,273310,37.4,273305,44.9,267190,48.4,391755,343740,55500,0,16683,258167,304031,89,118035,139810,15441,24,117750,134046,15370,24,257869,43.2,308116,55.9,35.2,251820,45.7,315883,72200,78.8,67383,73.6,38493,27113,1762,15,136097,148597,863645,315839,51.9,273305,44.9,118034,139808,15439,24,578931,95082,129910
Alabama,4322400,88155,113304,2831853,57755,2813262,73744,1678119,34.2,1666035,43.7,1314534,26.8,1314519,31.4,1307655,34.3,2124720,1932880,264800,0,86522,1357585,1387746,0,591286,634705,88471,72,591148,628005,88430,72,1226063,34.2,1666035,43.7,25,1219225,32,1678119,634076,74.6,533249,62.7,281931,224728,26545,45,1119311,131709,508615,1677842,40.1,1314519,31.4,591280,634700,88467,72,2831572,67630,103237
Arkansas,2707150,89706,116806,1928682,63910,1904225,82162,1119545,37.1,1103550,47.6,859154,28.5,859011,33.6,850339,36.7,1332630,1200920,173600,0,60227,911781,956179,495,393464,406750,58823,117,392997,398684,58543,115,800331,37.1,1103550,47.6,26.5,791796,34.2,1119545,389979,74.4,319445,61,184384,125462,9519,80,701987,133997,516748,1118292,43.7,859011,33.6,393460,406717,58717,117,1927380,75369,105862
American Samoa,54030,97021,124387,40091,71991,38731,89166,22334,40.1,21549,49.6,17911,32.2,17910,37.7,17339,39.9,37830,15600,600,0,22,9243,30826,0,4058,13824,29,0,4047,13263,29,0,17882,40.1,21549,49.6,32.1,17310,39.9,22334,2494,26.3,2213,23.4,889,1318,6,0,4619,48791,570719,22333,47,17910,37.7,4057,13824,29,0,40089,84297,113611
Arizona,7347655,100947,130313,5497137,75523,5413311,96007,3133742,43.1,3084006,54.7,2380200,32.7,2380130,38.4,2348635,41.7,3854175,3087080,406400,0,166238,2409734,2917570,3595,975499,1243495,160016,1190,975305,1212224,159918,1188,2220184,43.1,3084006,54.7,30.5,2188717,38.8,3133742,1056662,80.7,871485,66.6,427251,413131,30350,753,1975684,150973,561476,3133470,50.5,2380130,38.4,975486,1243473,159981,1190,5496780,88571,118395
Bureau of Prisons,177850,N/A,N/A,166164,N/A,166163,N/A,93331,N/A,93330,N/A,75854,N/A,75854,0,75854,N/A,99450,70300,8100,0,3810,64912,97442,0,27543,44519,3792,0,27543,44519,3792,0,72062,N/A,93330,N/A,0,72062,0,93331,3159,0,2760,0,1309,1392,59,0,5895,0,0,93330,0,75854,0,27543,44519,3792,0,166163,0,0
California,43446290,109957,141900,34085597,86266,33433116,109196,20623587,52.2,20176515,65.9,14471012,36.6,14470160,43,14262140,46.6,22847370,18087520,2511400,0,1209931,14701263,18170357,4046,5899674,7370353,1199992,993,5890853,7174774,1195537,976,13271020,52.2,20176515,65.9,33.6,13066603,42.7,20623587,5192371,88.9,4021936,68.9,2087279,1808572,125624,461,9166214,157006,744184,20619802,61.3,14470160,43,5899323,7370083,1199761,993,34081169,101293,129127
Colorado,6271330,108901,139387,5015042,87086,4918727,109324,2847869,49.5,2787061,61.9,2271616,39.4,2271579,46,2235594,49.7,3277950,2673380,320000,0,165576,2219708,2628451,1307,960832,1146854,163559,371,959240,1113101,162887,366,2108057,49.5,2787061,61.9,36.6,2072707,46.1,2847869,710766,84.4,628711,74.6,314902,298806,14845,158,1347591,159968,744449,2847679,57.7,2271579,46,960822,1146842,163544,371,5014830,101596,127051
Connecticut,4139135,116095,145855,3612792,101332,3541411,124792,2072166,58.1,2025073,71.4,1656431,46.5,1656069,53.3,1633109,57.5,2216955,1685080,237100,0,136391,1452522,2023596,283,628179,891580,136606,66,627891,868656,136497,65,1519825,58.1,2025073,71.4,42.6,1496612,52.7,2072166,578717,91.8,525868,83.4,205947,306135,13764,22,1103373,175071,656751,2071105,66.7,1656069,53.3,627992,891469,136542,66,3611384,116273,133265
District of Columbia,945685,133997,163732,685996,97201,682621,118186,371201,52.6,368191,63.7,261129,37,261116,42.8,259920,45,510705,383380,51600,0,22637,265545,397754,60,93733,140935,26418,43,93714,139764,26401,41,234711,52.6,368191,63.7,33.3,233519,40.4,371201,69549,79.6,54655,62.6,29853,23004,1785,13,151323,173251,1082730,371164,60.9,261116,42.8,93730,140927,26416,43,685940,112495,155093
