COVID-19 Vaccinations in the United States
Date generated: Sat May 15 2021 15:12:57 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Alaska,792055,108272,143602,580781,79391,566701,102745,316924,43.3,308937,56,274293,37.5,268141,48.6,391755,344700,55600,0,16968,258921,304803,89,118438,140114,15717,24,118153,134320,15644,24,258576,43.3,308937,56,35.3,252497,45.8,316924,72275,78.9,67478,73.7,38538,27137,1788,15,136246,148760,864802,316865,52,274288,45,118437,140112,15715,24,580727,95377,130085
Alabama,4348790,88693,113995,2859591,58321,2840458,74457,1687875,34.4,1675471,43.9,1334176,27.2,1327074,34.8,2135250,1946140,267400,0,88591,1370696,1400304,0,600231,643515,90358,72,600084,636602,90316,72,1243818,34.4,1675471,43.9,25.4,1236758,32.4,1687875,635738,74.8,537365,63.2,283967,226481,26872,45,1124858,132362,511720,1687595,40.3,1334160,31.9,600225,643509,90354,72,2859308,68292,103867
Arkansas,2714140,89938,117107,1938998,64252,1913959,82582,1122780,37.2,1106520,47.7,866686,28.7,857553,37,1336140,1204000,174000,0,60755,916875,960869,499,397195,410018,59356,117,396707,401660,59071,115,807330,37.2,1106520,47.7,26.8,798482,34.5,1122780,390477,74.5,320502,61.2,185010,125802,9609,81,703473,134281,518082,1121506,43.9,866540,33.9,397191,409983,59249,117,1937674,75772,106135
American Samoa,54030,97021,124387,40091,71991,38731,89166,22335,40.1,21550,49.6,17911,32.2,17339,39.9,37830,15600,600,0,22,9243,30826,0,4059,13823,29,0,4048,13262,29,0,17882,40.1,21550,49.6,32.1,17310,39.9,22335,2494,26.3,2213,23.4,889,1318,6,0,4619,48791,570719,22334,47,17910,37.7,4058,13823,29,0,40089,84297,113611
Arizona,7417255,101903,131547,5521396,75857,5436604,96420,3142269,43.2,3092039,54.8,2396726,32.9,2364694,41.9,3893955,3114600,408700,0,167527,2424364,2925848,3657,985983,1248285,161249,1209,985779,1216558,161150,1207,2235477,43.2,3092039,54.8,30.7,2203544,39.1,3142269,1057846,80.8,873601,66.8,428567,413648,30625,761,1978862,151216,566794,3141996,50.6,2396656,38.6,985970,1248263,161214,1209,5521038,88962,119516
Bureau of Prisons,177850,N/A,N/A,166200,N/A,166199,N/A,93345,N/A,93344,N/A,75880,N/A,75880,N/A,99450,70300,8100,0,3814,64933,97453,0,27555,44529,3796,0,27555,44529,3796,0,72084,N/A,93344,N/A,0,72084,0,93345,3159,0,2760,0,1309,1392,59,0,5895,0,0,93344,0,75880,0,27555,44529,3796,0,166199,0,0
California,43976220,111298,143631,34319950,86859,33649780,109903,20694881,52.4,20242670,66.1,14640733,37.1,14419294,47.1,23269740,18179280,2527200,0,1217292,14787074,18311468,4116,5959049,7473332,1207324,1028,5949796,7265665,1202822,1011,13433409,52.4,20242670,66.1,34,13216472,43.2,20694881,5198092,89,4031128,69,2091782,1812395,126482,469,9180555,157252,753261,20691028,61.5,14639868,43.5,5958696,7473053,1207091,1028,34315443,101989,130702
Colorado,6335310,110012,140809,5065097,87955,4964676,110345,2862255,49.7,2799399,62.2,2307952,40.1,2269903,50.5,3317730,2696580,321000,0,167539,2243675,2652551,1332,979371,1162751,165451,379,977649,1127111,164769,374,2142501,49.7,2799399,62.2,37.2,2105134,46.8,2862255,711775,84.5,630822,74.9,315958,299667,15035,162,1350737,160342,752044,2861965,58,2307915,46.8,979361,1162739,165436,379,5064785,102608,128347
Connecticut,4200875,117827,148030,3637551,102027,3564660,125611,2078246,58.3,2030724,71.6,1676325,47,1651962,58.2,2261415,1699760,239700,0,137675,1464294,2035298,284,638048,900340,137871,66,637754,876381,137762,65,1538454,58.3,2030724,71.6,43.2,1514200,53.4,2078246,579335,91.9,527179,83.6,206556,306630,13971,22,1105097,175344,666547,2077182,66.9,1675961,54,637860,900228,137807,66,3636137,117070,135253
District of Columbia,958095,135756,165881,692270,98090,688827,119261,373491,52.9,370387,64.1,265177,37.6,263914,45.7,521235,384660,52200,0,22801,268287,401122,60,95634,142918,26578,47,95614,141694,26561,45,238599,52.9,370387,64.1,33.8,237353,41.1,373491,69712,79.8,54888,62.8,29970,23096,1809,13,151701,173684,1096930,373454,61.2,265164,43.5,95631,142910,26576,47,692214,113523,157128
