COVID-19 Vaccinations in the United States
Date generated: Mon May 17 2021 15:13:50 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Alaska,792755,108367,143729,586727,80204,570700,103470,320705,43.8,310959,56.4,276902,37.9,270561,49.1,391755,345300,55700,0,17513,260265,308860,89,119211,141419,16248,24,118920,135443,16174,24,260654,43.8,310959,56.4,35.6,254387,46.1,320705,72453,79.1,67686,73.9,38620,27198,1853,15,136571,149115,865566,320521,52.6,276897,45.5,119210,141417,16246,24,586548,96333,130200
Alabama,4373130,89190,114634,2886106,58862,2865032,75102,1699751,34.7,1685752,44.2,1350643,27.5,1343174,35.2,2151630,1953900,267600,0,89781,1384953,1411372,0,609416,649558,91595,74,609264,642281,91555,74,1259048,34.7,1685752,44.2,25.7,1251619,32.8,1699751,637401,75,540193,63.6,285619,227399,27129,46,1129020,132851,514585,1699473,40.6,1350629,32.3,609410,649552,91593,74,2885822,68925,104448
Arkansas,2720090,90135,117364,1966843,65175,1939017,83663,1134540,37.6,1116054,48.2,883404,29.3,873710,37.7,1339650,1206440,174000,0,61529,932114,972700,500,407487,415684,60108,125,406961,406806,59820,123,823296,37.6,1116054,48.2,27.3,813890,35.1,1134540,392075,74.8,323739,61.8,187209,126686,9756,88,708209,135185,519218,1133145,44.3,883259,34.5,407483,415649,60002,125,1965394,76856,106368
American Samoa,54030,97021,124387,40525,72770,39129,90082,22498,40.4,21702,50,18182,32.6,17585,40.5,37830,15600,600,0,22,9382,31121,0,4104,14049,29,0,4093,13463,29,0,18153,40.4,21702,50,32.6,17556,40.4,22498,2501,26.4,2228,23.5,892,1330,6,0,4640,49012,570719,22497,47.3,18181,38.2,4103,14049,29,0,40523,85209,113611
Arizona,7465065,102560,132395,5598339,76914,5501049,97563,3177747,43.7,3116516,55.3,2439604,33.5,2406222,42.7,3937245,3119120,408700,0,170885,2461534,2962162,3758,1010728,1263151,164489,1236,1010514,1230084,164390,1234,2275115,43.7,3116516,55.3,31.3,2241832,39.8,3177747,1061043,81.1,878999,67.2,431796,415199,31233,771,1987487,151875,570448,3177466,51.2,2439535,39.3,1010715,1263129,164455,1236,5597966,90202,120287
Bureau of Prisons,177850,N/A,N/A,171037,N/A,171036,N/A,95945,N/A,95944,N/A,78723,N/A,78723,N/A,99450,70300,8100,0,4433,67688,98916,0,28532,45778,4413,0,28532,45778,4413,0,74310,N/A,95944,N/A,0,74310,0,95945,3194,0,2822,0,1352,1406,64,0,5987,0,0,95944,0,78723,0,28532,45778,4413,0,171036,0,0
California,44241580,111969,144497,35114882,88871,34326127,112112,20995335,53.1,20456934,66.8,15153888,38.4,14899983,48.7,23468640,18245640,2527300,0,1240074,15095953,18774574,4281,6181430,7741498,1229845,1115,6170782,7502898,1225208,1095,13924043,53.1,20456934,66.8,35.2,13674775,44.7,20995335,5219445,89.4,4065630,69.6,2111490,1824642,129012,486,9234720,158180,757806,20986637,62.4,15153003,45,6181073,7741208,1229607,1115,35105495,104337,131490
Colorado,6403480,111196,142324,5165684,89702,5049561,112232,2903235,50.4,2827853,62.9,2369139,41.1,2328025,51.7,3382080,2700400,321000,0,170892,2279366,2714068,1358,1004179,1195876,168695,389,1002276,1157368,167997,384,2200444,50.4,2827853,62.9,38.2,2160028,48,2903235,713629,84.7,634532,75.3,317327,301662,15374,169,1356114,160980,760136,2902199,58.8,2369100,48,1004169,1195864,168678,389,5164621,104630,129729
Connecticut,4238825,118892,149368,3705086,103921,3619343,127538,2104203,59,2046379,72.1,1719771,48.2,1693044,59.7,2283645,1715480,239700,0,140429,1488132,2076235,290,656192,922886,140626,67,655889,896580,140509,66,1579145,59,2046379,72.1,44.3,1552535,54.7,2104203,580803,92.2,529726,84.1,207616,307714,14374,22,1108758,175925,672569,2103121,67.7,1719398,55.4,656001,922770,140560,67,3703649,119244,136474
District of Columbia,960675,136121,166327,714049,101176,710041,122934,379065,53.7,375304,65,279928,39.7,278604,48.2,523575,384800,52300,0,23211,282583,408164,91,105451,147511,26895,71,105428,146229,26878,69,253033,53.7,375304,65,35.9,251726,43.6,379065,70545,80.8,59391,68,34293,23250,1835,13,157423,180235,1099890,379030,62.2,279915,45.9,105448,147503,26893,71,713991,117095,157551
Dept of Defense,4190180,N/A,N/A,3315594,N/A,3284706,N/A,1971789,N/A,1951080,N/A,1359773,N/A,1349929,N/A,2282280,1725200,182700,0,97691,1449944,1767560,399,549972,715025,94776,0,549917,705261,94751,0,1264997,N/A,1951080,N/A,0,1255178,0,1971789,169649,0,121364,0,43109,74151,4104,0,295556,0,0,1969346,0,1359670,0,549951,714953,94766,0,3313057,0,0
Delaware,1122975,115323,145805,863273,88653,848730,110197,493361,50.7,484084,62.9,381626,39.2,377772,49,589875,472000,61100,0,37198,348722,477079,274,141231,203631,36634,130,141166,199868,36608,130,344992,50.7,484084,62.9,35.4,341164,44.3,493361,169904,89.9,146065,77.3,59603,78941,7440,81,316710,167655,594462,493237,58.7,381607,45.4,141229,203620,36628,130,863129,102777,133718
Florida,22546275,104975,130720,17328800,80683,17153435,99453,9811034,45.7,9691939,56.2,7610484,35.4,7555723,43.8,11690055,9301420,1554800,0,682201,7413910,9202071,30618,3064887,3862927,672717,9953,3064140,3809237,672396,9950,6937767,45.7,9691939,56.2,32.3,6883327,39.9,9811034,3883399,86.3,3266408,72.6,1633491,1477724,147702,7491,7428674,165179,501325,9804788,52.4,7609695,40.7,3064317,3862857,672568,9953,17321832,92650,120594
Federated States of Micronesia,77800,75065,96237,38461,37109,38437,47546,22512,21.7,22492,27.8,16606,16,16602,20.5,0,67600,10200,0,657,37804,0,0,15916,31,659,0,15912,31,659,0,15947,21.7,22492,27.8,15.4,15943,19.7,22512,1957,11.1,1612,9.1,1495,5,112,0,3442,19536,441569,22506,25.4,16605,18.8,15915,31,659,0,38454,43446,87901
